Date,Adj Close,Close,High,Low,Open,Volume,Ticker,MA10,MA50,Pct_change,Upper_BB,Lower_BB
2024-07-16,11700.0,11700.0,11700.0,11500.0,11500.0,3200.0,TMT.VN,,,,,
2024-07-17,11350.0,11350.0,11550.0,11300.0,11550.0,6200.0,TMT.VN,,,-2.991452991452992,,
2024-07-18,11500.0,11500.0,11500.0,10800.0,11300.0,5200.0,TMT.VN,,,1.3215859030837107,,
2024-07-19,11250.0,11250.0,11450.0,10700.0,11450.0,7500.0,TMT.VN,,,-2.1739130434782594,,
2024-07-22,10500.0,10500.0,10650.0,10500.0,10650.0,23200.0,TMT.VN,,,-6.666666666666665,,
2024-07-23,10100.0,10100.0,10500.0,9770.0,10500.0,38300.0,TMT.VN,,,-3.809523809523807,,
2024-07-24,10200.0,10200.0,10200.0,10000.0,10100.0,12800.0,TMT.VN,,,0.990099009900991,,
2024-07-25,10100.0,10100.0,10200.0,10000.0,10200.0,4000.0,TMT.VN,,,-0.9803921568627416,,
2024-07-26,10150.0,10150.0,10150.0,10000.0,10150.0,8000.0,TMT.VN,,,0.4950495049504955,,
2024-07-29,10400.0,10400.0,10400.0,10150.0,10150.0,4600.0,TMT.VN,10725.0,,2.4630541871921263,,
2024-07-30,10250.0,10250.0,10350.0,10050.0,10350.0,6400.0,TMT.VN,10580.0,,-1.4423076923076872,,
2024-07-31,9540.0,9540.0,10100.0,9540.0,10100.0,48100.0,TMT.VN,10399.0,,-6.926829268292678,,
2024-08-01,9790.0,9790.0,9790.0,9300.0,9540.0,4500.0,TMT.VN,10228.0,,2.6205450733752578,,
2024-08-02,9720.0,9720.0,9790.0,9210.0,9790.0,9600.0,TMT.VN,10075.0,,-0.7150153217568955,,
2024-08-05,9040.0,9040.0,9780.0,9040.0,9780.0,13700.0,TMT.VN,9929.0,,-6.995884773662553,,
2024-08-06,8410.0,8410.0,9020.0,8410.0,9020.0,17900.0,TMT.VN,9760.0,,-6.969026548672563,,
2024-08-07,7830.0,7830.0,8410.0,7830.0,8410.0,46600.0,TMT.VN,9523.0,,-6.896551724137934,,
2024-08-08,7290.0,7290.0,7840.0,7290.0,7840.0,49400.0,TMT.VN,9242.0,,-6.896551724137934,,
2024-08-09,7800.0,7800.0,7800.0,6880.0,7000.0,24500.0,TMT.VN,9007.0,,6.995884773662553,,
2024-08-12,8140.0,8140.0,8270.0,7700.0,7810.0,11400.0,TMT.VN,8781.0,,4.358974358974366,11376.389434321845,6185.610565678154
2024-08-13,7580.0,7580.0,8130.0,7580.0,8130.0,44500.0,TMT.VN,8514.0,,-6.8796068796068806,11112.729244113461,5915.270755886539
2024-08-14,7730.0,7730.0,7980.0,7100.0,7900.0,6600.0,TMT.VN,8333.0,,1.978891820580464,10907.125503013238,5758.874496986762
2024-08-15,7190.0,7190.0,7880.0,7190.0,7720.0,82400.0,TMT.VN,8073.0,,-6.9857697283311815,10616.362672567662,5529.637327432337
2024-08-16,7530.0,7530.0,7580.0,7210.0,7580.0,28100.0,TMT.VN,7854.0,,4.728789986091786,10292.830392669923,5415.169607330078
2024-08-19,7760.0,7760.0,7990.0,7420.0,7530.0,42600.0,TMT.VN,7726.0,,3.054448871181936,10108.84107295207,5343.158927047931
2024-08-20,7770.0,7770.0,7910.0,7600.0,7760.0,17400.0,TMT.VN,7662.0,,0.12886597938144284,10010.47229178101,5313.527708218989
2024-08-21,7550.0,7550.0,7720.0,7500.0,7720.0,72700.0,TMT.VN,7634.0,,-2.8314028314028294,9927.122669842887,5340.877330157114
2024-08-22,7700.0,7700.0,7750.0,7560.0,7750.0,21100.0,TMT.VN,7675.0,,1.9867549668874274,9882.463655300735,5467.536344699265
2024-08-23,7600.0,7600.0,7660.0,7450.0,7650.0,42400.0,TMT.VN,7655.0,,-1.2987012987012991,9742.404835523866,5567.5951644761335
