Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,BIC.VN,BIC.VN,BIC.VN,BIC.VN,BIC.VN,BIC.VN,
2024-07-16,35292.30859375,37000.0,37200.0,36800.0,36800.0,71100,BIC.VN
2024-07-17,34815.3828125,36500.0,37700.0,36150.0,37650.0,109300,BIC.VN
2024-07-18,36150.76953125,37900.0,37900.0,36600.0,36800.0,76700,BIC.VN
2024-07-19,36866.15234375,38650.0,39500.0,37800.0,37800.0,127500,BIC.VN
2024-07-22,34433.84765625,36100.0,37750.0,36100.0,37550.0,101400,BIC.VN
2024-07-23,33861.5390625,35500.0,37000.0,35500.0,36400.0,99900,BIC.VN
2024-07-24,35578.4609375,37300.0,37450.0,34650.0,35050.0,135600,BIC.VN
2024-07-25,35769.23046875,37500.0,37500.0,36300.0,36900.0,28000,BIC.VN
2024-07-26,35721.5390625,37450.0,37500.0,36500.0,37500.0,14500,BIC.VN
2024-07-29,35721.5390625,37450.0,37450.0,36700.0,37300.0,54900,BIC.VN
2024-07-30,36055.3828125,37800.0,38000.0,37100.0,37500.0,24400,BIC.VN
2024-07-31,35960.0,37700.0,38000.0,37100.0,37800.0,33500,BIC.VN
2024-08-01,35960.0,37700.0,38200.0,36750.0,38000.0,55300,BIC.VN
2024-08-02,35769.23046875,37500.0,37700.0,36100.0,37700.0,54600,BIC.VN
2024-08-05,33289.23046875,34900.0,37300.0,34900.0,37300.0,97200,BIC.VN
2024-08-06,34815.3828125,36500.0,36500.0,34900.0,34900.0,85400,BIC.VN
2024-08-07,34433.84765625,36100.0,36900.0,36000.0,36800.0,42600,BIC.VN
2024-08-08,34720.0,36400.0,36400.0,35200.0,35600.0,9800,BIC.VN
2024-08-09,35101.5390625,36800.0,36800.0,36100.0,36100.0,13700,BIC.VN
2024-08-12,35578.4609375,37300.0,37300.0,36500.0,36800.0,40500,BIC.VN
2024-08-13,35340.0,37050.0,37050.0,36300.0,37050.0,27300,BIC.VN
2024-08-14,35196.921875,36900.0,37400.0,36150.0,36550.0,33400,BIC.VN
2024-08-15,34147.69140625,35800.0,36200.0,35800.0,36050.0,53700,BIC.VN
2024-08-16,35196.921875,36900.0,36950.0,35800.0,36000.0,59700,BIC.VN
2024-08-19,34958.4609375,36650.0,36850.0,36100.0,36100.0,46700,BIC.VN
2024-08-20,35006.15234375,36700.0,36700.0,36000.0,36650.0,184900,BIC.VN
2024-08-21,35101.5390625,36800.0,36900.0,36200.0,36200.0,13900,BIC.VN
2024-08-22,34720.0,36400.0,36850.0,36250.0,36400.0,45900,BIC.VN
2024-08-23,34910.76953125,36600.0,36600.0,36300.0,36600.0,34100,BIC.VN
2024-08-26,34624.6171875,36300.0,36600.0,36250.0,36600.0,44400,BIC.VN
2024-08-28,33766.15234375,35400.0,36000.0,35300.0,36000.0,88500,BIC.VN
2024-08-29,33766.15234375,35400.0,36400.0,35150.0,36150.0,40700,BIC.VN
2024-08-30,33670.76953125,35300.0,35900.0,35300.0,35750.0,39500,BIC.VN
2024-09-04,33432.30859375,35050.0,35500.0,35000.0,35300.0,41600,BIC.VN
2024-09-05,33336.921875,34950.0,35550.0,34900.0,35050.0,47900,BIC.VN
2024-09-06,33480.0,35100.0,35550.0,34500.0,34950.0,78000,BIC.VN
2024-09-09,33527.69140625,35150.0,35200.0,34600.0,35100.0,59600,BIC.VN
2024-09-10,32001.5390625,33550.0,35150.0,33550.0,35150.0,158800,BIC.VN
2024-09-11,30618.4609375,32100.0,33550.0,31500.0,33550.0,184100,BIC.VN
2024-09-12,31000.0,32500.0,32800.0,31800.0,32050.0,68300,BIC.VN
2024-09-13,31500.0,31500.0,31700.0,30950.0,30950.0,56900,BIC.VN
2024-09-16,30800.0,30800.0,31600.0,30800.0,30900.0,31100,BIC.VN
2024-09-17,30900.0,30900.0,30950.0,30200.0,30500.0,54300,BIC.VN
2024-09-18,30450.0,30450.0,30850.0,30200.0,30850.0,106400,BIC.VN
2024-09-19,30450.0,30450.0,30550.0,30200.0,30200.0,29400,BIC.VN
2024-09-20,31200.0,31200.0,31350.0,30400.0,30400.0,51700,BIC.VN
