Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,BWE.VN,BWE.VN,BWE.VN,BWE.VN,BWE.VN,BWE.VN,
2024-07-16,42633.24609375,43850.0,44400.0,43600.0,44400.0,158100,BWE.VN
2024-07-17,40931.8046875,42100.0,44000.0,42000.0,43850.0,599500,BWE.VN
2024-07-18,41320.70703125,42500.0,42500.0,41900.0,42350.0,373400,BWE.VN
2024-07-19,41904.0546875,43100.0,43200.0,42050.0,42400.0,249000,BWE.VN
2024-07-22,41077.640625,42250.0,43450.0,41500.0,43450.0,343300,BWE.VN
2024-07-23,40737.35546875,41900.0,42250.0,40000.0,42250.0,342600,BWE.VN
2024-07-24,41174.8671875,42350.0,42550.0,41500.0,41900.0,203500,BWE.VN
2024-07-25,41126.25390625,42300.0,42300.0,41800.0,41950.0,117500,BWE.VN
2024-07-26,41758.21875,42950.0,43000.0,42200.0,42300.0,222500,BWE.VN
2024-07-29,41466.54296875,42650.0,43000.0,42000.0,42700.0,206100,BWE.VN
2024-07-30,40737.35546875,41900.0,42650.0,41900.0,42500.0,174300,BWE.VN
2024-07-31,41369.31640625,42550.0,42550.0,41100.0,42000.0,296100,BWE.VN
2024-08-01,40348.453125,41500.0,42550.0,41200.0,42550.0,320400,BWE.VN
2024-08-02,41320.70703125,42500.0,42600.0,41100.0,41100.0,222600,BWE.VN
2024-08-05,39862.328125,41000.0,42000.0,40800.0,41500.0,312600,BWE.VN
2024-08-06,40834.578125,42000.0,42500.0,41000.0,41050.0,260900,BWE.VN
2024-08-07,41806.83203125,43000.0,43300.0,42000.0,42200.0,540100,BWE.VN
2024-08-08,40931.8046875,42100.0,43000.0,42000.0,43000.0,217200,BWE.VN
2024-08-09,40931.8046875,42100.0,42950.0,42000.0,42650.0,151200,BWE.VN
2024-08-12,41029.03125,42200.0,42400.0,42100.0,42100.0,53000,BWE.VN
2024-08-13,40785.96875,41950.0,42400.0,41900.0,42250.0,167400,BWE.VN
2024-08-14,41515.15625,42700.0,42950.0,42200.0,42550.0,248600,BWE.VN
2024-08-15,41077.640625,42250.0,42750.0,42000.0,42750.0,218600,BWE.VN
