Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,CCL.VN,CCL.VN,CCL.VN,CCL.VN,CCL.VN,CCL.VN,
2024-07-16,10058.3330078125,10650.0,11400.0,10650.0,11050.0,1168400,CCL.VN
2024-07-17,9680.5556640625,10250.0,11100.0,10000.0,10850.0,1596000,CCL.VN
2024-07-18,10200.0,10800.0,10800.0,10000.0,10250.0,1216800,CCL.VN
2024-07-19,9727.77734375,10300.0,10800.0,10200.0,10800.0,749200,CCL.VN
2024-07-22,9397.2216796875,9950.0,10300.0,9710.0,10300.0,1265200,CCL.VN
2024-07-23,8783.3330078125,9300.0,10100.0,9300.0,9990.0,969700,CCL.VN
2024-07-24,9066.666015625,9600.0,9750.0,9150.0,9300.0,645500,CCL.VN
2024-07-25,9236.666015625,9780.0,9800.0,9370.0,9400.0,334900,CCL.VN
2024-07-26,9236.666015625,9780.0,9850.0,9630.0,9780.0,232600,CCL.VN
2024-07-29,9255.5556640625,9800.0,10200.0,9710.0,9820.0,499200,CCL.VN
2024-07-30,9132.77734375,9670.0,9800.0,9500.0,9800.0,349400,CCL.VN
2024-07-31,9095.0,9630.0,9790.0,9560.0,9740.0,320700,CCL.VN
2024-08-01,8500.0,9000.0,9750.0,8990.0,9750.0,799600,CCL.VN
2024-08-02,8500.0,9000.0,9000.0,8700.0,8700.0,622200,CCL.VN
2024-08-05,7905.0,8370.0,8900.0,8370.0,8510.0,998900,CCL.VN
2024-08-06,8027.77734375,8500.0,8710.0,8410.0,8500.0,696500,CCL.VN
2024-08-07,8084.4443359375,8560.0,8670.0,8480.0,8500.0,313900,CCL.VN
2024-08-08,7895.55517578125,8360.0,8550.0,8350.0,8520.0,385900,CCL.VN
2024-08-09,8093.888671875,8570.0,8570.0,8430.0,8440.0,384600,CCL.VN
2024-08-12,8131.66650390625,8610.0,8640.0,8540.0,8580.0,237400,CCL.VN
2024-08-13,8197.77734375,8680.0,8870.0,8460.0,8600.0,523200,CCL.VN
2024-08-14,8150.55517578125,8630.0,8790.0,8540.0,8790.0,295800,CCL.VN
2024-08-15,7942.77734375,8410.0,8650.0,8360.0,8650.0,464500,CCL.VN
2024-08-16,8490.5556640625,8990.0,8990.0,8460.0,8460.0,1152700,CCL.VN
2024-08-19,8547.2216796875,9050.0,9300.0,9010.0,9300.0,404900,CCL.VN
2024-08-20,8953.3330078125,9480.0,9490.0,9050.0,9050.0,832900,CCL.VN
2024-08-21,8896.666015625,9420.0,9480.0,9250.0,9410.0,505900,CCL.VN
2024-08-22,8868.3330078125,9390.0,9500.0,9270.0,9500.0,394800,CCL.VN
2024-08-23,9189.4443359375,9730.0,9870.0,9290.0,9340.0,857300,CCL.VN
2024-08-26,8925.0,9450.0,9840.0,9450.0,9830.0,500100,CCL.VN
2024-08-28,8622.77734375,9130.0,9520.0,9000.0,9310.0,560100,CCL.VN
2024-08-29,8622.77734375,9130.0,9290.0,9080.0,9160.0,338400,CCL.VN
2024-08-30,8632.2216796875,9140.0,9450.0,9090.0,9220.0,1114700,CCL.VN
2024-09-04,8594.4443359375,9100.0,9120.0,8950.0,9000.0,605800,CCL.VN
2024-09-05,8622.77734375,9130.0,9320.0,9030.0,9120.0,401500,CCL.VN
2024-09-06,8556.666015625,9060.0,9140.0,8960.0,9140.0,262900,CCL.VN
2024-09-09,8358.3330078125,8850.0,9080.0,8790.0,9000.0,617300,CCL.VN
2024-09-10,8131.66650390625,8610.0,8940.0,8560.0,8940.0,599700,CCL.VN
2024-09-11,8226.111328125,8710.0,8890.0,8610.0,8610.0,421700,CCL.VN
2024-09-12,8537.77734375,9040.0,9250.0,8780.0,8780.0,745800,CCL.VN
2024-09-13,8547.2216796875,9050.0,9070.0,8850.0,9010.0,180700,CCL.VN
2024-09-16,8481.111328125,8980.0,9090.0,8870.0,8960.0,343100,CCL.VN
2024-09-17,8518.888671875,9020.0,9100.0,8800.0,8980.0,446500,CCL.VN
2024-09-18,8717.2216796875,9230.0,9400.0,9030.0,9030.0,414100,CCL.VN
2024-09-19,8670.0,9180.0,9300.0,9120.0,9300.0,198900,CCL.VN
2024-09-20,8632.2216796875,9140.0,9290.0,9060.0,9180.0,366100,CCL.VN
2024-09-23,8528.3330078125,9030.0,9130.0,8900.0,9090.0,249600,CCL.VN
2024-09-24,8528.3330078125,9030.0,9090.0,8920.0,8920.0,161800,CCL.VN
2024-09-25,8670.0,9180.0,9250.0,9030.0,9150.0,423000,CCL.VN
2024-09-26,8641.666015625,9150.0,9370.0,9060.0,9180.0,537400,CCL.VN
2024-09-27,8821.111328125,9340.0,9700.0,9250.0,9700.0,1123600,CCL.VN
2024-09-30,8670.0,9180.0,9310.0,9180.0,9300.0,264400,CCL.VN
2024-10-01,8717.2216796875,9230.0,9330.0,9190.0,9190.0,423200,CCL.VN
2024-10-02,8858.888671875,9380.0,9450.0,9140.0,9230.0,512400,CCL.VN
2024-10-03,8717.2216796875,9230.0,9450.0,9220.0,9380.0,458400,CCL.VN
2024-10-04,8518.888671875,9020.0,9250.0,9020.0,9210.0,438000,CCL.VN
2024-10-07,8528.3330078125,9030.0,9250.0,8990.0,9250.0,472000,CCL.VN
2024-10-08,8462.2216796875,8960.0,9050.0,8950.0,9030.0,300400,CCL.VN
2024-10-09,8518.888671875,9020.0,9080.0,8940.0,8940.0,111900,CCL.VN
2024-10-10,8509.4443359375,9010.0,9150.0,9000.0,9140.0,267000,CCL.VN
2024-10-11,8509.4443359375,9010.0,9070.0,8990.0,9010.0,191500,CCL.VN
2024-10-14,8509.4443359375,9010.0,9100.0,8980.0,9010.0,238600,CCL.VN
2024-10-15,8452.77734375,8950.0,9090.0,8950.0,9050.0,308500,CCL.VN
2024-10-16,8509.4443359375,9010.0,9050.0,8950.0,8960.0,110200,CCL.VN
2024-10-17,8707.77734375,9220.0,9300.0,8990.0,9050.0,488700,CCL.VN
2024-10-18,8670.0,9180.0,9310.0,9180.0,9230.0,221500,CCL.VN
2024-10-21,8528.3330078125,9030.0,9130.0,9030.0,9130.0,356800,CCL.VN
2024-10-22,8443.3330078125,8940.0,9170.0,8900.0,9170.0,530800,CCL.VN
2024-10-23,8500.0,9000.0,9040.0,8940.0,9000.0,272700,CCL.VN
2024-10-24,8300.0,8300.0,8600.0,8100.0,8100.0,216200,CCL.VN
2024-10-25,8150.0,8150.0,8340.0,8150.0,8310.0,218800,CCL.VN
2024-10-28,8070.0,8070.0,8200.0,7920.0,8200.0,339100,CCL.VN
2024-10-29,8120.0,8120.0,8120.0,8000.0,8030.0,261100,CCL.VN
2024-10-31,7980.0,7980.0,8040.0,7980.0,8040.0,154600,CCL.VN
2024-11-01,7710.0,7710.0,8050.0,7680.0,8050.0,577800,CCL.VN
2024-11-04,7530.0,7530.0,7710.0,7500.0,7710.0,323800,CCL.VN
2024-11-06,7620.0,7620.0,7780.0,7560.0,7570.0,274800,CCL.VN
2024-11-07,7720.0,7720.0,7770.0,7660.0,7660.0,146500,CCL.VN
2024-11-08,7650.0,7650.0,7740.0,7630.0,7730.0,171700,CCL.VN
2024-11-11,7510.0,7510.0,7620.0,7320.0,7620.0,414400,CCL.VN
2024-11-12,7520.0,7520.0,7580.0,7440.0,7520.0,161100,CCL.VN
2024-11-13,7490.0,7490.0,7520.0,7400.0,7520.0,383400,CCL.VN
2024-11-14,7530.0,7530.0,7700.0,7500.0,7530.0,278400,CCL.VN
2024-11-15,7350.0,7350.0,7530.0,7350.0,7500.0,255700,CCL.VN
2024-11-18,7390.0,7390.0,7400.0,7210.0,7350.0,168000,CCL.VN
2024-11-19,7230.0,7230.0,7450.0,7230.0,7390.0,146600,CCL.VN
2024-11-20,7370.0,7370.0,7420.0,7240.0,7290.0,220300,CCL.VN
2024-11-21,7380.0,7380.0,7400.0,7300.0,7370.0,130800,CCL.VN
2024-11-22,7310.0,7310.0,7430.0,7310.0,7380.0,135200,CCL.VN
2024-11-25,7290.0,7290.0,7350.0,7280.0,7310.0,212400,CCL.VN
2024-11-26,7390.0,7390.0,7480.0,7290.0,7290.0,210900,CCL.VN
2024-11-27,7320.0,7320.0,7390.0,7290.0,7390.0,251100,CCL.VN
2024-11-28,7830.0,7830.0,7830.0,7330.0,7330.0,892900,CCL.VN
2024-11-29,7970.0,7970.0,8210.0,7960.0,8000.0,582400,CCL.VN
2024-12-02,8310.0,8310.0,8510.0,8150.0,8350.0,718400,CCL.VN
2024-12-03,8370.0,8370.0,8440.0,8150.0,8310.0,564000,CCL.VN
2024-12-04,8530.0,8530.0,8610.0,8330.0,8340.0,736900,CCL.VN
2024-12-05,9120.0,9120.0,9120.0,8460.0,8460.0,1503200,CCL.VN
2024-12-06,9200.0,9200.0,9520.0,9140.0,9140.0,734600,CCL.VN
2024-12-09,8950.0,8950.0,9450.0,8910.0,9350.0,744600,CCL.VN
2024-12-10,9020.0,9020.0,9160.0,8750.0,8940.0,758000,CCL.VN
2024-12-11,9300.0,9300.0,9300.0,8870.0,9020.0,550100,CCL.VN
2024-12-12,9330.0,9330.0,9480.0,9300.0,9390.0,568500,CCL.VN
2024-12-13,9020.0,9020.0,9300.0,9000.0,9210.0,334200,CCL.VN
2024-12-16,9000.0,9000.0,9100.0,8800.0,9020.0,403300,CCL.VN
2024-12-17,9030.0,9030.0,9090.0,8850.0,9000.0,246000,CCL.VN
2024-12-18,9070.0,9070.0,9120.0,8950.0,9000.0,291300,CCL.VN
2024-12-19,8990.0,8990.0,9070.0,8750.0,9000.0,441200,CCL.VN
2024-12-20,9160.0,9160.0,9250.0,9000.0,9000.0,696300,CCL.VN
2024-12-23,9430.0,9430.0,9600.0,9180.0,9290.0,621000,CCL.VN
2024-12-24,9300.0,9300.0,9590.0,9250.0,9420.0,818000,CCL.VN
2024-12-25,9260.0,9260.0,9400.0,9140.0,9300.0,427100,CCL.VN
2024-12-26,9070.0,9070.0,9260.0,9070.0,9260.0,545300,CCL.VN
2024-12-27,8970.0,8970.0,9110.0,8900.0,9090.0,377000,CCL.VN
2024-12-30,8910.0,8910.0,9000.0,8840.0,8960.0,353600,CCL.VN
2024-12-31,9010.0,9010.0,9200.0,8920.0,9200.0,185100,CCL.VN
2025-01-02,9050.0,9050.0,9120.0,8910.0,9010.0,195900,CCL.VN
2025-01-03,9000.0,9000.0,9130.0,8820.0,9120.0,234100,CCL.VN
2025-01-06,8650.0,8650.0,9040.0,8650.0,9040.0,478700,CCL.VN
2025-01-07,8570.0,8570.0,8790.0,8210.0,8660.0,603800,CCL.VN
2025-01-08,8200.0,8200.0,8600.0,7980.0,8600.0,1005100,CCL.VN
2025-01-09,8380.0,8380.0,8460.0,8200.0,8300.0,221700,CCL.VN
