Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,CMX.VN,CMX.VN,CMX.VN,CMX.VN,CMX.VN,CMX.VN,
2024-07-16,11400.0,11400.0,11650.0,11150.0,11650.0,1123200,CMX.VN
2024-07-17,10650.0,10650.0,11450.0,10650.0,11400.0,2231800,CMX.VN
2024-07-18,11050.0,11050.0,11050.0,10550.0,10650.0,1000200,CMX.VN
2024-07-19,11000.0,11000.0,11300.0,10850.0,11100.0,1068100,CMX.VN
2024-07-22,10250.0,10250.0,11000.0,10250.0,10950.0,1697000,CMX.VN
2024-07-23,9600.0,9600.0,10450.0,9600.0,10250.0,1223200,CMX.VN
2024-07-24,10250.0,10250.0,10250.0,9500.0,9600.0,1000500,CMX.VN
2024-07-25,10350.0,10350.0,10400.0,10100.0,10100.0,460900,CMX.VN
2024-07-26,10400.0,10400.0,10500.0,10100.0,10450.0,365100,CMX.VN
2024-07-29,10300.0,10300.0,10550.0,10200.0,10450.0,598800,CMX.VN
2024-07-30,9580.0,9580.0,9880.0,9580.0,9860.0,4193900,CMX.VN
2024-07-31,9390.0,9390.0,9610.0,9210.0,9580.0,678800,CMX.VN
2024-08-01,8800.0,8800.0,9400.0,8800.0,9390.0,1217200,CMX.VN
2024-08-02,8890.0,8890.0,9100.0,8660.0,8800.0,445000,CMX.VN
2024-08-05,8270.0,8270.0,8890.0,8270.0,8890.0,1042300,CMX.VN
2024-08-06,8390.0,8390.0,8400.0,8100.0,8270.0,741300,CMX.VN
2024-08-07,8500.0,8500.0,8550.0,8340.0,8490.0,293200,CMX.VN
2024-08-08,8400.0,8400.0,8560.0,8340.0,8500.0,365700,CMX.VN
2024-08-09,8540.0,8540.0,8540.0,8400.0,8420.0,481200,CMX.VN
2024-08-12,8780.0,8780.0,8920.0,8510.0,8690.0,340900,CMX.VN
2024-08-13,8770.0,8770.0,8950.0,8710.0,8780.0,376200,CMX.VN
2024-08-14,8660.0,8660.0,8800.0,8650.0,8800.0,243600,CMX.VN
2024-08-15,8580.0,8580.0,8700.0,8500.0,8700.0,975500,CMX.VN
2024-08-16,8900.0,8900.0,8970.0,8590.0,8700.0,488500,CMX.VN
2024-08-19,9070.0,9070.0,9170.0,9000.0,9000.0,1033100,CMX.VN
2024-08-20,9150.0,9150.0,9180.0,8900.0,9040.0,439800,CMX.VN
2024-08-21,9090.0,9090.0,9220.0,9040.0,9150.0,421600,CMX.VN
2024-08-22,9010.0,9010.0,9140.0,9010.0,9110.0,246900,CMX.VN
2024-08-23,9130.0,9130.0,9280.0,9010.0,9020.0,442000,CMX.VN
2024-08-26,9060.0,9060.0,9250.0,9050.0,9250.0,342500,CMX.VN
2024-08-28,8940.0,8940.0,9090.0,8900.0,9090.0,275200,CMX.VN
2024-08-29,8820.0,8820.0,9010.0,8780.0,8930.0,368300,CMX.VN
2024-08-30,8820.0,8820.0,8900.0,8800.0,8860.0,253900,CMX.VN
2024-09-04,8680.0,8680.0,8710.0,8550.0,8700.0,522600,CMX.VN
2024-09-05,8510.0,8510.0,8790.0,8480.0,8650.0,530500,CMX.VN
2024-09-06,8050.0,8050.0,8400.0,7920.0,8100.0,1292300,CMX.VN
2024-09-09,8210.0,8210.0,8300.0,8020.0,8050.0,415800,CMX.VN
2024-09-10,8090.0,8090.0,8290.0,8000.0,8010.0,361500,CMX.VN
2024-09-11,8080.0,8080.0,8090.0,7950.0,8050.0,387700,CMX.VN
2024-09-12,8160.0,8160.0,8200.0,8090.0,8180.0,208700,CMX.VN
2024-09-13,8130.0,8130.0,8280.0,8050.0,8100.0,178800,CMX.VN
2024-09-16,8080.0,8080.0,8140.0,8020.0,8050.0,204200,CMX.VN
2024-09-17,8120.0,8120.0,8120.0,7900.0,7950.0,360000,CMX.VN
2024-09-18,8140.0,8140.0,8290.0,8130.0,8130.0,225900,CMX.VN
2024-09-19,8200.0,8200.0,8270.0,8140.0,8250.0,186000,CMX.VN
2024-09-20,8180.0,8180.0,8310.0,8160.0,8300.0,208500,CMX.VN
2024-09-23,8130.0,8130.0,8200.0,8110.0,8200.0,158700,CMX.VN
2024-09-24,8120.0,8120.0,8170.0,8080.0,8130.0,195500,CMX.VN
2024-09-25,8200.0,8200.0,8200.0,8090.0,8160.0,250100,CMX.VN
2024-09-26,8170.0,8170.0,8260.0,8130.0,8200.0,215600,CMX.VN
2024-09-27,8170.0,8170.0,8230.0,8120.0,8190.0,220500,CMX.VN
2024-09-30,8100.0,8100.0,8170.0,8100.0,8170.0,236400,CMX.VN
2024-10-01,8110.0,8110.0,8250.0,8090.0,8110.0,471700,CMX.VN
2024-10-02,8110.0,8110.0,8150.0,8090.0,8150.0,315700,CMX.VN
2024-10-03,8010.0,8010.0,8190.0,8010.0,8140.0,315200,CMX.VN
2024-10-04,8050.0,8050.0,8090.0,7980.0,8010.0,255500,CMX.VN
2024-10-07,8040.0,8040.0,8110.0,7980.0,8110.0,143000,CMX.VN
2024-10-08,8010.0,8010.0,8050.0,7980.0,8040.0,241100,CMX.VN
2024-10-09,8020.0,8020.0,8050.0,8000.0,8010.0,137400,CMX.VN
2024-10-10,8010.0,8010.0,8050.0,8000.0,8040.0,240000,CMX.VN
2024-10-11,8040.0,8040.0,8050.0,8010.0,8020.0,119200,CMX.VN
2024-10-14,8040.0,8040.0,8080.0,8030.0,8070.0,187200,CMX.VN
2024-10-15,7980.0,7980.0,8060.0,7980.0,8050.0,187600,CMX.VN
2024-10-16,7980.0,7980.0,8010.0,7930.0,8010.0,183500,CMX.VN
2024-10-17,7960.0,7960.0,8000.0,7930.0,7970.0,164300,CMX.VN
2024-10-18,7940.0,7940.0,8010.0,7940.0,7960.0,125200,CMX.VN
2024-10-21,7860.0,7860.0,7980.0,7860.0,7980.0,117700,CMX.VN
2024-10-22,7700.0,7700.0,7860.0,7680.0,7860.0,320800,CMX.VN
2024-10-23,7640.0,7640.0,7710.0,7570.0,7600.0,285100,CMX.VN
