Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,CNG.VN,CNG.VN,CNG.VN,CNG.VN,CNG.VN,CNG.VN,
2024-07-16,33833.33203125,35000.0,35750.0,34900.0,35750.0,267600,CNG.VN
2024-07-17,31948.33203125,33050.0,35000.0,32550.0,35000.0,612400,CNG.VN
2024-07-18,34171.6640625,35350.0,35350.0,34500.0,35000.0,803300,CNG.VN
2024-07-19,35090.0,36300.0,37700.0,35950.0,36000.0,1229100,CNG.VN
2024-07-22,34896.6640625,36100.0,37550.0,35950.0,36800.0,931500,CNG.VN
2024-07-23,33446.6640625,34600.0,36650.0,34500.0,36100.0,705300,CNG.VN
2024-07-24,35766.6640625,37000.0,37000.0,33950.0,34100.0,868500,CNG.VN
2024-07-25,36733.33203125,38000.0,39200.0,37000.0,37200.0,980100,CNG.VN
2024-07-26,37893.33203125,39200.0,39600.0,37200.0,38000.0,647900,CNG.VN
2024-07-29,37458.33203125,38750.0,40050.0,38600.0,40000.0,690600,CNG.VN
2024-07-30,37216.6640625,38500.0,39700.0,38000.0,39000.0,728300,CNG.VN
2024-07-31,36491.6640625,37750.0,39100.0,37300.0,38500.0,504900,CNG.VN
2024-08-01,35380.0,36600.0,38300.0,36050.0,37750.0,994000,CNG.VN
2024-08-02,35766.6640625,37000.0,37000.0,35250.0,35950.0,586100,CNG.VN
2024-08-05,33301.6640625,34450.0,36650.0,34450.0,35300.0,878500,CNG.VN
2024-08-06,33930.0,35100.0,35300.0,33950.0,35000.0,425600,CNG.VN
2024-08-07,34413.33203125,35600.0,35600.0,34350.0,35200.0,244200,CNG.VN
2024-08-08,34461.6640625,35650.0,36400.0,35100.0,35600.0,501800,CNG.VN
2024-08-09,34510.0,35700.0,36000.0,35300.0,36000.0,205300,CNG.VN
2024-08-12,35090.0,36300.0,36800.0,35600.0,35650.0,349200,CNG.VN
2024-08-13,34800.0,36000.0,36550.0,35600.0,36550.0,213700,CNG.VN
2024-08-14,34848.33203125,36050.0,36700.0,35850.0,36100.0,251700,CNG.VN
2024-08-15,33833.33203125,35000.0,36100.0,35000.0,36050.0,275100,CNG.VN
2024-08-16,35090.0,36300.0,36450.0,35050.0,35500.0,492000,CNG.VN
2024-08-19,35766.6640625,37000.0,37500.0,36300.0,36700.0,470700,CNG.VN
2024-08-20,35766.6640625,37000.0,38000.0,36650.0,37300.0,371900,CNG.VN
2024-08-21,35911.6640625,37150.0,37500.0,36800.0,37000.0,384800,CNG.VN
2024-08-22,35766.6640625,37000.0,37250.0,36700.0,37150.0,238400,CNG.VN
2024-08-23,35573.33203125,36800.0,37000.0,36450.0,37000.0,215200,CNG.VN
2024-08-26,34993.33203125,36200.0,37000.0,36200.0,36800.0,200100,CNG.VN
2024-08-28,34800.0,36000.0,36300.0,35500.0,36000.0,205900,CNG.VN
2024-08-29,35235.0,36450.0,36600.0,35850.0,36000.0,128000,CNG.VN
2024-08-30,34993.33203125,36200.0,36550.0,36100.0,36550.0,105600,CNG.VN
2024-09-04,34703.33203125,35900.0,36700.0,35700.0,35800.0,192500,CNG.VN
2024-09-05,34558.33203125,35750.0,36400.0,35700.0,36150.0,157400,CNG.VN
2024-09-06,34800.0,36000.0,36100.0,35700.0,35800.0,157600,CNG.VN
2024-09-09,34606.6640625,35800.0,36000.0,35500.0,35700.0,110400,CNG.VN
2024-09-10,33833.33203125,35000.0,36000.0,34950.0,36000.0,281700,CNG.VN
2024-09-11,33591.6640625,34750.0,35000.0,34200.0,35000.0,242800,CNG.VN
2024-09-12,33591.6640625,34750.0,35100.0,34700.0,35000.0,129800,CNG.VN
2024-09-13,33978.33203125,35150.0,35400.0,34550.0,34750.0,146900,CNG.VN
2024-09-16,33640.0,34800.0,35150.0,34500.0,35150.0,206700,CNG.VN
2024-09-17,33930.0,35100.0,35100.0,34450.0,34800.0,104800,CNG.VN
