Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,CTR.VN,CTR.VN,CTR.VN,CTR.VN,CTR.VN,CTR.VN,
2024-07-16,139058.34375,142000.0,145800.0,140500.0,145500.0,387800,CTR.VN
2024-07-17,135532.921875,138400.0,142900.0,132100.0,142300.0,907400,CTR.VN
2024-07-18,131615.78125,134400.0,138300.0,130700.0,138200.0,479300,CTR.VN
2024-07-19,132399.21875,135200.0,137000.0,133900.0,137000.0,141600,CTR.VN
2024-07-22,125446.296875,128100.0,135000.0,127100.0,135000.0,558600,CTR.VN
2024-07-23,119472.6640625,122000.0,129800.0,121900.0,127000.0,518400,CTR.VN
2024-07-24,127796.578125,130500.0,130500.0,117500.0,119100.0,856800,CTR.VN
2024-07-25,126327.6484375,129000.0,130400.0,126000.0,130400.0,312900,CTR.VN
2024-07-26,130244.7890625,133000.0,133900.0,126400.0,128000.0,630500,CTR.VN
2024-07-29,128775.859375,131500.0,133800.0,130900.0,133000.0,184200,CTR.VN
2024-07-30,127796.578125,130500.0,131700.0,128000.0,131500.0,326700,CTR.VN
2024-07-31,123389.796875,126000.0,130000.0,126000.0,130000.0,409000,CTR.VN
2024-08-01,120941.5859375,123500.0,127200.0,120300.0,126100.0,588800,CTR.VN
2024-08-02,121431.2265625,124000.0,124500.0,119200.0,120700.0,551800,CTR.VN
2024-08-05,113205.2421875,115600.0,123000.0,115400.0,120100.0,591400,CTR.VN
2024-08-06,116828.59375,119300.0,120000.0,112500.0,115700.0,605500,CTR.VN
2024-08-07,116534.8125,119000.0,120800.0,118000.0,119300.0,294700,CTR.VN
2024-08-08,115457.59375,117900.0,119400.0,116200.0,119400.0,298600,CTR.VN
2024-08-09,120354.015625,122900.0,124500.0,118400.0,119000.0,368100,CTR.VN
2024-08-12,120451.9453125,123000.0,124000.0,122600.0,123700.0,170300,CTR.VN
2024-08-13,118493.375,121000.0,125400.0,120400.0,123200.0,464400,CTR.VN
2024-08-14,118493.375,121000.0,122900.0,121000.0,122100.0,129200,CTR.VN
2024-08-15,117122.3828125,119600.0,121300.0,119500.0,121100.0,250700,CTR.VN
2024-08-16,125250.4375,127900.0,127900.0,120000.0,120000.0,714000,CTR.VN
2024-08-19,124858.7265625,127500.0,131000.0,126000.0,131000.0,277200,CTR.VN
2024-08-20,125446.296875,128100.0,129700.0,126500.0,129700.0,388200,CTR.VN
2024-08-21,125838.0078125,128500.0,130000.0,128100.0,128100.0,220100,CTR.VN
2024-08-22,124564.9375,127200.0,129400.0,126800.0,128500.0,355000,CTR.VN
2024-08-23,125935.9375,128600.0,130000.0,126200.0,127300.0,195700,CTR.VN
2024-08-26,124271.15625,126900.0,130500.0,126900.0,128800.0,240200,CTR.VN
2024-08-28,123487.7265625,126100.0,127900.0,126100.0,127000.0,171400,CTR.VN
2024-08-29,123096.015625,125700.0,126800.0,125600.0,126200.0,109900,CTR.VN
2024-08-30,125446.296875,128100.0,128700.0,125900.0,125900.0,286900,CTR.VN
2024-09-04,124564.9375,127200.0,127300.0,126100.0,126300.0,245500,CTR.VN
2024-09-05,122410.515625,125000.0,127300.0,125000.0,127200.0,232000,CTR.VN
2024-09-06,121920.875,124500.0,125000.0,123000.0,125000.0,196300,CTR.VN
2024-09-09,121822.9453125,124400.0,125300.0,123000.0,124400.0,114100,CTR.VN
2024-09-10,120549.875,123100.0,125300.0,123100.0,125300.0,145500,CTR.VN
2024-09-11,120451.9453125,123000.0,124500.0,122000.0,123000.0,121400,CTR.VN
2024-09-12,121822.9453125,124400.0,124700.0,123200.0,124000.0,191100,CTR.VN
2024-09-13,122410.515625,125000.0,125800.0,124000.0,124200.0,117300,CTR.VN
2024-09-16,121431.2265625,124000.0,125700.0,124000.0,125000.0,167100,CTR.VN
2024-09-17,122018.796875,124600.0,124600.0,122700.0,123200.0,158800,CTR.VN
2024-09-18,130538.5703125,133300.0,133300.0,125100.0,125100.0,1145300,CTR.VN
2024-09-19,131713.71875,134500.0,136000.0,133600.0,136000.0,418200,CTR.VN
2024-09-20,129951.0,132700.0,135500.0,131700.0,134900.0,486400,CTR.VN
2024-09-23,126425.578125,129100.0,133100.0,129100.0,133100.0,448700,CTR.VN
2024-09-24,130734.4296875,133500.0,135500.0,129800.0,129800.0,975000,CTR.VN
2024-09-25,129755.140625,132500.0,134900.0,132400.0,133500.0,273000,CTR.VN
2024-09-26,128580.0,131300.0,133400.0,131100.0,132500.0,249600,CTR.VN
2024-09-27,127000.0,127000.0,129900.0,126600.0,129900.0,506300,CTR.VN
2024-09-30,126400.0,126400.0,127700.0,126200.0,126700.0,141300,CTR.VN
2024-10-01,126300.0,126300.0,128300.0,126300.0,127100.0,207900,CTR.VN
2024-10-02,126800.0,126800.0,127200.0,126000.0,126300.0,606900,CTR.VN
2024-10-03,126200.0,126200.0,128200.0,125800.0,127000.0,187800,CTR.VN
2024-10-04,128000.0,128000.0,130400.0,126000.0,126000.0,551800,CTR.VN
2024-10-07,128000.0,128000.0,129500.0,127700.0,128000.0,128000,CTR.VN
2024-10-08,128200.0,128200.0,129500.0,127700.0,128000.0,331300,CTR.VN
2024-10-09,133100.0,133100.0,135000.0,128500.0,128500.0,759600,CTR.VN
2024-10-10,133200.0,133200.0,133800.0,131800.0,133500.0,317600,CTR.VN
2024-10-11,135600.0,135600.0,137000.0,132100.0,132500.0,339500,CTR.VN
2024-10-14,133600.0,133600.0,136000.0,133400.0,136000.0,217300,CTR.VN
2024-10-15,131500.0,131500.0,134800.0,131500.0,133600.0,713400,CTR.VN
2024-10-16,133200.0,133200.0,133400.0,131300.0,131500.0,210200,CTR.VN
2024-10-17,132800.0,132800.0,135500.0,131600.0,133200.0,249200,CTR.VN
2024-10-18,132000.0,132000.0,135000.0,131500.0,132900.0,326000,CTR.VN
2024-10-21,130700.0,130700.0,132300.0,130700.0,132000.0,149600,CTR.VN
2024-10-22,127400.0,127400.0,130700.0,127000.0,130000.0,521700,CTR.VN
2024-10-23,126100.0,126100.0,127300.0,125400.0,127300.0,441900,CTR.VN
