Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,CVT.VN,CVT.VN,CVT.VN,CVT.VN,CVT.VN,CVT.VN,
2024-07-16,28000.0,28000.0,28000.0,26700.0,26700.0,2800,CVT.VN
2024-07-23,28450.0,28450.0,28450.0,28450.0,28450.0,100,CVT.VN
2024-07-24,28950.0,28950.0,28950.0,27350.0,27350.0,5800,CVT.VN
2024-07-26,27900.0,27900.0,27900.0,27050.0,27050.0,3200,CVT.VN
2024-07-29,28450.0,28450.0,28450.0,27800.0,27800.0,4100,CVT.VN
2024-07-31,27000.0,27000.0,27000.0,26850.0,26850.0,2100,CVT.VN
2024-08-01,26900.0,26900.0,27200.0,26250.0,26250.0,600,CVT.VN
2024-08-02,27900.0,27900.0,27900.0,25400.0,25400.0,5700,CVT.VN
2024-08-06,28450.0,28450.0,28450.0,28000.0,28000.0,500,CVT.VN
2024-08-08,26650.0,26650.0,26650.0,26650.0,26650.0,100,CVT.VN
2024-08-09,26000.0,26000.0,27850.0,26000.0,27400.0,3900,CVT.VN
2024-08-12,27750.0,27750.0,27750.0,26000.0,26000.0,6900,CVT.VN
2024-08-14,27750.0,27750.0,27750.0,27750.0,27750.0,1600,CVT.VN
2024-08-16,27300.0,27300.0,27950.0,26000.0,26000.0,5600,CVT.VN
2024-08-19,27300.0,27300.0,27300.0,26250.0,26250.0,800,CVT.VN
2024-08-20,27800.0,27800.0,27800.0,27000.0,27000.0,4400,CVT.VN
2024-08-21,26800.0,26800.0,26800.0,26800.0,26800.0,100,CVT.VN
2024-08-22,27750.0,27750.0,27750.0,26700.0,26700.0,1700,CVT.VN
2024-08-23,27300.0,27300.0,27300.0,27300.0,27300.0,100,CVT.VN
2024-08-26,27750.0,27750.0,27750.0,27750.0,27750.0,400,CVT.VN
2024-08-29,27500.0,27500.0,27550.0,26200.0,27550.0,9400,CVT.VN
2024-08-30,27650.0,27650.0,27650.0,27500.0,27500.0,200,CVT.VN
2024-09-05,27650.0,27650.0,27650.0,27000.0,27350.0,6600,CVT.VN
2024-09-10,26600.0,26600.0,26600.0,26600.0,26600.0,600,CVT.VN
