Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,DRC.VN,DRC.VN,DRC.VN,DRC.VN,DRC.VN,DRC.VN,
2024-07-16,34569.6875,36200.0,36700.0,35600.0,36500.0,837500,DRC.VN
2024-07-17,32325.51953125,33850.0,36200.0,33700.0,36200.0,1966600,DRC.VN
2024-07-18,33901.2109375,35500.0,35500.0,33950.0,33950.0,1317800,DRC.VN
2024-07-19,33805.71484375,35400.0,35750.0,34700.0,35500.0,705600,DRC.VN
2024-07-22,32803.00390625,34350.0,35300.0,34000.0,35300.0,960800,DRC.VN
2024-07-23,32468.763671875,34000.0,34600.0,33050.0,34550.0,884500,DRC.VN
2024-07-24,32803.00390625,34350.0,34400.0,32900.0,33550.0,862700,DRC.VN
2024-07-25,32898.5,34450.0,34450.0,33750.0,34200.0,292200,DRC.VN
2024-07-26,32946.24609375,34500.0,34550.0,34250.0,34500.0,242500,DRC.VN
2024-07-29,33184.98828125,34750.0,34950.0,34450.0,34500.0,446100,DRC.VN
2024-07-30,33423.7265625,35000.0,35400.0,34650.0,34750.0,779000,DRC.VN
2024-07-31,33328.23046875,34900.0,35100.0,34050.0,34850.0,478600,DRC.VN
2024-08-01,32277.771484375,33800.0,34900.0,32950.0,34900.0,943800,DRC.VN
2024-08-02,32373.267578125,33900.0,33900.0,33000.0,33000.0,549000,DRC.VN
2024-08-05,30415.591796875,31850.0,33400.0,31700.0,33200.0,982100,DRC.VN
2024-08-06,30845.326171875,32300.0,32500.0,31250.0,31900.0,417500,DRC.VN
2024-08-07,30654.333984375,32100.0,32700.0,31900.0,32650.0,289400,DRC.VN
2024-08-08,30558.837890625,32000.0,32300.0,31500.0,32100.0,415600,DRC.VN
2024-08-09,31466.052734375,32950.0,33050.0,32050.0,32100.0,348400,DRC.VN
2024-08-12,31991.283203125,33500.0,33650.0,32700.0,33150.0,352500,DRC.VN
2024-08-13,32086.779296875,33600.0,33600.0,33000.0,33200.0,324400,DRC.VN
2024-08-14,32039.03125,33550.0,33600.0,33200.0,33550.0,227500,DRC.VN
2024-08-15,32039.03125,33550.0,33550.0,32650.0,33100.0,504100,DRC.VN
2024-08-16,32564.259765625,34100.0,34400.0,33200.0,33550.0,677300,DRC.VN
2024-08-19,32373.267578125,33900.0,34350.0,33800.0,34100.0,419900,DRC.VN
2024-08-20,32516.51171875,34050.0,34100.0,33650.0,33700.0,511000,DRC.VN
2024-08-21,32898.5,34450.0,34850.0,34050.0,34050.0,839800,DRC.VN
2024-08-22,32564.259765625,34100.0,34750.0,34050.0,34500.0,329800,DRC.VN
2024-08-23,32134.52734375,33650.0,34100.0,33450.0,34100.0,524800,DRC.VN
2024-08-26,31991.283203125,33500.0,34000.0,33400.0,34000.0,317200,DRC.VN
