Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,DRH.VN,DRH.VN,DRH.VN,DRH.VN,DRH.VN,DRH.VN,
2024-07-16,3240.0,3240.0,3320.0,3240.0,3260.0,187600,DRH.VN
2024-07-17,3080.0,3080.0,3240.0,3040.0,3200.0,587100,DRH.VN
2024-07-18,3010.0,3010.0,3080.0,3000.0,3080.0,535600,DRH.VN
2024-07-19,2840.0,2840.0,3010.0,2800.0,3010.0,1244400,DRH.VN
2024-07-22,2840.0,2840.0,2850.0,2670.0,2800.0,554000,DRH.VN
2024-07-23,2810.0,2810.0,2870.0,2760.0,2840.0,374400,DRH.VN
2024-07-24,2940.0,2940.0,3000.0,2800.0,2800.0,344300,DRH.VN
2024-07-25,2870.0,2870.0,2940.0,2850.0,2940.0,146300,DRH.VN
2024-07-26,2770.0,2770.0,2870.0,2700.0,2870.0,474000,DRH.VN
2024-07-29,2680.0,2680.0,2770.0,2670.0,2670.0,383100,DRH.VN
2024-07-30,2500.0,2500.0,2670.0,2500.0,2670.0,1917000,DRH.VN
2024-07-31,2610.0,2610.0,2610.0,2360.0,2500.0,1329300,DRH.VN
2024-08-01,2500.0,2500.0,2650.0,2480.0,2650.0,918400,DRH.VN
2024-08-02,2500.0,2500.0,2530.0,2400.0,2480.0,332000,DRH.VN
2024-08-05,2370.0,2370.0,2500.0,2330.0,2500.0,1057900,DRH.VN
2024-08-06,2400.0,2400.0,2420.0,2330.0,2330.0,227000,DRH.VN
2024-08-07,2490.0,2490.0,2530.0,2400.0,2400.0,1213700,DRH.VN
2024-08-08,2420.0,2420.0,2520.0,2330.0,2450.0,448200,DRH.VN
2024-08-09,2420.0,2420.0,2450.0,2420.0,2420.0,74400,DRH.VN
2024-08-12,2450.0,2450.0,2580.0,2380.0,2550.0,244600,DRH.VN
2024-08-13,2420.0,2420.0,2460.0,2420.0,2460.0,125100,DRH.VN
2024-08-14,2400.0,2400.0,2440.0,2400.0,2420.0,59100,DRH.VN
2024-08-15,2370.0,2370.0,2400.0,2360.0,2400.0,470900,DRH.VN
2024-08-16,2500.0,2500.0,2520.0,2370.0,2420.0,424500,DRH.VN
2024-08-19,2460.0,2460.0,2550.0,2460.0,2500.0,103200,DRH.VN
2024-08-20,2500.0,2500.0,2590.0,2450.0,2520.0,669100,DRH.VN
2024-08-21,2500.0,2500.0,2580.0,2350.0,2350.0,107400,DRH.VN
2024-08-22,2500.0,2500.0,2600.0,2460.0,2600.0,255300,DRH.VN
2024-08-23,2500.0,2500.0,2500.0,2450.0,2460.0,243800,DRH.VN
2024-08-26,2350.0,2350.0,2540.0,2350.0,2500.0,397700,DRH.VN
2024-08-27,2440.0,2440.0,2440.0,2350.0,2350.0,475000,DRH.VN
2024-08-28,2400.0,2400.0,2420.0,2380.0,2420.0,251200,DRH.VN
2024-08-29,2390.0,2390.0,2420.0,2370.0,2400.0,137000,DRH.VN
2024-08-30,2380.0,2380.0,2410.0,2370.0,2390.0,224400,DRH.VN
2024-09-04,2360.0,2360.0,2390.0,2320.0,2380.0,240600,DRH.VN
2024-09-05,2330.0,2330.0,2400.0,2300.0,2360.0,280400,DRH.VN
2024-09-06,2320.0,2320.0,2330.0,2250.0,2300.0,400800,DRH.VN
2024-09-09,2160.0,2160.0,2200.0,2160.0,2160.0,2304000,DRH.VN
2024-09-10,2010.0,2010.0,2150.0,2010.0,2010.0,568200,DRH.VN
2024-09-11,1870.0,1870.0,1870.0,1870.0,1870.0,829300,DRH.VN
2024-09-12,1780.0,1780.0,1900.0,1740.0,1740.0,3512800,DRH.VN
2024-09-13,1900.0,1900.0,1900.0,1740.0,1780.0,2699900,DRH.VN
2024-09-16,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-09-17,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-09-18,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-09-19,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-09-20,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-09-23,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-09-24,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-09-25,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-09-26,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-09-27,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-09-30,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-10-01,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-10-02,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-10-03,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-10-04,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-10-07,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-10-08,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-10-09,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-10-10,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-10-11,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-10-14,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-10-15,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-10-16,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-10-17,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-10-18,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
2024-10-21,1900.0,1900.0,1900.0,1900.0,1900.0,0,DRH.VN
