Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,DXV.VN,DXV.VN,DXV.VN,DXV.VN,DXV.VN,DXV.VN,
2024-07-16,5400.0,5400.0,5460.0,5400.0,5460.0,1600,DXV.VN
2024-07-17,5030.0,5030.0,5200.0,5030.0,5060.0,8000,DXV.VN
2024-07-18,5100.0,5100.0,5100.0,4700.0,4700.0,8000,DXV.VN
2024-07-19,5100.0,5100.0,5240.0,4750.0,5240.0,2300,DXV.VN
2024-07-22,5100.0,5100.0,5100.0,4750.0,4750.0,10100,DXV.VN
2024-07-23,5100.0,5100.0,5100.0,4770.0,5100.0,1000,DXV.VN
2024-07-24,4760.0,4760.0,4760.0,4760.0,4760.0,2000,DXV.VN
2024-07-25,4970.0,4970.0,5070.0,4770.0,5070.0,800,DXV.VN
2024-07-26,4950.0,4950.0,4950.0,4630.0,4690.0,14500,DXV.VN
2024-07-29,5000.0,5000.0,5080.0,4620.0,5080.0,2700,DXV.VN
2024-07-30,4650.0,4650.0,4690.0,4650.0,4680.0,5600,DXV.VN
2024-07-31,4690.0,4690.0,4700.0,4690.0,4690.0,5000,DXV.VN
2024-08-01,4690.0,4690.0,4690.0,4370.0,4390.0,6700,DXV.VN
2024-08-02,4940.0,4940.0,4940.0,4670.0,4680.0,3900,DXV.VN
2024-08-05,4900.0,4900.0,4940.0,4600.0,4940.0,3000,DXV.VN
2024-08-06,4870.0,4870.0,4900.0,4600.0,4900.0,700,DXV.VN
2024-08-07,4930.0,4930.0,5000.0,4540.0,5000.0,1400,DXV.VN
2024-08-08,4590.0,4590.0,4590.0,4590.0,4590.0,8400,DXV.VN
2024-08-09,4270.0,4270.0,4270.0,4270.0,4270.0,9000,DXV.VN
2024-08-12,3980.0,3980.0,3980.0,3980.0,3980.0,13600,DXV.VN
2024-08-13,3750.0,3750.0,3980.0,3710.0,3710.0,145600,DXV.VN
2024-08-14,3790.0,3790.0,4010.0,3790.0,3980.0,10100,DXV.VN
2024-08-15,3700.0,3700.0,4050.0,3630.0,4050.0,32900,DXV.VN
2024-08-16,3800.0,3800.0,3890.0,3700.0,3710.0,41000,DXV.VN
2024-08-19,3990.0,3990.0,4050.0,3820.0,3820.0,8200,DXV.VN
2024-08-20,4000.0,4000.0,4020.0,3790.0,3790.0,17100,DXV.VN
2024-08-21,4010.0,4010.0,4090.0,3790.0,3820.0,2800,DXV.VN
2024-08-22,3780.0,3780.0,4000.0,3780.0,4000.0,30700,DXV.VN
2024-08-23,3880.0,3880.0,3890.0,3800.0,3800.0,13200,DXV.VN
2024-08-26,3870.0,3870.0,3940.0,3810.0,3940.0,20500,DXV.VN
2024-08-28,3750.0,3750.0,3750.0,3630.0,3710.0,48900,DXV.VN
2024-08-29,3720.0,3720.0,3800.0,3720.0,3800.0,300,DXV.VN
2024-08-30,3720.0,3720.0,3750.0,3700.0,3710.0,17900,DXV.VN
2024-09-04,3750.0,3750.0,3750.0,3710.0,3710.0,600,DXV.VN
2024-09-05,3770.0,3770.0,3770.0,3750.0,3750.0,21900,DXV.VN
2024-09-06,3770.0,3770.0,3780.0,3700.0,3770.0,12300,DXV.VN
2024-09-09,3730.0,3730.0,3750.0,3610.0,3610.0,400,DXV.VN
2024-09-10,3750.0,3750.0,3750.0,3730.0,3730.0,4700,DXV.VN
