Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,FCN.VN,FCN.VN,FCN.VN,FCN.VN,FCN.VN,FCN.VN,
2024-07-16,13950.0,13950.0,14100.0,13900.0,14000.0,147300,FCN.VN
2024-07-17,13250.0,13250.0,14100.0,13200.0,14100.0,492400,FCN.VN
2024-07-18,13650.0,13650.0,13700.0,13300.0,13500.0,461000,FCN.VN
2024-07-19,13550.0,13550.0,13800.0,13500.0,13650.0,257100,FCN.VN
2024-07-22,13500.0,13500.0,13600.0,13400.0,13550.0,417000,FCN.VN
2024-07-23,13300.0,13300.0,13550.0,13250.0,13500.0,323400,FCN.VN
2024-07-24,13300.0,13300.0,13350.0,13000.0,13000.0,180800,FCN.VN
2024-07-25,13150.0,13150.0,13200.0,12400.0,13200.0,249600,FCN.VN
2024-07-26,13150.0,13150.0,13250.0,13150.0,13150.0,67600,FCN.VN
2024-07-29,13200.0,13200.0,13400.0,13100.0,13100.0,124900,FCN.VN
2024-07-30,13100.0,13100.0,13250.0,12900.0,13200.0,113400,FCN.VN
2024-07-31,13000.0,13000.0,13200.0,12950.0,12950.0,150400,FCN.VN
2024-08-01,12500.0,12500.0,13000.0,12500.0,13000.0,276900,FCN.VN
2024-08-02,12250.0,12250.0,12450.0,11950.0,12150.0,335000,FCN.VN
2024-08-05,11400.0,11400.0,12250.0,11400.0,12200.0,644700,FCN.VN
2024-08-06,11550.0,11550.0,11650.0,11400.0,11400.0,381000,FCN.VN
2024-08-07,11700.0,11700.0,11700.0,11000.0,11550.0,157900,FCN.VN
2024-08-08,12250.0,12250.0,12500.0,11400.0,11400.0,656700,FCN.VN
2024-08-09,12250.0,12250.0,12350.0,12150.0,12300.0,208200,FCN.VN
2024-08-12,12500.0,12500.0,12700.0,12100.0,12350.0,312100,FCN.VN
2024-08-13,12350.0,12350.0,12500.0,12100.0,12500.0,309200,FCN.VN
2024-08-14,12150.0,12150.0,12400.0,12150.0,12250.0,80100,FCN.VN
2024-08-15,12250.0,12250.0,12450.0,12050.0,12050.0,203300,FCN.VN
2024-08-16,12600.0,12600.0,12600.0,12250.0,12250.0,657500,FCN.VN
2024-08-19,12650.0,12650.0,12850.0,12650.0,12750.0,200000,FCN.VN
2024-08-20,12800.0,12800.0,12950.0,12500.0,12650.0,568900,FCN.VN
2024-08-21,12900.0,12900.0,13200.0,12800.0,12800.0,370700,FCN.VN
2024-08-22,12800.0,12800.0,12950.0,12700.0,12950.0,171000,FCN.VN
2024-08-23,12900.0,12900.0,12950.0,12750.0,12850.0,542200,FCN.VN
2024-08-26,12650.0,12650.0,13050.0,12650.0,13000.0,257100,FCN.VN
2024-08-28,12600.0,12600.0,12700.0,12500.0,12600.0,1571700,FCN.VN
2024-08-29,12550.0,12550.0,12700.0,12550.0,12600.0,120800,FCN.VN
2024-08-30,12650.0,12650.0,12650.0,12500.0,12550.0,141500,FCN.VN
2024-09-04,13250.0,13250.0,13250.0,12450.0,12650.0,632600,FCN.VN
2024-09-05,13000.0,13000.0,13250.0,13000.0,13250.0,295800,FCN.VN
2024-09-06,12900.0,12900.0,13100.0,12850.0,13000.0,224200,FCN.VN
2024-09-09,12750.0,12750.0,12900.0,12600.0,12600.0,187900,FCN.VN
2024-09-10,12550.0,12550.0,12800.0,12500.0,12750.0,315200,FCN.VN
2024-09-11,12400.0,12400.0,12700.0,12400.0,12700.0,158800,FCN.VN
2024-09-12,12650.0,12650.0,12700.0,12400.0,12400.0,177400,FCN.VN
2024-09-13,12550.0,12550.0,12650.0,12450.0,12500.0,130300,FCN.VN
2024-09-16,12550.0,12550.0,12700.0,12450.0,12450.0,106800,FCN.VN
2024-09-17,12800.0,12800.0,12800.0,12500.0,12500.0,124800,FCN.VN
2024-09-18,12700.0,12700.0,12800.0,12550.0,12800.0,183300,FCN.VN
2024-09-19,12850.0,12850.0,12850.0,12650.0,12700.0,137600,FCN.VN
2024-09-20,13000.0,13000.0,13050.0,12900.0,12900.0,548400,FCN.VN
2024-09-23,13100.0,13100.0,13100.0,12950.0,13000.0,329800,FCN.VN
2024-09-24,13100.0,13100.0,13100.0,12900.0,13000.0,199100,FCN.VN
2024-09-25,13300.0,13300.0,13350.0,13050.0,13100.0,656200,FCN.VN
2024-09-26,13300.0,13300.0,13400.0,13250.0,13350.0,324100,FCN.VN
2024-09-27,13350.0,13350.0,13350.0,13250.0,13300.0,295500,FCN.VN
2024-09-30,13650.0,13650.0,13650.0,13250.0,13300.0,1852500,FCN.VN
2024-10-01,13450.0,13450.0,13800.0,13300.0,13600.0,666500,FCN.VN
2024-10-02,13300.0,13300.0,13450.0,13250.0,13450.0,282200,FCN.VN
2024-10-03,13200.0,13200.0,13350.0,13100.0,13300.0,337100,FCN.VN
2024-10-04,12950.0,12950.0,13200.0,12950.0,13100.0,1234000,FCN.VN
2024-10-07,13000.0,13000.0,13150.0,12950.0,13000.0,93000,FCN.VN
2024-10-08,13000.0,13000.0,13150.0,12900.0,13150.0,126800,FCN.VN
2024-10-09,13000.0,13000.0,13150.0,12950.0,13100.0,200700,FCN.VN
2024-10-10,13200.0,13200.0,13250.0,13000.0,13000.0,227200,FCN.VN
2024-10-11,13100.0,13100.0,13250.0,13050.0,13200.0,94300,FCN.VN
2024-10-14,13400.0,13400.0,13400.0,13100.0,13150.0,375700,FCN.VN
2024-10-15,13600.0,13600.0,14200.0,13250.0,13250.0,708100,FCN.VN
2024-10-16,13400.0,13400.0,13550.0,13300.0,13550.0,109000,FCN.VN
2024-10-17,13150.0,13150.0,13400.0,13000.0,13400.0,203700,FCN.VN
2024-10-18,13450.0,13450.0,13450.0,13000.0,13200.0,176000,FCN.VN
2024-10-21,13200.0,13200.0,13500.0,13200.0,13450.0,5090900,FCN.VN
2024-10-22,13000.0,13000.0,13250.0,12900.0,13200.0,191800,FCN.VN
