Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,FPT.VN,FPT.VN,FPT.VN,FPT.VN,FPT.VN,FPT.VN,
2024-07-16,131942.703125,134000.0,134500.0,132300.0,133600.0,4352200,FPT.VN
2024-07-17,129874.9453125,131900.0,134100.0,129900.0,134000.0,6970100,FPT.VN
2024-07-18,125936.359375,127900.0,131400.0,127800.0,131400.0,10825200,FPT.VN
2024-07-19,124065.5234375,126000.0,129300.0,126000.0,128600.0,6576700,FPT.VN
2024-07-22,122194.6953125,124100.0,126000.0,123200.0,126000.0,6216900,FPT.VN
2024-07-23,123573.203125,125500.0,127500.0,124800.0,124900.0,5411600,FPT.VN
2024-07-24,124065.5234375,126000.0,126600.0,124000.0,125500.0,4171700,FPT.VN
2024-07-25,123080.8828125,125000.0,125500.0,124100.0,124200.0,3248401,FPT.VN
2024-07-26,126034.8203125,128000.0,128000.0,124400.0,125900.0,6683700,FPT.VN
2024-07-29,127019.4609375,129000.0,130600.0,129000.0,130000.0,5009800,FPT.VN
2024-07-30,126034.8203125,128000.0,129500.0,127000.0,129000.0,2423800,FPT.VN
2024-07-31,126625.609375,128600.0,128600.0,126600.0,127300.0,3092300,FPT.VN
2024-08-01,122883.9453125,124800.0,129700.0,124100.0,129600.0,6870301,FPT.VN
2024-08-02,121308.515625,123200.0,124800.0,121000.0,122100.0,10157200,FPT.VN
2024-08-05,116779.1328125,118600.0,122900.0,117400.0,121100.0,10415200,FPT.VN
2024-08-06,118945.3671875,120800.0,121900.0,119800.0,120000.0,7021850,FPT.VN
2024-08-07,120126.9375,122000.0,122000.0,120200.0,121000.0,2822800,FPT.VN
2024-08-08,119536.15625,121400.0,122400.0,120900.0,121600.0,3227631,FPT.VN
2024-08-09,124951.703125,126900.0,126900.0,122000.0,122400.0,6011400,FPT.VN
2024-08-12,128004.1171875,130000.0,130200.0,126200.0,126900.0,6775001,FPT.VN
2024-08-13,127708.7265625,129700.0,130200.0,128000.0,129700.0,4362301,FPT.VN
2024-08-14,127511.796875,129500.0,131500.0,129500.0,130700.0,3822200,FPT.VN
2024-08-15,126724.0703125,128700.0,129500.0,128200.0,129100.0,2305600,FPT.VN
2024-08-16,128594.8984375,130600.0,131000.0,129100.0,129100.0,5486600,FPT.VN
2024-08-19,128496.4375,130500.0,131400.0,130000.0,131100.0,2554862,FPT.VN
2024-08-20,129481.0859375,131500.0,132500.0,130700.0,130700.0,3984400,FPT.VN
2024-08-21,131450.375,133500.0,133800.0,130600.0,130600.0,6471900,FPT.VN
2024-08-22,131745.765625,133800.0,134500.0,133500.0,134000.0,3560500,FPT.VN
2024-08-23,131056.515625,133100.0,133700.0,132400.0,133700.0,3325001,FPT.VN
2024-08-26,129481.0859375,131500.0,133500.0,131500.0,133300.0,2758200,FPT.VN
2024-08-28,131253.453125,133300.0,134500.0,132900.0,133000.0,2909701,FPT.VN
2024-08-29,131647.296875,133700.0,133800.0,132200.0,132800.0,2637701,FPT.VN
2024-08-30,132730.421875,134800.0,134900.0,133000.0,133500.0,3379800,FPT.VN
2024-09-04,130958.046875,133000.0,133000.0,131500.0,133000.0,4935200,FPT.VN
2024-09-05,128594.8984375,130600.0,133000.0,129700.0,133000.0,8055600,FPT.VN
2024-09-06,130071.875,132100.0,132900.0,130300.0,130500.0,4251400,FPT.VN
2024-09-09,129284.15625,131300.0,131900.0,130100.0,130800.0,2885201,FPT.VN
2024-09-10,128004.1171875,130000.0,131000.0,129600.0,131000.0,4195101,FPT.VN
2024-09-11,128594.8984375,130600.0,131300.0,129800.0,130000.0,3590400,FPT.VN
2024-09-12,130268.796875,132300.0,132500.0,131000.0,131000.0,4368000,FPT.VN
2024-09-13,130958.046875,133000.0,133400.0,132000.0,132200.0,3935700,FPT.VN
2024-09-16,129087.234375,131100.0,133000.0,131100.0,131800.0,2295700,FPT.VN
2024-09-17,130859.59375,132900.0,132900.0,131200.0,131200.0,3621400,FPT.VN
2024-09-18,132533.5,134600.0,135200.0,132900.0,133400.0,5449600,FPT.VN
2024-09-19,133124.28125,135200.0,135800.0,134300.0,135000.0,5154300,FPT.VN
2024-09-20,133222.75,135300.0,137000.0,135000.0,136300.0,3719700,FPT.VN
2024-09-23,131942.703125,134000.0,135900.0,133400.0,135900.0,3482200,FPT.VN
2024-09-24,132435.03125,134500.0,134700.0,133700.0,134000.0,2755516,FPT.VN
2024-09-25,132730.421875,134800.0,134800.0,133600.0,134300.0,4679900,FPT.VN
2024-09-26,132238.109375,134300.0,135000.0,133900.0,135000.0,3080600,FPT.VN
2024-09-27,132139.640625,134200.0,134400.0,133500.0,134300.0,3552800,FPT.VN
2024-09-30,132435.03125,134500.0,134500.0,133000.0,134200.0,3278500,FPT.VN
2024-10-01,133813.53125,135900.0,136200.0,134700.0,134700.0,6887000,FPT.VN
2024-10-02,133321.21875,135400.0,135900.0,134600.0,134600.0,2369200,FPT.VN
2024-10-03,131942.703125,134000.0,136100.0,134000.0,135400.0,3631801,FPT.VN
2024-10-04,132041.15625,134100.0,134800.0,133500.0,134300.0,1468400,FPT.VN
2024-10-07,132041.15625,134100.0,134900.0,133600.0,134200.0,1901501,FPT.VN
2024-10-08,131745.765625,133800.0,135100.0,133600.0,134100.0,2108601,FPT.VN
2024-10-09,133321.21875,135400.0,135800.0,134300.0,134300.0,2819900,FPT.VN
2024-10-10,139524.484375,141700.0,142000.0,135800.0,135800.0,10102200,FPT.VN
2024-10-11,137456.734375,139600.0,142800.0,139600.0,142000.0,3863600,FPT.VN
2024-10-14,135487.421875,137600.0,141300.0,137100.0,141100.0,5635300,FPT.VN
2024-10-15,134896.640625,137000.0,138600.0,136600.0,137600.0,2910800,FPT.VN
2024-10-16,134207.390625,136300.0,137100.0,136000.0,136400.0,2796001,FPT.VN
2024-10-17,134896.640625,137000.0,137100.0,135500.0,136500.0,3769200,FPT.VN
2024-10-18,134896.640625,137000.0,137800.0,136600.0,137400.0,2169401,FPT.VN
2024-10-21,133419.671875,135500.0,137700.0,135500.0,137000.0,2861300,FPT.VN
2024-10-22,131056.515625,133100.0,135700.0,133000.0,135700.0,6174500,FPT.VN
2024-10-23,132139.640625,134200.0,134800.0,132600.0,132900.0,3015101,FPT.VN
2024-10-24,132238.109375,134300.0,134300.0,133800.0,134200.0,2277201,FPT.VN
2024-10-25,131942.703125,134000.0,134600.0,133600.0,134300.0,1839000,FPT.VN
2024-10-28,132828.890625,134900.0,135000.0,133600.0,134100.0,1506001,FPT.VN
2024-10-29,133321.21875,135400.0,135500.0,134800.0,135400.0,2649200,FPT.VN
2024-10-31,133813.53125,135900.0,136000.0,135300.0,135900.0,1341700,FPT.VN
2024-11-01,132533.5,134600.0,135000.0,133600.0,135000.0,2667500,FPT.VN
2024-11-04,130761.125,132800.0,134600.0,132700.0,134600.0,3757900,FPT.VN
2024-11-06,132533.5,134600.0,134600.0,133000.0,133100.0,1801500,FPT.VN
2024-11-07,133025.8125,135100.0,137600.0,134200.0,135300.0,4526500,FPT.VN
2024-11-08,133715.0625,135800.0,136800.0,135100.0,136100.0,2106300,FPT.VN
2024-11-11,136176.6875,138300.0,139500.0,136000.0,136500.0,5292000,FPT.VN
2024-11-12,134699.71875,136800.0,138900.0,135900.0,138600.0,2964700,FPT.VN
2024-11-13,135684.359375,137800.0,138100.0,136100.0,136700.0,3625400,FPT.VN
2024-11-14,133912.0,136000.0,139900.0,136000.0,137900.0,4911301,FPT.VN
2024-11-15,131844.234375,133900.0,135700.0,132600.0,135300.0,6563600,FPT.VN
2024-11-18,131942.703125,134000.0,134600.0,132500.0,134000.0,3993401,FPT.VN
2024-11-19,128004.1171875,130000.0,133600.0,129900.0,133500.0,9152800,FPT.VN
2024-11-20,130367.265625,132400.0,132400.0,126700.0,130000.0,9620300,FPT.VN
2024-11-21,130958.046875,133000.0,133000.0,131000.0,132400.0,4329001,FPT.VN
2024-11-22,131844.234375,133900.0,134400.0,132500.0,132900.0,5575900,FPT.VN
2024-11-25,131844.234375,133900.0,134000.0,133200.0,134000.0,6637700,FPT.VN
2024-11-26,133124.28125,135200.0,135900.0,133300.0,133400.0,4501100,FPT.VN
2024-11-27,136767.484375,138900.0,139700.0,135200.0,135200.0,13316300,FPT.VN
2024-11-28,137259.796875,139400.0,140000.0,138300.0,139400.0,7158700,FPT.VN
2024-11-29,142084.5625,144300.0,145400.0,139000.0,139400.0,13487700,FPT.VN
