Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,HTG.VN,HTG.VN,HTG.VN,HTG.VN,HTG.VN,HTG.VN,
2024-07-16,38442.3359375,40850.0,40850.0,38200.0,38200.0,335400,HTG.VN
2024-07-17,39477.50390625,41950.0,43000.0,41000.0,42850.0,106400,HTG.VN
2024-07-18,37924.75390625,40300.0,41900.0,39200.0,41900.0,181400,HTG.VN
2024-07-19,38395.28515625,40800.0,40800.0,39900.0,40200.0,64300,HTG.VN
2024-07-22,37642.4375,40000.0,40900.0,39950.0,40000.0,62100,HTG.VN
2024-07-23,38536.4453125,40950.0,41600.0,40000.0,40000.0,69100,HTG.VN
2024-07-24,38301.1796875,40700.0,40750.0,39200.0,40400.0,42100,HTG.VN
2024-07-25,40465.6171875,43000.0,43500.0,40100.0,40600.0,84800,HTG.VN
2024-07-26,41500.78515625,44100.0,45000.0,43000.0,43000.0,65800,HTG.VN
2024-07-29,41312.57421875,43900.0,44100.0,43000.0,44100.0,21300,HTG.VN
2024-07-30,40842.04296875,43400.0,43400.0,42900.0,43100.0,42500,HTG.VN
2024-07-31,42818.26953125,45500.0,45800.0,43200.0,43400.0,99700,HTG.VN
2024-08-01,41312.57421875,43900.0,45800.0,42500.0,45550.0,87700,HTG.VN
2024-08-02,39995.08984375,42500.0,43000.0,42000.0,43000.0,141800,HTG.VN
2024-08-05,37360.1171875,39700.0,42000.0,39550.0,41900.0,95500,HTG.VN
2024-08-06,38959.921875,41400.0,41400.0,39750.0,39750.0,10400,HTG.VN
2024-08-07,38583.49609375,41000.0,41400.0,40050.0,41400.0,26400,HTG.VN
2024-08-08,39806.875,42300.0,43000.0,40500.0,41000.0,24000,HTG.VN
2024-08-09,39900.98046875,42400.0,43000.0,42000.0,43000.0,8500,HTG.VN
2024-08-12,40653.83203125,43200.0,44450.0,42500.0,42500.0,14300,HTG.VN
2024-08-13,41124.36328125,43700.0,43800.0,43200.0,43350.0,11900,HTG.VN
2024-08-14,40371.51171875,42900.0,43600.0,42700.0,43600.0,14500,HTG.VN
2024-08-15,40136.24609375,42650.0,42650.0,41500.0,42050.0,20100,HTG.VN
2024-08-16,40465.6171875,43000.0,43800.0,42200.0,42500.0,16900,HTG.VN
2024-08-19,40465.6171875,43000.0,43000.0,42300.0,43000.0,46700,HTG.VN
2024-08-20,40465.6171875,43000.0,43100.0,42200.0,43000.0,11500,HTG.VN
2024-08-21,40606.77734375,43150.0,43200.0,43000.0,43000.0,13000,HTG.VN
2024-08-22,40606.77734375,43150.0,44000.0,43150.0,44000.0,15800,HTG.VN
2024-08-23,40606.77734375,43150.0,43150.0,42500.0,42950.0,6600,HTG.VN
