Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,HVX.VN,HVX.VN,HVX.VN,HVX.VN,HVX.VN,HVX.VN,
2024-07-16,2830.0,2830.0,2840.0,2830.0,2840.0,3200,HVX.VN
2024-07-17,2810.0,2810.0,2850.0,2810.0,2810.0,3200,HVX.VN
2024-07-18,2760.0,2760.0,2800.0,2760.0,2800.0,12500,HVX.VN
2024-07-19,2760.0,2760.0,2770.0,2700.0,2760.0,5200,HVX.VN
2024-07-22,2710.0,2710.0,2760.0,2700.0,2760.0,7500,HVX.VN
2024-07-23,2750.0,2750.0,2750.0,2750.0,2750.0,2000,HVX.VN
2024-07-24,2730.0,2730.0,2750.0,2710.0,2750.0,2000,HVX.VN
2024-07-25,2700.0,2700.0,2700.0,2660.0,2700.0,11700,HVX.VN
2024-07-26,2740.0,2740.0,2740.0,2690.0,2690.0,8000,HVX.VN
2024-07-29,2730.0,2730.0,2740.0,2660.0,2740.0,500,HVX.VN
2024-07-30,2660.0,2660.0,2730.0,2650.0,2730.0,15000,HVX.VN
2024-07-31,2600.0,2600.0,2730.0,2580.0,2730.0,11300,HVX.VN
2024-08-01,2550.0,2550.0,2600.0,2550.0,2600.0,14900,HVX.VN
2024-08-02,2580.0,2580.0,2580.0,2540.0,2560.0,9100,HVX.VN
2024-08-05,2500.0,2500.0,2510.0,2500.0,2500.0,10200,HVX.VN
2024-08-06,2560.0,2560.0,2560.0,2560.0,2560.0,100,HVX.VN
2024-08-07,2550.0,2550.0,2550.0,2470.0,2470.0,400,HVX.VN
2024-08-08,2550.0,2550.0,2550.0,2510.0,2520.0,5700,HVX.VN
2024-08-09,2550.0,2550.0,2550.0,2550.0,2550.0,2500,HVX.VN
2024-08-12,2500.0,2500.0,2550.0,2500.0,2550.0,1500,HVX.VN
2024-08-13,2550.0,2550.0,2550.0,2500.0,2500.0,8500,HVX.VN
2024-08-14,2550.0,2550.0,2550.0,2550.0,2550.0,3000,HVX.VN
2024-08-15,2640.0,2640.0,2640.0,2500.0,2500.0,3500,HVX.VN
2024-08-16,2640.0,2640.0,2640.0,2550.0,2640.0,6000,HVX.VN
2024-08-19,2580.0,2580.0,2580.0,2570.0,2570.0,1500,HVX.VN
2024-08-20,2640.0,2640.0,2640.0,2550.0,2580.0,6600,HVX.VN
2024-08-21,2620.0,2620.0,2640.0,2550.0,2640.0,4200,HVX.VN
2024-08-22,2570.0,2570.0,2570.0,2550.0,2550.0,1200,HVX.VN
