Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,KHP.VN,KHP.VN,KHP.VN,KHP.VN,KHP.VN,KHP.VN,
2024-07-16,9718.0849609375,10150.0,10200.0,10050.0,10050.0,55799,KHP.VN
2024-07-17,9622.3408203125,10050.0,10200.0,9960.0,10150.0,162299,KHP.VN
2024-07-18,9622.3408203125,10050.0,10100.0,10000.0,10100.0,47699,KHP.VN
2024-07-19,9622.3408203125,10050.0,10100.0,10000.0,10050.0,77199,KHP.VN
2024-07-22,9517.021484375,9940.0,10050.0,9860.0,10050.0,199999,KHP.VN
2024-07-23,9478.7236328125,9900.0,9980.0,9700.0,9940.0,175499,KHP.VN
2024-07-24,9450.0,9870.0,9890.0,9660.0,9710.0,40699,KHP.VN
2024-07-25,9421.2763671875,9840.0,9850.0,9720.0,9720.0,5799,KHP.VN
2024-07-26,9373.404296875,9790.0,9850.0,9160.0,9840.0,63099,KHP.VN
2024-07-29,9450.0,9870.0,9890.0,9800.0,9850.0,10399,KHP.VN
2024-07-30,9526.595703125,9950.0,10000.0,9880.0,9890.0,78299,KHP.VN
2024-07-31,9488.2978515625,9910.0,10100.0,9890.0,9890.0,31199,KHP.VN
2024-08-01,9430.8515625,9850.0,9900.0,9720.0,9900.0,75199,KHP.VN
2024-08-02,9430.8515625,9850.0,9850.0,9630.0,9800.0,40999,KHP.VN
2024-08-05,9287.234375,9700.0,9800.0,9660.0,9720.0,10199,KHP.VN
2024-08-06,9306.3828125,9720.0,9740.0,9600.0,9600.0,38699,KHP.VN
2024-08-07,9306.3828125,9720.0,9720.0,9700.0,9720.0,10199,KHP.VN
2024-08-08,9306.3828125,9720.0,9800.0,9660.0,9660.0,72099,KHP.VN
2024-08-09,9382.978515625,9800.0,9850.0,9740.0,9800.0,56199,KHP.VN
2024-08-12,9306.3828125,9720.0,9850.0,9700.0,9800.0,10899,KHP.VN
2024-08-13,9344.6806640625,9760.0,9780.0,9700.0,9720.0,21399,KHP.VN
2024-08-14,9373.404296875,9790.0,9800.0,9610.0,9750.0,87499,KHP.VN
2024-08-15,9373.404296875,9790.0,9800.0,9760.0,9790.0,74199,KHP.VN
2024-08-16,9430.8515625,9850.0,9850.0,9700.0,9710.0,69899,KHP.VN
2024-08-19,9421.2763671875,9840.0,9850.0,9800.0,9810.0,20199,KHP.VN
2024-08-20,9536.169921875,9960.0,9980.0,9800.0,9800.0,170599,KHP.VN
2024-08-21,9488.2978515625,9910.0,9980.0,9910.0,9960.0,32299,KHP.VN
2024-08-22,9545.7451171875,9970.0,10100.0,9930.0,9930.0,116499,KHP.VN
2024-08-23,9478.7236328125,9900.0,9950.0,9870.0,9900.0,23199,KHP.VN
2024-08-26,9478.7236328125,9900.0,9920.0,9870.0,9900.0,15199,KHP.VN
2024-08-27,9478.7236328125,9900.0,9900.0,9790.0,9900.0,35899,KHP.VN
2024-08-28,9382.978515625,9800.0,9890.0,9750.0,9890.0,53899,KHP.VN
2024-08-29,9335.1064453125,9750.0,9990.0,9720.0,9990.0,44499,KHP.VN
2024-08-30,9402.1279296875,9820.0,9840.0,9720.0,9730.0,49599,KHP.VN
2024-09-04,9277.6591796875,9690.0,9800.0,9640.0,9750.0,66299,KHP.VN
2024-09-05,9220.212890625,9630.0,9760.0,9600.0,9600.0,80099,KHP.VN
2024-09-06,9181.9150390625,9590.0,9840.0,9520.0,9830.0,174599,KHP.VN
2024-09-09,9210.638671875,9620.0,9720.0,9530.0,9530.0,19899,KHP.VN
2024-09-10,9191.4892578125,9600.0,9620.0,9540.0,9570.0,23099,KHP.VN
2024-09-11,9191.4892578125,9600.0,9690.0,9530.0,9530.0,31099,KHP.VN
2024-09-12,9229.787109375,9640.0,9640.0,9600.0,9600.0,17899,KHP.VN
2024-09-13,9153.19140625,9560.0,9640.0,9550.0,9640.0,25099,KHP.VN
2024-09-16,9220.212890625,9630.0,9690.0,9530.0,9530.0,24299,KHP.VN
2024-09-17,9239.361328125,9650.0,9650.0,9610.0,9630.0,17799,KHP.VN
2024-09-18,9258.5107421875,9670.0,9690.0,9600.0,9690.0,20799,KHP.VN
2024-09-19,9268.0849609375,9680.0,9740.0,9580.0,9690.0,10199,KHP.VN
2024-09-20,9287.234375,9700.0,9700.0,9690.0,9700.0,1799,KHP.VN
2024-09-23,9201.0634765625,9610.0,9700.0,9600.0,9700.0,4699,KHP.VN
2024-09-24,9258.5107421875,9670.0,9690.0,9560.0,9610.0,6399,KHP.VN
2024-09-25,9248.9365234375,9660.0,9670.0,9550.0,9550.0,34499,KHP.VN
2024-09-26,9248.9365234375,9660.0,9700.0,9630.0,9660.0,25199,KHP.VN
2024-09-27,9287.234375,9700.0,9710.0,9660.0,9680.0,40899,KHP.VN
2024-09-30,9306.3828125,9720.0,9750.0,9680.0,9680.0,15999,KHP.VN
2024-10-01,9478.7236328125,9900.0,9960.0,9720.0,9750.0,129399,KHP.VN
2024-10-02,9411.7021484375,9830.0,9940.0,9780.0,9940.0,9299,KHP.VN
