Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,LDG.VN,LDG.VN,LDG.VN,LDG.VN,LDG.VN,LDG.VN,
2024-07-16,2740.0,2740.0,2780.0,2730.0,2780.0,768900,LDG.VN
2024-07-17,2670.0,2670.0,2750.0,2660.0,2750.0,2511000,LDG.VN
2024-07-18,2680.0,2680.0,2700.0,2660.0,2700.0,864800,LDG.VN
2024-07-19,2640.0,2640.0,2690.0,2640.0,2690.0,711500,LDG.VN
2024-07-22,2600.0,2600.0,2660.0,2560.0,2640.0,1539200,LDG.VN
2024-07-23,2590.0,2590.0,2650.0,2580.0,2610.0,498200,LDG.VN
2024-07-24,2590.0,2590.0,2600.0,2540.0,2570.0,759800,LDG.VN
2024-07-25,2410.0,2410.0,2590.0,2410.0,2590.0,3770600,LDG.VN
2024-07-26,2250.0,2250.0,2250.0,2250.0,2250.0,611100,LDG.VN
2024-07-29,2100.0,2100.0,2100.0,2100.0,2100.0,3030000,LDG.VN
2024-07-30,1980.0,1980.0,2100.0,1960.0,1960.0,25003500,LDG.VN
2024-07-31,2100.0,2100.0,2110.0,1890.0,1940.0,6198300,LDG.VN
2024-08-01,1960.0,1960.0,2100.0,1960.0,2010.0,2717800,LDG.VN
2024-08-02,1830.0,1830.0,1900.0,1830.0,1830.0,9049600,LDG.VN
2024-08-05,1710.0,1710.0,1870.0,1710.0,1740.0,4614600,LDG.VN
2024-08-06,1820.0,1820.0,1820.0,1600.0,1710.0,6978000,LDG.VN
2024-08-07,1940.0,1940.0,1940.0,1860.0,1870.0,7884100,LDG.VN
2024-08-08,1940.0,1940.0,1950.0,1870.0,1900.0,1741000,LDG.VN
2024-08-09,1950.0,1950.0,2030.0,1910.0,2000.0,3071600,LDG.VN
2024-08-12,1880.0,1880.0,1960.0,1830.0,1950.0,2169100,LDG.VN
2024-08-13,1910.0,1910.0,1990.0,1830.0,1850.0,2852800,LDG.VN
2024-08-14,1890.0,1890.0,1970.0,1870.0,1920.0,2514100,LDG.VN
2024-08-15,1900.0,1900.0,1950.0,1850.0,1940.0,2163100,LDG.VN
2024-08-16,2030.0,2030.0,2030.0,1870.0,1920.0,6797700,LDG.VN
2024-08-19,2000.0,2000.0,2170.0,2000.0,2160.0,8097900,LDG.VN
2024-08-20,2020.0,2020.0,2070.0,1960.0,2040.0,3702100,LDG.VN
2024-08-21,2010.0,2010.0,2060.0,2010.0,2050.0,2776900,LDG.VN
2024-08-22,2000.0,2000.0,2040.0,1980.0,2000.0,1782000,LDG.VN
2024-08-23,1970.0,1970.0,1990.0,1950.0,1980.0,2294000,LDG.VN
2024-08-26,1970.0,1970.0,2000.0,1960.0,1970.0,1628100,LDG.VN
2024-08-28,1990.0,1990.0,2030.0,1930.0,1930.0,2976800,LDG.VN
2024-08-29,1950.0,1950.0,1990.0,1950.0,1970.0,1556000,LDG.VN
2024-08-30,1890.0,1890.0,1950.0,1890.0,1940.0,2916300,LDG.VN
2024-09-04,1860.0,1860.0,1880.0,1820.0,1860.0,1681700,LDG.VN
2024-09-05,1860.0,1860.0,1900.0,1840.0,1840.0,766800,LDG.VN
2024-09-06,1830.0,1830.0,1870.0,1830.0,1840.0,986900,LDG.VN
2024-09-09,1830.0,1830.0,1860.0,1820.0,1850.0,747400,LDG.VN
2024-09-10,1790.0,1790.0,1850.0,1770.0,1810.0,1361100,LDG.VN
2024-09-11,1740.0,1740.0,1790.0,1730.0,1780.0,1290700,LDG.VN
2024-09-12,1800.0,1800.0,1820.0,1730.0,1730.0,1579200,LDG.VN
2024-09-13,1800.0,1800.0,1820.0,1780.0,1790.0,698800,LDG.VN
2024-09-16,1810.0,1810.0,1840.0,1770.0,1800.0,704400,LDG.VN
2024-09-17,1800.0,1800.0,1800.0,1730.0,1730.0,1640600,LDG.VN
2024-09-18,1780.0,1780.0,1810.0,1780.0,1810.0,976800,LDG.VN
2024-09-19,1780.0,1780.0,1810.0,1780.0,1780.0,645300,LDG.VN
2024-09-20,1790.0,1790.0,1820.0,1790.0,1790.0,696000,LDG.VN
2024-09-23,1770.0,1770.0,1820.0,1760.0,1820.0,1558800,LDG.VN
2024-09-24,1890.0,1890.0,1890.0,1790.0,1820.0,1856300,LDG.VN
2024-09-25,2020.0,2020.0,2020.0,2020.0,2020.0,2521500,LDG.VN
2024-09-26,2160.0,2160.0,2160.0,2160.0,2160.0,1900900,LDG.VN
2024-09-27,2140.0,2140.0,2310.0,2090.0,2310.0,10804000,LDG.VN
2024-09-30,2180.0,2180.0,2220.0,2050.0,2080.0,3047300,LDG.VN
2024-10-01,2190.0,2190.0,2280.0,2170.0,2210.0,2152900,LDG.VN
2024-10-02,2090.0,2090.0,2180.0,2090.0,2180.0,2728800,LDG.VN
2024-10-03,1970.0,1970.0,2120.0,1950.0,2080.0,4542800,LDG.VN
2024-10-04,2030.0,2030.0,2090.0,1950.0,1950.0,1968700,LDG.VN
2024-10-07,1990.0,1990.0,2040.0,1990.0,2040.0,1025500,LDG.VN
2024-10-08,1950.0,1950.0,2000.0,1950.0,2000.0,1557600,LDG.VN
2024-10-09,1970.0,1970.0,1980.0,1940.0,1980.0,1256600,LDG.VN
2024-10-10,1950.0,1950.0,1980.0,1940.0,1970.0,1083800,LDG.VN
2024-10-11,1870.0,1870.0,1960.0,1870.0,1960.0,1684100,LDG.VN
2024-10-14,1880.0,1880.0,1910.0,1870.0,1910.0,816000,LDG.VN
2024-10-15,1870.0,1870.0,1910.0,1860.0,1900.0,1195400,LDG.VN
2024-10-16,1890.0,1890.0,1900.0,1870.0,1870.0,714300,LDG.VN
2024-10-17,1940.0,1940.0,1970.0,1860.0,1870.0,1043700,LDG.VN
2024-10-18,1890.0,1890.0,1960.0,1870.0,1960.0,698200,LDG.VN
2024-10-21,1890.0,1890.0,1910.0,1870.0,1890.0,817500,LDG.VN
2024-10-22,1860.0,1860.0,1900.0,1830.0,1880.0,779600,LDG.VN
2024-10-23,1890.0,1890.0,1900.0,1860.0,1870.0,509300,LDG.VN
2024-10-24,1900.0,1900.0,1930.0,1860.0,1880.0,869300,LDG.VN
2024-10-25,1900.0,1900.0,1930.0,1880.0,1880.0,565500,LDG.VN
2024-10-28,1900.0,1900.0,1910.0,1880.0,1900.0,695200,LDG.VN
2024-10-29,1910.0,1910.0,1960.0,1890.0,1900.0,1454500,LDG.VN
2024-10-31,1900.0,1900.0,1930.0,1880.0,1930.0,661400,LDG.VN
2024-11-01,1880.0,1880.0,1900.0,1850.0,1900.0,1214900,LDG.VN
2024-11-04,1840.0,1840.0,1880.0,1810.0,1870.0,1221500,LDG.VN
2024-11-06,1970.0,1970.0,1970.0,1860.0,1870.0,4110900,LDG.VN
2024-11-07,1990.0,1990.0,2070.0,1970.0,2050.0,2589400,LDG.VN
2024-11-08,1940.0,1940.0,2050.0,1920.0,2000.0,2161900,LDG.VN
2024-11-11,1910.0,1910.0,1940.0,1900.0,1940.0,1226300,LDG.VN
2024-11-12,1890.0,1890.0,1930.0,1890.0,1910.0,1002600,LDG.VN
2024-11-13,1900.0,1900.0,1920.0,1880.0,1900.0,754400,LDG.VN
2024-11-14,1880.0,1880.0,1930.0,1860.0,1900.0,1070000,LDG.VN
2024-11-15,1850.0,1850.0,1880.0,1820.0,1880.0,2101700,LDG.VN
2024-11-18,1870.0,1870.0,1880.0,1810.0,1860.0,2828400,LDG.VN
2024-11-19,1840.0,1840.0,1880.0,1840.0,1870.0,741700,LDG.VN
2024-11-20,1860.0,1860.0,1920.0,1820.0,1850.0,2842500,LDG.VN
2024-11-21,1870.0,1870.0,1890.0,1860.0,1860.0,594300,LDG.VN
2024-11-22,1850.0,1850.0,1890.0,1850.0,1870.0,864100,LDG.VN
2024-11-25,1850.0,1850.0,1870.0,1840.0,1850.0,569400,LDG.VN
2024-11-26,1870.0,1870.0,1900.0,1850.0,1860.0,752500,LDG.VN
2024-11-27,1860.0,1860.0,1890.0,1850.0,1870.0,510400,LDG.VN
2024-11-28,1860.0,1860.0,1880.0,1840.0,1860.0,939500,LDG.VN
2024-11-29,1840.0,1840.0,1860.0,1840.0,1840.0,736300,LDG.VN
2024-12-02,1840.0,1840.0,1870.0,1830.0,1840.0,801900,LDG.VN
2024-12-03,1840.0,1840.0,1860.0,1830.0,1840.0,550600,LDG.VN
2024-12-04,1840.0,1840.0,1860.0,1810.0,1840.0,1364500,LDG.VN
2024-12-05,1860.0,1860.0,1870.0,1830.0,1850.0,1369700,LDG.VN
2024-12-06,1860.0,1860.0,1880.0,1850.0,1860.0,1331600,LDG.VN
2024-12-09,1990.0,1990.0,1990.0,1860.0,1860.0,4063000,LDG.VN
2024-12-10,1930.0,1930.0,2030.0,1910.0,2020.0,1637900,LDG.VN
2024-12-11,1890.0,1890.0,1940.0,1870.0,1930.0,1645400,LDG.VN
2024-12-12,1890.0,1890.0,1910.0,1860.0,1910.0,1277100,LDG.VN
2024-12-13,1880.0,1880.0,1890.0,1870.0,1890.0,590400,LDG.VN
2024-12-16,1880.0,1880.0,1890.0,1860.0,1880.0,736900,LDG.VN
2024-12-17,1870.0,1870.0,1890.0,1850.0,1880.0,1855500,LDG.VN
2024-12-18,1870.0,1870.0,1880.0,1850.0,1880.0,858500,LDG.VN
2024-12-19,1850.0,1850.0,1870.0,1840.0,1870.0,1473900,LDG.VN
2024-12-20,1850.0,1850.0,1880.0,1840.0,1840.0,1141400,LDG.VN
2024-12-23,1880.0,1880.0,1900.0,1870.0,1900.0,721000,LDG.VN
2024-12-24,1870.0,1870.0,1890.0,1860.0,1880.0,991000,LDG.VN
2024-12-25,1900.0,1900.0,1920.0,1860.0,1860.0,1053000,LDG.VN
2024-12-26,1930.0,1930.0,1990.0,1890.0,1900.0,1524400,LDG.VN
2024-12-27,1890.0,1890.0,1950.0,1890.0,1930.0,1192400,LDG.VN
