Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,LHG.VN,LHG.VN,LHG.VN,LHG.VN,LHG.VN,LHG.VN,
2024-07-16,41746.35546875,43700.0,44000.0,43000.0,43100.0,422800,LHG.VN
2024-07-17,40122.35546875,42000.0,43550.0,41000.0,43200.0,496700,LHG.VN
2024-07-18,41794.1171875,43750.0,43850.0,40650.0,42000.0,516400,LHG.VN
2024-07-19,40600.0,42500.0,43700.0,41800.0,43050.0,294800,LHG.VN
2024-07-22,38850.0,38850.0,40950.0,38500.0,40400.0,374600,LHG.VN
2024-07-23,39400.0,39400.0,39900.0,38300.0,39400.0,281400,LHG.VN
2024-07-24,39400.0,39400.0,39700.0,38000.0,38800.0,216500,LHG.VN
2024-07-25,41500.0,41500.0,41950.0,38800.0,39400.0,418600,LHG.VN
2024-07-26,41700.0,41700.0,41700.0,40800.0,41700.0,287500,LHG.VN
2024-07-29,42000.0,42000.0,42450.0,41100.0,42200.0,161200,LHG.VN
2024-07-30,41600.0,41600.0,42350.0,39150.0,42350.0,325100,LHG.VN
2024-07-31,40450.0,40450.0,41500.0,39650.0,41500.0,279100,LHG.VN
2024-08-01,37650.0,37650.0,40000.0,37650.0,40000.0,564000,LHG.VN
2024-08-02,38850.0,38850.0,40250.0,36700.0,37000.0,379600,LHG.VN
2024-08-05,37200.0,37200.0,39500.0,37000.0,37100.0,191900,LHG.VN
2024-08-06,38300.0,38300.0,38800.0,37000.0,38200.0,207200,LHG.VN
2024-08-07,39000.0,39000.0,39000.0,37550.0,38000.0,99600,LHG.VN
2024-08-08,39000.0,39000.0,39000.0,38050.0,38550.0,158700,LHG.VN
2024-08-09,39150.0,39150.0,39150.0,38250.0,39000.0,119200,LHG.VN
2024-08-12,39400.0,39400.0,39400.0,38450.0,38700.0,134100,LHG.VN
2024-08-13,39400.0,39400.0,39400.0,38500.0,39350.0,137300,LHG.VN
2024-08-14,39400.0,39400.0,39600.0,38600.0,39400.0,95300,LHG.VN
2024-08-15,38400.0,38400.0,39000.0,38100.0,38950.0,125500,LHG.VN
2024-08-16,39350.0,39350.0,39900.0,35750.0,38500.0,250100,LHG.VN
2024-08-19,39750.0,39750.0,40900.0,39300.0,39400.0,175200,LHG.VN
2024-08-20,39800.0,39800.0,40800.0,39300.0,39750.0,209500,LHG.VN
2024-08-21,39600.0,39600.0,39950.0,39350.0,39800.0,169100,LHG.VN
2024-08-22,39800.0,39800.0,40000.0,39200.0,40000.0,245500,LHG.VN
2024-08-23,39300.0,39300.0,39900.0,39250.0,39900.0,103600,LHG.VN
2024-08-26,38500.0,38500.0,39550.0,38000.0,39550.0,189900,LHG.VN
2024-08-28,38450.0,38450.0,38600.0,38000.0,38050.0,75100,LHG.VN
2024-08-29,38150.0,38150.0,38450.0,37900.0,38450.0,150400,LHG.VN
2024-08-30,38000.0,38000.0,38700.0,38000.0,38150.0,74400,LHG.VN
2024-09-04,37900.0,37900.0,37950.0,37300.0,37400.0,161700,LHG.VN
2024-09-05,37050.0,37050.0,37900.0,36850.0,37900.0,140300,LHG.VN
2024-09-06,37200.0,37200.0,37200.0,36550.0,37200.0,190900,LHG.VN
