Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,NBB.VN,NBB.VN,NBB.VN,NBB.VN,NBB.VN,NBB.VN,
2024-07-16,24450.0,24450.0,25000.0,24100.0,24850.0,48800,NBB.VN
2024-07-17,24400.0,24400.0,24550.0,24200.0,24450.0,37600,NBB.VN
2024-07-18,24500.0,24500.0,24600.0,23000.0,24300.0,359124,NBB.VN
2024-07-19,24900.0,24900.0,25150.0,24200.0,25150.0,42000,NBB.VN
2024-07-22,24800.0,24800.0,24800.0,24100.0,24200.0,15700,NBB.VN
2024-07-23,24650.0,24650.0,24800.0,24100.0,24800.0,6700,NBB.VN
2024-07-24,23800.0,23800.0,24500.0,23250.0,23750.0,48300,NBB.VN
2024-07-25,23800.0,23800.0,24100.0,23600.0,24000.0,13100,NBB.VN
2024-07-26,23000.0,23000.0,24100.0,23000.0,23900.0,29400,NBB.VN
2024-07-29,23200.0,23200.0,23400.0,23000.0,23000.0,11100,NBB.VN
2024-07-30,22700.0,22700.0,23500.0,22450.0,23200.0,10600,NBB.VN
2024-07-31,23200.0,23200.0,23200.0,22800.0,23150.0,466600,NBB.VN
2024-08-01,22750.0,22750.0,22900.0,22550.0,22800.0,18500,NBB.VN
2024-08-02,22800.0,22800.0,22800.0,22550.0,22750.0,4500,NBB.VN
2024-08-05,21250.0,21250.0,22300.0,21250.0,22300.0,1937700,NBB.VN
2024-08-06,21800.0,21800.0,21800.0,20600.0,21300.0,21400,NBB.VN
2024-08-07,22400.0,22400.0,22600.0,21800.0,22000.0,482000,NBB.VN
2024-08-08,23000.0,23000.0,23450.0,22400.0,23450.0,29000,NBB.VN
2024-08-09,22900.0,22900.0,23700.0,22850.0,23000.0,55300,NBB.VN
2024-08-12,22250.0,22250.0,23750.0,21350.0,21350.0,3600,NBB.VN
2024-08-13,22550.0,22550.0,22600.0,22550.0,22600.0,63100,NBB.VN
2024-08-14,22600.0,22600.0,22600.0,22000.0,22550.0,27200,NBB.VN
2024-08-15,22250.0,22250.0,23200.0,22250.0,23150.0,70500,NBB.VN
2024-08-16,22750.0,22750.0,23000.0,22100.0,22150.0,1176400,NBB.VN
2024-08-19,22900.0,22900.0,23000.0,22750.0,22750.0,9000,NBB.VN
2024-08-20,23000.0,23000.0,23150.0,22550.0,23100.0,39400,NBB.VN
2024-08-21,23000.0,23000.0,23050.0,22850.0,23050.0,54500,NBB.VN
2024-08-22,22850.0,22850.0,23000.0,22700.0,23000.0,12500,NBB.VN
2024-08-23,22950.0,22950.0,23000.0,22650.0,23000.0,10900,NBB.VN
2024-08-26,22600.0,22600.0,23000.0,22600.0,22950.0,56100,NBB.VN
2024-08-28,22000.0,22000.0,22500.0,22000.0,22500.0,17900,NBB.VN
2024-08-29,22250.0,22250.0,22650.0,21900.0,22600.0,400828,NBB.VN
2024-08-30,22000.0,22000.0,22100.0,21700.0,22100.0,11700,NBB.VN
2024-09-04,21900.0,21900.0,22500.0,21500.0,21550.0,618500,NBB.VN
2024-09-05,21800.0,21800.0,21850.0,21200.0,21350.0,34000,NBB.VN
2024-09-06,22500.0,22500.0,22500.0,21050.0,21150.0,52500,NBB.VN
2024-09-09,22500.0,22500.0,22500.0,22050.0,22050.0,231400,NBB.VN
2024-09-10,22700.0,22700.0,22750.0,22000.0,22750.0,41700,NBB.VN
2024-09-11,22700.0,22700.0,22900.0,22250.0,22900.0,10400,NBB.VN
2024-09-12,22700.0,22700.0,22700.0,22200.0,22200.0,17000,NBB.VN
2024-09-13,22450.0,22450.0,22650.0,21150.0,22450.0,22800,NBB.VN
2024-09-16,22250.0,22250.0,22400.0,22050.0,22400.0,35100,NBB.VN
2024-09-17,22350.0,22350.0,22500.0,21900.0,22400.0,33100,NBB.VN
