Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,NNC.VN,NNC.VN,NNC.VN,NNC.VN,NNC.VN,NNC.VN,
2024-07-16,19467.390625,19900.0,19900.0,19400.0,19400.0,1100,NNC.VN
2024-07-17,19076.087890625,19500.0,19500.0,18800.0,19000.0,17900,NNC.VN
2024-07-18,19076.087890625,19500.0,19500.0,19000.0,19000.0,3000,NNC.VN
2024-07-19,20396.73828125,20850.0,20850.0,19200.0,19200.0,101500,NNC.VN
2024-07-22,21815.216796875,22300.0,22300.0,21300.0,21300.0,102700,NNC.VN
2024-07-23,22548.9140625,23050.0,23750.0,22050.0,23500.0,55600,NNC.VN
2024-07-24,21766.3046875,22250.0,23000.0,21550.0,22100.0,36200,NNC.VN
2024-07-25,21570.65234375,22050.0,22100.0,21800.0,21900.0,25600,NNC.VN
2024-07-26,21913.04296875,22400.0,22400.0,22050.0,22100.0,31200,NNC.VN
2024-07-29,22010.869140625,22500.0,22500.0,22000.0,22400.0,21000,NNC.VN
2024-07-30,22451.087890625,22950.0,22950.0,22100.0,22400.0,30600,NNC.VN
2024-07-31,22597.826171875,23100.0,23200.0,22800.0,22950.0,30100,NNC.VN
2024-08-01,22402.173828125,22900.0,23100.0,22300.0,23100.0,58000,NNC.VN
2024-08-02,22304.34765625,22800.0,22850.0,21650.0,21650.0,22800,NNC.VN
2024-08-05,21179.34765625,21650.0,22700.0,21600.0,21650.0,32400,NNC.VN
2024-08-06,22010.869140625,22500.0,22500.0,21650.0,21650.0,16700,NNC.VN
2024-08-07,21864.130859375,22350.0,22350.0,21350.0,21350.0,9300,NNC.VN
2024-08-08,21815.216796875,22300.0,22350.0,22200.0,22350.0,8400,NNC.VN
2024-08-09,21864.130859375,22350.0,22400.0,22000.0,22300.0,6300,NNC.VN
2024-08-12,21864.130859375,22350.0,22350.0,22000.0,22000.0,6300,NNC.VN
2024-08-13,21864.130859375,22350.0,22350.0,21850.0,22000.0,19500,NNC.VN
2024-08-14,22010.869140625,22500.0,22500.0,21500.0,21500.0,22300,NNC.VN
2024-08-15,22010.869140625,22500.0,22500.0,21800.0,22500.0,16400,NNC.VN
2024-08-16,22597.826171875,23100.0,23100.0,22700.0,22700.0,20200,NNC.VN
2024-08-19,22695.65234375,23200.0,23200.0,22500.0,23000.0,2400,NNC.VN
2024-08-20,23135.869140625,23650.0,24450.0,23000.0,24450.0,54200,NNC.VN
2024-08-21,23282.609375,23800.0,23800.0,22750.0,22750.0,4700,NNC.VN
2024-08-22,23086.95703125,23600.0,23800.0,22850.0,23800.0,18100,NNC.VN
2024-08-23,22744.564453125,23250.0,23500.0,22750.0,22850.0,17900,NNC.VN
2024-08-26,22842.390625,23350.0,23450.0,23350.0,23400.0,3700,NNC.VN
2024-08-28,22695.65234375,23200.0,23200.0,22300.0,22950.0,22300,NNC.VN
2024-08-29,22891.3046875,23400.0,23400.0,22350.0,23250.0,26600,NNC.VN
2024-08-30,23135.869140625,23650.0,23650.0,22500.0,22700.0,48200,NNC.VN
2024-09-04,23038.04296875,23550.0,23700.0,22700.0,22700.0,29300,NNC.VN
2024-09-05,23135.869140625,23650.0,23650.0,22700.0,22700.0,24500,NNC.VN
2024-09-06,23086.95703125,23600.0,23600.0,22800.0,22850.0,22700,NNC.VN
2024-09-09,22891.3046875,23400.0,23550.0,22800.0,22850.0,37900,NNC.VN
2024-09-10,22744.564453125,23250.0,23350.0,22650.0,22900.0,36200,NNC.VN
2024-09-11,22500.0,23000.0,23150.0,22500.0,22650.0,35000,NNC.VN
2024-09-12,22750.0,22750.0,22850.0,22500.0,22500.0,2600,NNC.VN
2024-09-13,22800.0,22800.0,23050.0,22300.0,22950.0,7800,NNC.VN
2024-09-16,22750.0,22750.0,22800.0,22200.0,22800.0,21500,NNC.VN
2024-09-17,22700.0,22700.0,22750.0,22250.0,22250.0,19300,NNC.VN
2024-09-18,22800.0,22800.0,22800.0,22300.0,22750.0,48900,NNC.VN
2024-09-19,22800.0,22800.0,22800.0,22350.0,22800.0,27800,NNC.VN
2024-09-20,22800.0,22800.0,22800.0,22350.0,22800.0,33300,NNC.VN
2024-09-23,22750.0,22750.0,22750.0,22350.0,22450.0,31200,NNC.VN
2024-09-24,22750.0,22750.0,22750.0,22350.0,22450.0,16600,NNC.VN
2024-09-25,22600.0,22600.0,22800.0,22200.0,22700.0,49300,NNC.VN
2024-09-26,22400.0,22400.0,22500.0,22050.0,22250.0,38400,NNC.VN
2024-09-27,22000.0,22000.0,22350.0,21950.0,22000.0,26600,NNC.VN
2024-09-30,22350.0,22350.0,22700.0,22000.0,22000.0,8300,NNC.VN
