Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,OGC.VN,OGC.VN,OGC.VN,OGC.VN,OGC.VN,OGC.VN,
2024-07-16,5910.0,5910.0,5990.0,5890.0,5990.0,193100,OGC.VN
2024-07-17,5890.0,5890.0,5920.0,5700.0,5910.0,377800,OGC.VN
2024-07-18,5820.0,5820.0,5890.0,5700.0,5810.0,198900,OGC.VN
2024-07-19,5730.0,5730.0,5870.0,5710.0,5870.0,198400,OGC.VN
2024-07-22,5650.0,5650.0,5790.0,5640.0,5730.0,296700,OGC.VN
2024-07-23,5310.0,5310.0,5660.0,5310.0,5660.0,476700,OGC.VN
2024-07-24,5320.0,5320.0,5680.0,5280.0,5310.0,267500,OGC.VN
2024-07-25,5360.0,5360.0,5480.0,5350.0,5350.0,67600,OGC.VN
2024-07-26,5370.0,5370.0,5480.0,5330.0,5480.0,155700,OGC.VN
2024-07-29,5300.0,5300.0,5500.0,5240.0,5500.0,111500,OGC.VN
2024-07-30,5300.0,5300.0,5370.0,5260.0,5300.0,159900,OGC.VN
2024-07-31,5300.0,5300.0,5330.0,5000.0,5000.0,269900,OGC.VN
2024-08-01,5170.0,5170.0,5300.0,5170.0,5300.0,160900,OGC.VN
2024-08-02,5170.0,5170.0,5180.0,5000.0,5170.0,386900,OGC.VN
2024-08-05,5020.0,5020.0,5150.0,4980.0,5150.0,328100,OGC.VN
2024-08-06,5020.0,5020.0,5030.0,4900.0,5030.0,338900,OGC.VN
2024-08-07,4980.0,4980.0,5060.0,4810.0,5030.0,190500,OGC.VN
2024-08-08,4980.0,4980.0,4990.0,4930.0,4980.0,109000,OGC.VN
2024-08-09,4890.0,4890.0,4990.0,4820.0,4990.0,288000,OGC.VN
2024-08-12,4890.0,4890.0,4950.0,4810.0,4890.0,54300,OGC.VN
2024-08-13,4870.0,4870.0,4920.0,4860.0,4890.0,48400,OGC.VN
2024-08-14,4840.0,4840.0,4870.0,4820.0,4860.0,180900,OGC.VN
2024-08-15,4840.0,4840.0,4870.0,4810.0,4820.0,58600,OGC.VN
2024-08-16,5090.0,5090.0,5150.0,4820.0,4850.0,369800,OGC.VN
2024-08-19,4900.0,4900.0,5090.0,4900.0,5090.0,294400,OGC.VN
