Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,PIT.VN,PIT.VN,PIT.VN,PIT.VN,PIT.VN,PIT.VN,
2024-07-16,6200.0,6200.0,6200.0,6200.0,6200.0,1100,PIT.VN
2024-07-18,6190.0,6190.0,6190.0,5900.0,5900.0,1400,PIT.VN
2024-07-19,5840.0,5840.0,5840.0,5820.0,5820.0,1500,PIT.VN
2024-07-22,5900.0,5900.0,5950.0,5850.0,5850.0,2900,PIT.VN
2024-07-23,6000.0,6000.0,6000.0,5900.0,5900.0,700,PIT.VN
2024-07-24,5800.0,5800.0,6080.0,5600.0,6080.0,4400,PIT.VN
2024-07-25,5850.0,5850.0,5850.0,5850.0,5850.0,1800,PIT.VN
2024-07-26,6080.0,6080.0,6100.0,5750.0,5800.0,13400,PIT.VN
2024-07-29,6080.0,6080.0,6080.0,6080.0,6080.0,200,PIT.VN
2024-07-30,6080.0,6080.0,6080.0,5710.0,6080.0,400,PIT.VN
2024-07-31,6060.0,6060.0,6060.0,5710.0,5800.0,1100,PIT.VN
2024-08-02,6000.0,6000.0,6030.0,5660.0,6030.0,2900,PIT.VN
2024-08-05,6000.0,6000.0,6200.0,5620.0,5620.0,7600,PIT.VN
2024-08-06,5990.0,5990.0,6140.0,5990.0,6140.0,5800,PIT.VN
2024-08-07,5980.0,5980.0,6090.0,5600.0,6090.0,800,PIT.VN
2024-08-08,5950.0,5950.0,5970.0,5700.0,5970.0,2200,PIT.VN
2024-08-09,5630.0,5630.0,6150.0,5620.0,5740.0,9300,PIT.VN
2024-08-12,6000.0,6000.0,6020.0,5630.0,5630.0,9600,PIT.VN
2024-08-13,5900.0,5900.0,6160.0,5900.0,6000.0,4200,PIT.VN
2024-08-14,5980.0,5980.0,5980.0,5800.0,5900.0,5300,PIT.VN
2024-08-15,6050.0,6050.0,6140.0,6050.0,6140.0,2900,PIT.VN
2024-08-16,6050.0,6050.0,6050.0,5630.0,5650.0,4100,PIT.VN
2024-08-19,5990.0,5990.0,5990.0,5650.0,5700.0,4200,PIT.VN
2024-08-21,6000.0,6000.0,6000.0,5740.0,5750.0,6500,PIT.VN
2024-08-22,5980.0,5980.0,5980.0,5750.0,5800.0,4000,PIT.VN
2024-08-23,5950.0,5950.0,5950.0,5950.0,5950.0,700,PIT.VN
2024-08-26,5750.0,5750.0,5890.0,5600.0,5700.0,4300,PIT.VN
2024-08-28,5600.0,5600.0,5640.0,5560.0,5640.0,1000,PIT.VN
