Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,PPC.VN,PPC.VN,PPC.VN,PPC.VN,PPC.VN,PPC.VN,
2024-07-16,14275.8583984375,15300.0,15550.0,15300.0,15450.0,770200,PPC.VN
2024-07-17,13529.408203125,14500.0,15200.0,14250.0,15100.0,2059500,PPC.VN
2024-07-18,13529.408203125,14500.0,14600.0,14400.0,14500.0,464700,PPC.VN
2024-07-19,13202.8359375,14150.0,14500.0,14150.0,14500.0,686600,PPC.VN
2024-07-22,13016.2236328125,13950.0,14250.0,13950.0,14250.0,573100,PPC.VN
2024-07-23,12829.6103515625,13750.0,14200.0,13700.0,14000.0,389400,PPC.VN
2024-07-24,12782.9580078125,13700.0,13750.0,13500.0,13600.0,749900,PPC.VN
2024-07-25,12829.6103515625,13750.0,13800.0,13500.0,13500.0,250600,PPC.VN
2024-07-26,12736.3046875,13650.0,13800.0,13650.0,13800.0,283100,PPC.VN
2024-07-29,12969.5703125,13900.0,13950.0,13700.0,13700.0,249400,PPC.VN
2024-07-30,12782.9580078125,13700.0,13950.0,13650.0,13950.0,369800,PPC.VN
2024-07-31,12689.6513671875,13600.0,13850.0,13600.0,13850.0,297800,PPC.VN
2024-08-01,12456.3857421875,13350.0,13750.0,13350.0,13600.0,385200,PPC.VN
2024-08-02,12549.6923828125,13450.0,13600.0,13000.0,13150.0,413600,PPC.VN
2024-08-05,11709.935546875,12550.0,13450.0,12550.0,13450.0,545900,PPC.VN
2024-08-06,12409.732421875,13300.0,13300.0,12700.0,12700.0,444900,PPC.VN
2024-08-07,12456.3857421875,13350.0,13450.0,13100.0,13400.0,151900,PPC.VN
2024-08-08,12269.7734375,13150.0,13400.0,13100.0,13150.0,213800,PPC.VN
2024-08-09,12316.4267578125,13200.0,13300.0,13150.0,13150.0,198800,PPC.VN
2024-08-12,12269.7734375,13150.0,13400.0,13100.0,13400.0,213000,PPC.VN
2024-08-13,12409.732421875,13300.0,13500.0,13100.0,13500.0,254100,PPC.VN
2024-08-14,12456.3857421875,13350.0,13450.0,13350.0,13450.0,192600,PPC.VN
2024-08-15,12363.0791015625,13250.0,13400.0,13250.0,13350.0,167000,PPC.VN
2024-08-16,12549.6923828125,13450.0,13500.0,13200.0,13250.0,455900,PPC.VN
2024-08-19,12363.0791015625,13250.0,13300.0,13150.0,13150.0,350400,PPC.VN
2024-08-20,12363.0791015625,13250.0,13350.0,13200.0,13250.0,245400,PPC.VN
2024-08-21,12503.0390625,13400.0,13750.0,13250.0,13250.0,243500,PPC.VN
2024-08-22,12456.3857421875,13350.0,13600.0,13300.0,13550.0,213700,PPC.VN
2024-08-23,12363.0791015625,13250.0,13450.0,13250.0,13350.0,282900,PPC.VN
2024-08-26,12223.1201171875,13100.0,13250.0,13100.0,13250.0,412700,PPC.VN
2024-08-28,12176.466796875,13050.0,13150.0,13000.0,13000.0,238500,PPC.VN
2024-08-29,12129.814453125,13000.0,13050.0,12950.0,13000.0,186300,PPC.VN
2024-08-30,12036.5078125,12900.0,13050.0,12850.0,13000.0,347700,PPC.VN
2024-09-04,11943.2021484375,12800.0,12950.0,12750.0,12900.0,253000,PPC.VN
2024-09-05,11943.2021484375,12800.0,12900.0,12800.0,12800.0,198200,PPC.VN
2024-09-06,11803.2421875,12650.0,12800.0,12600.0,12800.0,228900,PPC.VN
2024-09-09,11709.935546875,12550.0,12700.0,12550.0,12600.0,184400,PPC.VN
2024-09-10,11663.283203125,12500.0,12750.0,12500.0,12550.0,222700,PPC.VN
2024-09-11,11523.3232421875,12350.0,12550.0,12300.0,12550.0,223800,PPC.VN
2024-09-12,11476.6708984375,12300.0,12550.0,12250.0,12450.0,269600,PPC.VN
2024-09-13,11476.6708984375,12300.0,12350.0,12200.0,12300.0,131000,PPC.VN
2024-09-16,11430.017578125,12250.0,12350.0,12250.0,12300.0,214600,PPC.VN
2024-09-17,11569.9765625,12400.0,12400.0,12250.0,12300.0,105200,PPC.VN
2024-09-18,11523.3232421875,12350.0,12450.0,12350.0,12450.0,112100,PPC.VN
2024-09-19,11476.6708984375,12300.0,12450.0,12300.0,12350.0,124400,PPC.VN
2024-09-20,11476.6708984375,12300.0,12400.0,12250.0,12350.0,261700,PPC.VN
2024-09-23,11476.6708984375,12300.0,12300.0,12200.0,12250.0,182900,PPC.VN
2024-09-24,11476.6708984375,12300.0,12400.0,12250.0,12300.0,194100,PPC.VN
2024-09-25,11709.935546875,12550.0,12600.0,12300.0,12300.0,413500,PPC.VN
2024-09-26,11616.6298828125,12450.0,12550.0,12450.0,12550.0,245500,PPC.VN
2024-09-27,11616.6298828125,12450.0,12650.0,12400.0,12450.0,226000,PPC.VN
2024-09-30,11523.3232421875,12350.0,12450.0,12350.0,12450.0,165400,PPC.VN
2024-10-01,11756.5888671875,12600.0,12600.0,12350.0,12350.0,251300,PPC.VN
2024-10-02,11709.935546875,12550.0,12600.0,12450.0,12550.0,140700,PPC.VN
2024-10-03,11569.9765625,12400.0,12600.0,12400.0,12550.0,236500,PPC.VN
2024-10-04,11523.3232421875,12350.0,12500.0,12350.0,12400.0,116500,PPC.VN
2024-10-07,11476.6708984375,12300.0,12450.0,12300.0,12450.0,125900,PPC.VN
2024-10-08,11430.017578125,12250.0,12400.0,12150.0,12400.0,353700,PPC.VN
2024-10-09,11709.935546875,12550.0,12600.0,12300.0,12300.0,249900,PPC.VN
2024-10-10,11709.935546875,12550.0,12650.0,12550.0,12650.0,192100,PPC.VN
2024-10-11,11989.85546875,12850.0,13100.0,12650.0,12700.0,777100,PPC.VN
2024-10-14,12036.5078125,12900.0,13000.0,12800.0,12850.0,283200,PPC.VN
2024-10-15,11943.2021484375,12800.0,13000.0,12800.0,12950.0,160800,PPC.VN
2024-10-16,11849.89453125,12700.0,12950.0,12650.0,12950.0,182300,PPC.VN
2024-10-17,11896.5478515625,12750.0,12850.0,12600.0,12600.0,102500,PPC.VN
2024-10-18,11803.2421875,12650.0,12800.0,12600.0,12750.0,195200,PPC.VN
2024-10-21,11616.6298828125,12450.0,12600.0,12450.0,12550.0,388400,PPC.VN
2024-10-22,11569.9765625,12400.0,12500.0,12300.0,12500.0,453600,PPC.VN
2024-10-23,11476.6708984375,12300.0,12400.0,12250.0,12400.0,323800,PPC.VN
2024-10-24,11569.9765625,12400.0,12450.0,12300.0,12300.0,294200,PPC.VN
2024-10-25,11476.6708984375,12300.0,12450.0,12300.0,12400.0,245800,PPC.VN
2024-10-28,11383.36328125,12200.0,12350.0,12200.0,12350.0,368000,PPC.VN
2024-10-29,11523.3232421875,12350.0,12450.0,12250.0,12350.0,208400,PPC.VN
2024-10-31,11476.6708984375,12300.0,12350.0,12250.0,12300.0,168800,PPC.VN
2024-11-01,11476.6708984375,12300.0,12350.0,12250.0,12300.0,275300,PPC.VN
2024-11-04,11616.6298828125,12450.0,12450.0,12300.0,12300.0,222800,PPC.VN
2024-11-06,11542.951171875,11750.0,11800.0,11600.0,11750.0,226600,PPC.VN
2024-11-07,11395.5947265625,11600.0,11750.0,11550.0,11750.0,156300,PPC.VN
