Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,SAB.VN,SAB.VN,SAB.VN,SAB.VN,SAB.VN,SAB.VN,
2024-07-16,50662.71875,55800.0,56100.0,55600.0,55800.0,948900,SAB.VN
2024-07-17,49028.4375,54000.0,56100.0,53700.0,55800.0,1228200,SAB.VN
2024-07-18,49300.8203125,54300.0,55500.0,53500.0,54200.0,4392020,SAB.VN
2024-07-19,50117.95703125,55200.0,55300.0,54300.0,54300.0,828700,SAB.VN
2024-07-22,50571.92578125,55700.0,56500.0,54700.0,55200.0,1050500,SAB.VN
2024-07-23,49663.98828125,54700.0,55700.0,54700.0,55700.0,499700,SAB.VN
2024-07-24,49573.19921875,54600.0,54900.0,53900.0,54900.0,423300,SAB.VN
2024-07-25,49028.4375,54000.0,54900.0,53700.0,54900.0,516200,SAB.VN
2024-07-26,49936.37109375,55000.0,55700.0,54500.0,54700.0,1452400,SAB.VN
2024-07-29,49845.578125,54900.0,55600.0,54900.0,55500.0,507300,SAB.VN
2024-07-30,49754.78515625,54800.0,55500.0,54700.0,54700.0,754700,SAB.VN
2024-07-31,50299.546875,55400.0,55600.0,54700.0,54800.0,1026300,SAB.VN
2024-08-01,49936.37109375,55000.0,57500.0,55000.0,55800.0,1325700,SAB.VN
2024-08-02,50027.1640625,55100.0,55400.0,54500.0,55000.0,677000,SAB.VN
2024-08-05,47212.5703125,52000.0,54900.0,52000.0,54700.0,1649500,SAB.VN
2024-08-06,48392.8828125,53300.0,54000.0,52100.0,52800.0,838500,SAB.VN
2024-08-07,48029.7109375,52900.0,53900.0,52700.0,53900.0,724300,SAB.VN
2024-08-08,47938.9140625,52800.0,53800.0,52800.0,53000.0,991000,SAB.VN
2024-08-09,48665.265625,53600.0,54200.0,53300.0,53400.0,471000,SAB.VN
2024-08-12,49028.4375,54000.0,54400.0,53400.0,53800.0,582700,SAB.VN
2024-08-13,49300.8203125,54300.0,54800.0,53800.0,54500.0,732900,SAB.VN
2024-08-14,50571.92578125,55700.0,56700.0,54300.0,54400.0,1649400,SAB.VN
2024-08-15,50571.92578125,55700.0,56500.0,55700.0,55800.0,899700,SAB.VN
2024-08-16,51116.6875,56300.0,56500.0,55500.0,55600.0,1006500,SAB.VN
2024-08-19,52478.5859375,57800.0,57800.0,56100.0,56300.0,1218400,SAB.VN
2024-08-20,52660.171875,58000.0,58500.0,57300.0,57800.0,1010200,SAB.VN
2024-08-21,52115.4140625,57400.0,58000.0,57200.0,58000.0,937500,SAB.VN
2024-08-22,51752.23828125,57000.0,57800.0,56600.0,57600.0,785800,SAB.VN
2024-08-23,51661.4453125,56900.0,57500.0,56600.0,56600.0,851200,SAB.VN
2024-08-26,51479.859375,56700.0,57700.0,56700.0,56900.0,578500,SAB.VN
2024-08-28,52115.4140625,57400.0,58100.0,57000.0,57100.0,997600,SAB.VN
2024-08-29,52115.4140625,57400.0,58200.0,57400.0,57400.0,1024600,SAB.VN
2024-08-30,52206.20703125,57500.0,58500.0,57400.0,57700.0,1404900,SAB.VN
2024-09-04,51933.828125,57200.0,57700.0,57000.0,57200.0,898100,SAB.VN
2024-09-05,51752.23828125,57000.0,58200.0,56700.0,57300.0,824400,SAB.VN
2024-09-06,51479.859375,56700.0,57300.0,56700.0,57000.0,654100,SAB.VN
2024-09-09,51025.89453125,56200.0,56900.0,55600.0,56700.0,1129500,SAB.VN
2024-09-10,50208.75390625,55300.0,56900.0,55300.0,56600.0,1389900,SAB.VN
2024-09-11,50299.546875,55400.0,55700.0,55000.0,55700.0,729500,SAB.VN
2024-09-12,50299.546875,55400.0,56500.0,55300.0,56400.0,665800,SAB.VN
2024-09-13,50935.09765625,56100.0,56300.0,55500.0,55500.0,698100,SAB.VN
2024-09-16,50662.71875,55800.0,56400.0,55700.0,55700.0,587100,SAB.VN
2024-09-17,51298.2734375,56500.0,56500.0,55700.0,55700.0,441500,SAB.VN
2024-09-18,50935.09765625,56100.0,56600.0,56100.0,56500.0,586900,SAB.VN
2024-09-19,51298.2734375,56500.0,56700.0,56200.0,56300.0,378900,SAB.VN
2024-09-20,52115.4140625,57400.0,57400.0,56500.0,56800.0,1126400,SAB.VN
2024-09-23,52115.4140625,57400.0,57800.0,57100.0,57500.0,666600,SAB.VN
2024-09-24,52206.20703125,57500.0,57800.0,57200.0,57700.0,758600,SAB.VN
2024-09-25,52115.4140625,57400.0,57700.0,57300.0,57500.0,357400,SAB.VN
2024-09-26,52750.96875,58100.0,58500.0,57500.0,57500.0,1271100,SAB.VN
2024-09-27,53114.14453125,58500.0,58800.0,57900.0,58300.0,814200,SAB.VN
2024-09-30,52478.5859375,57800.0,58800.0,57700.0,58800.0,731500,SAB.VN
2024-10-01,52478.5859375,57800.0,58000.0,57600.0,58000.0,579300,SAB.VN
2024-10-02,51661.4453125,56900.0,57800.0,56800.0,57800.0,815600,SAB.VN
2024-10-03,51570.65234375,56800.0,57700.0,56800.0,57200.0,626400,SAB.VN
2024-10-04,51389.06640625,56600.0,57000.0,56600.0,56800.0,536200,SAB.VN
2024-10-07,51479.859375,56700.0,57100.0,56500.0,56600.0,434800,SAB.VN
2024-10-08,51116.6875,56300.0,56900.0,56100.0,56700.0,599800,SAB.VN
2024-10-09,51207.48046875,56400.0,56600.0,55900.0,56400.0,633900,SAB.VN
2024-10-10,52387.79296875,57700.0,57900.0,56500.0,56600.0,770400,SAB.VN
2024-10-11,52206.20703125,57500.0,58200.0,57400.0,57900.0,449300,SAB.VN
2024-10-14,51933.828125,57200.0,57700.0,57100.0,57600.0,515400,SAB.VN
2024-10-15,51843.03515625,57100.0,58200.0,57100.0,57200.0,642600,SAB.VN
2024-10-16,52478.5859375,57800.0,57800.0,57100.0,57100.0,601800,SAB.VN
2024-10-17,52024.62109375,57300.0,58000.0,56900.0,58000.0,294700,SAB.VN
2024-10-18,52115.4140625,57400.0,58100.0,57300.0,57500.0,410300,SAB.VN
2024-10-21,51389.06640625,56600.0,57600.0,56500.0,57400.0,735600,SAB.VN
2024-10-22,50844.3046875,56000.0,56500.0,55900.0,56400.0,646300,SAB.VN
2024-10-23,50844.3046875,56000.0,56500.0,55600.0,56000.0,479000,SAB.VN
2024-10-24,50753.51171875,55900.0,56000.0,55700.0,56000.0,433400,SAB.VN
2024-10-25,50390.33984375,55500.0,56000.0,55200.0,55900.0,469500,SAB.VN
2024-10-28,50390.33984375,55500.0,55600.0,55300.0,55600.0,563900,SAB.VN
2024-10-29,50299.546875,55400.0,55700.0,55200.0,55500.0,968400,SAB.VN
2024-10-31,50117.95703125,55200.0,56200.0,55200.0,55300.0,621300,SAB.VN
2024-11-01,50208.75390625,55300.0,56100.0,55300.0,55600.0,436300,SAB.VN
2024-11-04,50390.33984375,55500.0,56100.0,55500.0,55900.0,571700,SAB.VN
2024-11-06,50662.71875,55800.0,56000.0,55500.0,55700.0,526500,SAB.VN
2024-11-07,50481.1328125,55600.0,56100.0,55600.0,56000.0,339500,SAB.VN
2024-11-08,50117.95703125,55200.0,55900.0,55200.0,55700.0,651500,SAB.VN
2024-11-11,50208.75390625,55300.0,55800.0,55200.0,55300.0,491500,SAB.VN
2024-11-12,51389.06640625,56600.0,57400.0,55400.0,55400.0,1134200,SAB.VN
2024-11-13,51570.65234375,56800.0,57000.0,56300.0,56700.0,379300,SAB.VN
2024-11-14,50935.09765625,56100.0,56800.0,56000.0,56800.0,364700,SAB.VN
2024-11-15,50390.33984375,55500.0,56100.0,55500.0,56000.0,476200,SAB.VN
2024-11-18,50390.33984375,55500.0,56300.0,55300.0,56300.0,628600,SAB.VN
2024-11-19,49936.37109375,55000.0,56000.0,55000.0,56000.0,520500,SAB.VN
2024-11-20,50390.33984375,55500.0,55500.0,54700.0,54700.0,436600,SAB.VN
2024-11-21,50208.75390625,55300.0,55600.0,55100.0,55600.0,266200,SAB.VN
2024-11-22,50299.546875,55400.0,56000.0,55300.0,55300.0,539000,SAB.VN
2024-11-25,50390.33984375,55500.0,56000.0,55500.0,55900.0,411600,SAB.VN
2024-11-26,50935.09765625,56100.0,56300.0,55600.0,55600.0,853100,SAB.VN
2024-11-27,50935.09765625,56100.0,56600.0,56100.0,56100.0,477400,SAB.VN
2024-11-28,50390.33984375,55500.0,56500.0,55500.0,56400.0,454800,SAB.VN
2024-11-29,50935.09765625,56100.0,56100.0,55200.0,55500.0,503600,SAB.VN
2024-12-02,51025.89453125,56200.0,56900.0,56000.0,56200.0,385300,SAB.VN
2024-12-03,51025.89453125,56200.0,56300.0,55800.0,56200.0,524400,SAB.VN
2024-12-04,52115.4140625,57400.0,58000.0,56000.0,56200.0,1411400,SAB.VN
2024-12-05,52206.20703125,57500.0,58000.0,56900.0,57600.0,826400,SAB.VN
2024-12-06,52387.79296875,57700.0,58500.0,57300.0,57700.0,1099700,SAB.VN
2024-12-09,52206.20703125,57500.0,57900.0,57200.0,57700.0,612400,SAB.VN
2024-12-10,52750.96875,58100.0,58300.0,57400.0,57500.0,765300,SAB.VN
2024-12-11,52297.00390625,57600.0,58400.0,57600.0,58200.0,927200,SAB.VN
2024-12-12,52206.20703125,57500.0,58100.0,57500.0,57600.0,577300,SAB.VN
2024-12-13,52115.4140625,57400.0,57700.0,57200.0,57500.0,571700,SAB.VN
2024-12-16,52024.62109375,57300.0,57600.0,57200.0,57400.0,276600,SAB.VN
2024-12-17,52024.62109375,57300.0,57600.0,57000.0,57500.0,449400,SAB.VN
2024-12-18,52115.4140625,57400.0,57600.0,57300.0,57300.0,340100,SAB.VN
2024-12-19,51661.4453125,56900.0,57300.0,56400.0,57000.0,859800,SAB.VN
2024-12-20,51298.2734375,56500.0,57100.0,56400.0,56900.0,868600,SAB.VN
2024-12-23,51933.828125,57200.0,58100.0,56700.0,57000.0,613200,SAB.VN
2024-12-24,51933.828125,57200.0,57500.0,57000.0,57300.0,623800,SAB.VN
2024-12-25,52115.4140625,57400.0,57800.0,57200.0,57500.0,845200,SAB.VN
2024-12-26,52397.62890625,55700.0,56000.0,55200.0,55200.0,959500,SAB.VN
2024-12-27,52491.69921875,55800.0,55800.0,55100.0,55800.0,632700,SAB.VN
2024-12-30,52773.91015625,56100.0,56100.0,55200.0,55700.0,478700,SAB.VN
