Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,SFG.VN,SFG.VN,SFG.VN,SFG.VN,SFG.VN,SFG.VN,
2024-07-16,13325.6201171875,13900.0,14200.0,13300.0,13350.0,154000,SFG.VN
2024-07-17,12990.0830078125,13550.0,13550.0,12950.0,13050.0,30300,SFG.VN
2024-07-18,12127.2734375,12650.0,12850.0,12650.0,12700.0,105200,SFG.VN
2024-07-19,12462.810546875,13000.0,13350.0,12100.0,12100.0,38300,SFG.VN
2024-07-22,11600.0,12100.0,13000.0,12100.0,13000.0,155200,SFG.VN
2024-07-23,11408.2646484375,11900.0,12100.0,11350.0,12100.0,17800,SFG.VN
2024-07-24,11120.6611328125,11600.0,11650.0,11200.0,11250.0,16600,SFG.VN
2024-07-25,10976.859375,11450.0,11900.0,11450.0,11600.0,3800,SFG.VN
2024-07-26,10976.859375,11450.0,11500.0,11450.0,11500.0,8800,SFG.VN
2024-07-29,11264.462890625,11750.0,11950.0,11150.0,11150.0,11600,SFG.VN
2024-07-30,11216.529296875,11700.0,11850.0,11700.0,11750.0,3700,SFG.VN
2024-07-31,10880.9921875,11350.0,11700.0,11250.0,11700.0,4400,SFG.VN
2024-08-01,10353.7197265625,10800.0,11350.0,10600.0,11300.0,26100,SFG.VN
2024-08-02,10353.7197265625,10800.0,10800.0,10300.0,10550.0,13400,SFG.VN
2024-08-05,9682.64453125,10100.0,11350.0,10100.0,11350.0,14300,SFG.VN
2024-08-06,9970.248046875,10400.0,10650.0,10150.0,10650.0,6600,SFG.VN
2024-08-07,10018.181640625,10450.0,10700.0,10150.0,10700.0,13400,SFG.VN
2024-08-08,10066.1162109375,10500.0,10550.0,10250.0,10450.0,8400,SFG.VN
2024-08-09,10401.6533203125,10850.0,10850.0,10450.0,10500.0,900,SFG.VN
2024-08-12,10257.8515625,10700.0,11100.0,10600.0,11100.0,2700,SFG.VN
2024-08-13,10257.8515625,10700.0,10700.0,10400.0,10700.0,3500,SFG.VN
2024-08-14,10161.9833984375,10600.0,10650.0,10200.0,10250.0,6800,SFG.VN
2024-08-15,10066.1162109375,10500.0,10500.0,10150.0,10250.0,5500,SFG.VN
2024-08-16,10161.9833984375,10600.0,10700.0,10300.0,10500.0,8100,SFG.VN
2024-08-19,10209.91796875,10650.0,10650.0,10550.0,10600.0,8300,SFG.VN
2024-08-20,10209.91796875,10650.0,10750.0,10350.0,10500.0,18200,SFG.VN
2024-08-21,10209.91796875,10650.0,10650.0,10400.0,10450.0,2300,SFG.VN
2024-08-22,10209.91796875,10650.0,10700.0,10500.0,10700.0,2500,SFG.VN
2024-08-23,10209.91796875,10650.0,10650.0,10600.0,10650.0,2800,SFG.VN
2024-08-26,10209.91796875,10650.0,10650.0,10550.0,10600.0,4300,SFG.VN
2024-08-28,10593.388671875,11050.0,11050.0,10550.0,10650.0,8100,SFG.VN
2024-08-29,10353.7197265625,10800.0,11000.0,10800.0,11000.0,2300,SFG.VN
2024-08-30,10353.7197265625,10800.0,10800.0,10750.0,10750.0,1700,SFG.VN
2024-09-04,10305.78515625,10750.0,10750.0,10550.0,10600.0,3200,SFG.VN
2024-09-05,10257.8515625,10700.0,10750.0,10700.0,10750.0,1300,SFG.VN
2024-09-06,10257.8515625,10700.0,10700.0,10700.0,10700.0,300,SFG.VN
2024-09-09,10257.8515625,10700.0,10800.0,10700.0,10700.0,1800,SFG.VN
2024-09-10,9970.248046875,10400.0,10550.0,10250.0,10350.0,4100,SFG.VN
2024-09-11,10066.1162109375,10500.0,10500.0,10350.0,10400.0,1100,SFG.VN
2024-09-12,10209.91796875,10650.0,10650.0,10500.0,10500.0,3000,SFG.VN
2024-09-13,10161.9833984375,10600.0,10650.0,10500.0,10650.0,1600,SFG.VN
2024-09-16,10161.9833984375,10600.0,10600.0,10300.0,10550.0,2000,SFG.VN
2024-09-18,10161.9833984375,10600.0,10600.0,10300.0,10300.0,3100,SFG.VN
2024-09-19,10161.9833984375,10600.0,10700.0,10500.0,10600.0,1700,SFG.VN
2024-09-20,10257.8515625,10700.0,10700.0,10500.0,10600.0,6800,SFG.VN
2024-09-23,10161.9833984375,10600.0,10600.0,10300.0,10300.0,300,SFG.VN
2024-09-24,10114.0498046875,10550.0,10600.0,10100.0,10150.0,3000,SFG.VN
2024-09-25,10114.0498046875,10550.0,10550.0,10550.0,10550.0,1600,SFG.VN
2024-09-26,10161.9833984375,10600.0,10600.0,10400.0,10550.0,2400,SFG.VN
2024-09-27,10161.9833984375,10600.0,10600.0,10400.0,10400.0,400,SFG.VN
2024-09-30,10114.0498046875,10550.0,10600.0,10550.0,10550.0,400,SFG.VN
2024-10-01,10257.8515625,10700.0,10700.0,10350.0,10550.0,9500,SFG.VN
2024-10-02,10257.8515625,10700.0,10700.0,10650.0,10700.0,900,SFG.VN
2024-10-03,10353.7197265625,10800.0,11000.0,10800.0,11000.0,1900,SFG.VN
2024-10-04,10353.7197265625,10800.0,10800.0,10800.0,10800.0,200,SFG.VN
2024-10-07,10449.5869140625,10900.0,10900.0,10800.0,10800.0,2100,SFG.VN
2024-10-08,10449.5869140625,10900.0,10900.0,10900.0,10900.0,400,SFG.VN
2024-10-09,10545.455078125,11000.0,11450.0,10600.0,11450.0,2200,SFG.VN
2024-10-10,10641.322265625,11100.0,11300.0,10900.0,11300.0,2100,SFG.VN
2024-10-11,10880.9921875,11350.0,11350.0,11350.0,11350.0,100,SFG.VN
2024-10-14,10593.388671875,11050.0,11050.0,10600.0,10650.0,4900,SFG.VN
2024-10-15,10545.455078125,11000.0,11000.0,10650.0,10650.0,500,SFG.VN
2024-10-16,10497.5205078125,10950.0,10950.0,10700.0,10700.0,900,SFG.VN
2024-10-17,10497.5205078125,10950.0,11150.0,10950.0,11150.0,1600,SFG.VN
2024-10-18,10497.5205078125,10950.0,10950.0,10950.0,10950.0,100,SFG.VN
2024-10-21,10353.7197265625,10800.0,10800.0,10450.0,10800.0,900,SFG.VN
2024-10-22,10257.8515625,10700.0,10900.0,10450.0,10800.0,4900,SFG.VN
2024-10-23,10257.8515625,10700.0,10700.0,10500.0,10650.0,2100,SFG.VN
2024-10-24,10257.8515625,10700.0,10700.0,10700.0,10700.0,200,SFG.VN
2024-10-25,10257.8515625,10700.0,10700.0,10650.0,10650.0,300,SFG.VN
2024-10-28,10257.8515625,10700.0,10700.0,10100.0,10100.0,2900,SFG.VN
2024-10-29,10209.91796875,10650.0,10700.0,10300.0,10700.0,1300,SFG.VN
2024-10-31,10161.9833984375,10600.0,10650.0,10350.0,10600.0,2000,SFG.VN
2024-11-01,10161.9833984375,10600.0,10850.0,10300.0,10850.0,2700,SFG.VN
2024-11-04,10161.9833984375,10600.0,10600.0,10500.0,10550.0,2400,SFG.VN
2024-11-06,10257.8515625,10700.0,11250.0,10000.0,11250.0,1300,SFG.VN
2024-11-07,10353.7197265625,10800.0,10850.0,10550.0,10750.0,1000,SFG.VN
2024-11-08,10257.8515625,10700.0,10700.0,10350.0,10450.0,5500,SFG.VN
2024-11-11,10209.91796875,10650.0,10750.0,10350.0,10350.0,1000,SFG.VN
2024-11-12,10305.78515625,10750.0,10850.0,10750.0,10850.0,300,SFG.VN
2024-11-13,10209.91796875,10650.0,10700.0,10350.0,10400.0,1300,SFG.VN
2024-11-14,10257.8515625,10700.0,10850.0,10500.0,10850.0,64300,SFG.VN
2024-11-15,9730.5791015625,10150.0,10650.0,10150.0,10500.0,4300,SFG.VN
2024-11-18,10114.0498046875,10550.0,10750.0,10150.0,10200.0,1500,SFG.VN
2024-11-19,9826.4462890625,10250.0,10700.0,10250.0,10700.0,3300,SFG.VN
2024-11-20,10161.9833984375,10600.0,10600.0,10500.0,10500.0,2300,SFG.VN
2024-11-21,10161.9833984375,10600.0,10650.0,10150.0,10200.0,18400,SFG.VN
2024-11-22,10401.6533203125,10850.0,10950.0,10600.0,10600.0,21000,SFG.VN
2024-11-25,10401.6533203125,10850.0,10950.0,10700.0,10950.0,37500,SFG.VN
2024-11-26,10497.5205078125,10950.0,11050.0,10800.0,10800.0,9200,SFG.VN
2024-11-27,10305.78515625,10750.0,11000.0,10550.0,11000.0,1200,SFG.VN
2024-11-28,9778.5126953125,10200.0,10750.0,10150.0,10750.0,40000,SFG.VN
2024-11-29,9970.248046875,10400.0,10450.0,10200.0,10450.0,9900,SFG.VN
2024-12-02,9970.248046875,10400.0,10400.0,10000.0,10400.0,15500,SFG.VN
2024-12-03,9682.64453125,10100.0,10400.0,10100.0,10400.0,1000,SFG.VN
2024-12-04,9778.5126953125,10200.0,10200.0,10100.0,10100.0,600,SFG.VN
2024-12-05,9730.5791015625,10150.0,10250.0,9970.0,10250.0,19100,SFG.VN
2024-12-06,9634.7109375,10050.0,10250.0,10050.0,10150.0,3300,SFG.VN
2024-12-09,9682.64453125,10100.0,10400.0,10050.0,10050.0,900,SFG.VN
2024-12-10,9682.64453125,10100.0,10150.0,10100.0,10150.0,4300,SFG.VN
2024-12-11,9778.5126953125,10200.0,10200.0,10000.0,10000.0,1000,SFG.VN
2024-12-12,9730.5791015625,10150.0,10200.0,10000.0,10050.0,2200,SFG.VN
2024-12-13,9586.77734375,10000.0,10000.0,10000.0,10000.0,1900,SFG.VN
2024-12-16,9778.5126953125,10200.0,10200.0,9950.0,10000.0,13200,SFG.VN
2024-12-17,9826.4462890625,10250.0,10250.0,10000.0,10000.0,2500,SFG.VN
2024-12-18,9778.5126953125,10200.0,10250.0,10000.0,10000.0,7800,SFG.VN
2024-12-19,9682.64453125,10100.0,10200.0,10000.0,10200.0,2000,SFG.VN
2024-12-20,9778.5126953125,10200.0,10200.0,10000.0,10200.0,1800,SFG.VN
2024-12-23,9634.7109375,10050.0,10150.0,10000.0,10150.0,8000,SFG.VN
2024-12-24,9730.5791015625,10150.0,10200.0,10050.0,10200.0,6200,SFG.VN
2024-12-25,9730.5791015625,10150.0,10500.0,10150.0,10500.0,2900,SFG.VN
2024-12-26,9730.5791015625,10150.0,10200.0,10150.0,10150.0,9900,SFG.VN
2024-12-27,9730.5791015625,10150.0,10150.0,10150.0,10150.0,3400,SFG.VN
2024-12-31,9586.77734375,10000.0,10000.0,10000.0,10000.0,200,SFG.VN
2025-01-02,9922.314453125,10350.0,10350.0,10150.0,10200.0,1100,SFG.VN
2025-01-03,9634.7109375,10050.0,10050.0,10050.0,10050.0,500,SFG.VN
2025-01-06,9586.77734375,10000.0,10050.0,10000.0,10050.0,1300,SFG.VN
2025-01-07,9634.7109375,10050.0,10050.0,10050.0,10050.0,100,SFG.VN
2025-01-08,9414.21484375,9820.0,10050.0,9800.0,10050.0,8900,SFG.VN
2025-01-09,9577.1904296875,9990.0,9990.0,9800.0,9800.0,400,SFG.VN
2025-01-10,9490.9091796875,9900.0,10000.0,9800.0,10000.0,900,SFG.VN
2025-01-13,9558.0166015625,9970.0,10000.0,9700.0,10000.0,2000,SFG.VN
2025-01-14,9558.0166015625,9970.0,9990.0,9900.0,9900.0,800,SFG.VN
2025-01-15,9203.3056640625,9600.0,9900.0,9500.0,9900.0,500,SFG.VN
2025-01-16,9510.0830078125,9920.0,9920.0,9610.0,9610.0,1200,SFG.VN
2025-01-17,9481.322265625,9890.0,9890.0,9610.0,9630.0,1600,SFG.VN
2025-01-20,9481.322265625,9890.0,10100.0,9890.0,10000.0,900,SFG.VN
2025-01-21,9299.173828125,9700.0,9900.0,9700.0,9900.0,2500,SFG.VN
2025-01-23,9299.173828125,9700.0,9900.0,9700.0,9700.0,1200,SFG.VN
2025-01-24,9299.173828125,9700.0,9890.0,9700.0,9850.0,1200,SFG.VN
2025-02-03,9299.173828125,9700.0,9890.0,9700.0,9700.0,1600,SFG.VN
2025-02-04,9299.173828125,9700.0,9710.0,9700.0,9710.0,600,SFG.VN
2025-02-05,9395.0419921875,9800.0,9890.0,9800.0,9890.0,1700,SFG.VN
2025-02-06,9500.49609375,9910.0,10000.0,9880.0,9880.0,3000,SFG.VN
2025-02-07,9548.4296875,9960.0,10000.0,9910.0,9990.0,1700,SFG.VN
2025-02-10,9826.4462890625,10250.0,10400.0,10000.0,10100.0,17000,SFG.VN
2025-02-11,9922.314453125,10350.0,10350.0,10350.0,10350.0,7600,SFG.VN
2025-02-12,9778.5126953125,10200.0,10350.0,10200.0,10350.0,3600,SFG.VN
2025-02-13,10449.5869140625,10900.0,10900.0,10200.0,10200.0,37000,SFG.VN
2025-02-14,11024.7939453125,11500.0,11650.0,11000.0,11000.0,37300,SFG.VN
2025-02-17,10928.92578125,11400.0,11700.0,11400.0,11500.0,35800,SFG.VN
2025-02-18,10833.05859375,11300.0,11400.0,11050.0,11400.0,24100,SFG.VN
2025-02-19,10785.1240234375,11250.0,11300.0,11200.0,11300.0,3900,SFG.VN
2025-02-20,11264.462890625,11750.0,11900.0,11500.0,11900.0,19100,SFG.VN
2025-02-21,11120.6611328125,11600.0,11800.0,11500.0,11800.0,10200,SFG.VN
2025-02-24,10641.322265625,11100.0,11150.0,11100.0,11150.0,1800,SFG.VN
