Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,SJS.VN,SJS.VN,SJS.VN,SJS.VN,SJS.VN,SJS.VN,
2024-07-16,68300.0,68300.0,72000.0,68300.0,68900.0,150900,SJS.VN
2024-07-17,63600.0,63600.0,71000.0,63600.0,70000.0,105300,SJS.VN
2024-07-18,66100.0,66100.0,68000.0,65000.0,67500.0,153800,SJS.VN
2024-07-19,66400.0,66400.0,69900.0,66400.0,66500.0,130500,SJS.VN
2024-07-22,65400.0,65400.0,66900.0,63500.0,66600.0,2455200,SJS.VN
2024-07-23,63200.0,63200.0,64900.0,63200.0,64200.0,1445000,SJS.VN
2024-07-24,64300.0,64300.0,64300.0,63000.0,63700.0,16200,SJS.VN
2024-07-25,63100.0,63100.0,64500.0,63000.0,64500.0,163300,SJS.VN
2024-07-26,64700.0,64700.0,64900.0,63500.0,63500.0,254100,SJS.VN
2024-07-29,66200.0,66200.0,68300.0,64700.0,64700.0,66600,SJS.VN
2024-07-30,65000.0,65000.0,65900.0,64000.0,65900.0,89500,SJS.VN
2024-07-31,63500.0,63500.0,65000.0,63500.0,65000.0,104200,SJS.VN
2024-08-01,63300.0,63300.0,66400.0,62000.0,66400.0,179800,SJS.VN
2024-08-02,63800.0,63800.0,63800.0,62000.0,62000.0,12400,SJS.VN
2024-08-05,61500.0,61500.0,63400.0,61500.0,62500.0,574500,SJS.VN
2024-08-06,63200.0,63200.0,63500.0,61600.0,62400.0,25500,SJS.VN
2024-08-07,63400.0,63400.0,64200.0,63000.0,64200.0,1900,SJS.VN
2024-08-08,63400.0,63400.0,63400.0,62100.0,63400.0,649400,SJS.VN
2024-08-09,63000.0,63000.0,63400.0,62000.0,63400.0,7500,SJS.VN
2024-08-12,63300.0,63300.0,63400.0,62800.0,62800.0,484500,SJS.VN
2024-08-13,63500.0,63500.0,64200.0,63300.0,63300.0,15100,SJS.VN
2024-08-14,63900.0,63900.0,63900.0,63100.0,63100.0,5800,SJS.VN
2024-08-15,63200.0,63200.0,63800.0,63100.0,63500.0,10600,SJS.VN
2024-08-16,63900.0,63900.0,64600.0,62500.0,62900.0,30600,SJS.VN
2024-08-19,63600.0,63600.0,64500.0,63600.0,64000.0,1130200,SJS.VN
2024-08-20,65300.0,65300.0,67900.0,64300.0,64900.0,63600,SJS.VN
2024-08-21,64900.0,64900.0,67700.0,64800.0,67700.0,494300,SJS.VN
2024-08-22,65500.0,65500.0,65500.0,64600.0,64600.0,16400,SJS.VN
2024-08-23,66300.0,66300.0,66500.0,65400.0,66300.0,53800,SJS.VN
2024-08-26,64800.0,64800.0,66300.0,64800.0,66300.0,1414800,SJS.VN
2024-08-28,64800.0,64800.0,65000.0,64500.0,65000.0,36200,SJS.VN
2024-08-29,66900.0,66900.0,68000.0,65000.0,65000.0,46400,SJS.VN
2024-08-30,70200.0,70200.0,70800.0,66900.0,66900.0,154500,SJS.VN
2024-09-04,70500.0,70500.0,71300.0,70000.0,70200.0,90400,SJS.VN
2024-09-05,70300.0,70300.0,70800.0,69400.0,70800.0,38200,SJS.VN
2024-09-06,70000.0,70000.0,70000.0,67100.0,67200.0,42200,SJS.VN
2024-09-09,69400.0,69400.0,69400.0,68000.0,68100.0,451900,SJS.VN
2024-09-10,68600.0,68600.0,70000.0,67700.0,70000.0,15800,SJS.VN
2024-09-11,67900.0,67900.0,68800.0,67700.0,68000.0,453800,SJS.VN
2024-09-12,67800.0,67800.0,68800.0,67800.0,68100.0,23900,SJS.VN
2024-09-13,68000.0,68000.0,68000.0,66700.0,67100.0,18800,SJS.VN
2024-09-16,67800.0,67800.0,69600.0,67800.0,69600.0,2623700,SJS.VN
2024-09-17,68000.0,68000.0,68000.0,67000.0,67200.0,25800,SJS.VN
2024-09-18,67400.0,67400.0,68000.0,67000.0,68000.0,119000,SJS.VN
2024-09-19,67400.0,67400.0,67800.0,67000.0,67400.0,19200,SJS.VN
2024-09-20,67500.0,67500.0,67700.0,66900.0,67200.0,22100,SJS.VN
2024-09-23,67500.0,67500.0,67500.0,67000.0,67000.0,2043314,SJS.VN
2024-09-24,67500.0,67500.0,67500.0,67000.0,67000.0,7900,SJS.VN
2024-09-25,67500.0,67500.0,67500.0,66300.0,66300.0,1444700,SJS.VN
2024-09-26,67500.0,67500.0,68000.0,67000.0,67900.0,13700,SJS.VN
2024-09-27,68700.0,68700.0,68700.0,67500.0,67500.0,27700,SJS.VN
2024-09-30,69200.0,69200.0,69500.0,68100.0,68100.0,649300,SJS.VN
2024-10-01,68300.0,68300.0,69200.0,68000.0,69200.0,128400,SJS.VN
2024-10-02,67500.0,67500.0,68600.0,67500.0,68600.0,276200,SJS.VN
2024-10-03,67100.0,67100.0,67500.0,66000.0,67500.0,28100,SJS.VN
2024-10-04,66300.0,66300.0,67100.0,65600.0,67100.0,11300,SJS.VN
2024-10-07,66300.0,66300.0,68000.0,66000.0,66300.0,768800,SJS.VN
2024-10-08,66200.0,66200.0,66300.0,65000.0,65500.0,8700,SJS.VN
2024-10-09,66000.0,66000.0,66400.0,65400.0,65400.0,3900,SJS.VN
2024-10-10,66000.0,66000.0,66000.0,65400.0,66000.0,8800,SJS.VN
2024-10-11,67000.0,67000.0,67000.0,66000.0,66500.0,14100,SJS.VN
2024-10-14,67000.0,67000.0,67300.0,66700.0,67000.0,1009700,SJS.VN
2024-10-15,66000.0,66000.0,67400.0,65200.0,65600.0,4900,SJS.VN
2024-10-16,66300.0,66300.0,66700.0,65800.0,66000.0,745400,SJS.VN
2024-10-17,65800.0,65800.0,66300.0,65500.0,65500.0,4800,SJS.VN
2024-10-18,65800.0,65800.0,66000.0,65800.0,66000.0,10800,SJS.VN
2024-10-21,66600.0,66600.0,66600.0,65200.0,65300.0,714000,SJS.VN
2024-10-22,65300.0,65300.0,66500.0,65100.0,65300.0,15900,SJS.VN
2024-10-23,65000.0,65000.0,65300.0,64200.0,65300.0,17000,SJS.VN
2024-10-24,65200.0,65200.0,65200.0,64700.0,64800.0,4300,SJS.VN
2024-10-25,65500.0,65500.0,65500.0,62700.0,64500.0,8700,SJS.VN
2024-10-28,64500.0,64500.0,65500.0,64500.0,65500.0,200,SJS.VN
2024-10-29,64300.0,64300.0,65000.0,64000.0,64200.0,491100,SJS.VN
2024-10-31,64100.0,64100.0,65000.0,64000.0,65000.0,6500,SJS.VN
2024-11-01,64200.0,64200.0,64200.0,63100.0,63100.0,11800,SJS.VN
2024-11-04,63700.0,63700.0,64000.0,63500.0,64000.0,385400,SJS.VN
2024-11-06,63000.0,63000.0,63100.0,62400.0,62600.0,3522000,SJS.VN
2024-11-07,63500.0,63500.0,63700.0,62500.0,62600.0,26400,SJS.VN
2024-11-08,61900.0,61900.0,63000.0,61600.0,62500.0,32200,SJS.VN
2024-11-11,61600.0,61600.0,62000.0,61200.0,61200.0,7800,SJS.VN
2024-11-12,62000.0,62000.0,62100.0,61900.0,61900.0,3100,SJS.VN
2024-11-13,61800.0,61800.0,62000.0,61300.0,62000.0,2900,SJS.VN
2024-11-14,61800.0,61800.0,61800.0,61300.0,61300.0,292900,SJS.VN
2024-11-15,61900.0,61900.0,65000.0,61500.0,65000.0,5400,SJS.VN
2024-11-18,61000.0,61000.0,62000.0,60900.0,61400.0,1417400,SJS.VN
2024-11-19,61000.0,61000.0,62000.0,61000.0,61200.0,9200,SJS.VN
2024-11-20,62700.0,62700.0,62700.0,60500.0,60600.0,8100,SJS.VN
2024-11-21,62500.0,62500.0,62500.0,62000.0,62000.0,400,SJS.VN
2024-11-22,62000.0,62000.0,62300.0,62000.0,62300.0,595100,SJS.VN
2024-11-25,60600.0,60600.0,61200.0,60500.0,61200.0,7100,SJS.VN
2024-11-26,62300.0,62300.0,62400.0,61000.0,61000.0,5900,SJS.VN
2024-11-27,62000.0,62000.0,62200.0,60700.0,61000.0,1800,SJS.VN
2024-11-28,60900.0,60900.0,62000.0,60900.0,61900.0,17200,SJS.VN
2024-11-29,61000.0,61000.0,61000.0,60800.0,61000.0,5500,SJS.VN
2024-12-02,60800.0,60800.0,61500.0,60500.0,60500.0,933700,SJS.VN
2024-12-03,61900.0,61900.0,61900.0,60800.0,60900.0,439800,SJS.VN
2024-12-04,61000.0,61000.0,61200.0,61000.0,61000.0,188500,SJS.VN
2024-12-05,61900.0,61900.0,62900.0,60800.0,61000.0,11600,SJS.VN
2024-12-06,62200.0,62200.0,62900.0,62000.0,62000.0,29600,SJS.VN
2024-12-09,64000.0,64000.0,64500.0,62900.0,62900.0,1069800,SJS.VN
2024-12-10,63000.0,63000.0,64100.0,63000.0,64000.0,13100,SJS.VN
2024-12-11,66600.0,66600.0,66600.0,63000.0,64200.0,2792000,SJS.VN
2024-12-12,66500.0,66500.0,66700.0,65600.0,65600.0,4500,SJS.VN
2024-12-13,66300.0,66300.0,66500.0,63500.0,66500.0,8700,SJS.VN
2024-12-16,64000.0,64000.0,65000.0,63700.0,63900.0,6400,SJS.VN
2024-12-17,64100.0,64100.0,64500.0,63300.0,63300.0,936700,SJS.VN
2024-12-18,64300.0,64300.0,64300.0,64000.0,64100.0,7500,SJS.VN
2024-12-19,64000.0,64000.0,64500.0,63500.0,64000.0,30700,SJS.VN
2024-12-20,67400.0,67400.0,67400.0,65400.0,65400.0,64400,SJS.VN
2024-12-23,67400.0,67400.0,68000.0,65300.0,65300.0,17600,SJS.VN
2024-12-24,68100.0,68100.0,68100.0,66500.0,67000.0,1664800,SJS.VN
2024-12-25,69800.0,69800.0,69800.0,68000.0,68100.0,67300,SJS.VN
2024-12-26,70000.0,70000.0,70500.0,69800.0,69800.0,69100,SJS.VN
2024-12-27,69500.0,69500.0,71000.0,69000.0,69000.0,73900,SJS.VN
2024-12-30,72500.0,72500.0,72500.0,69500.0,69500.0,97700,SJS.VN
2024-12-31,74000.0,74000.0,74000.0,71000.0,71500.0,62300,SJS.VN
2025-01-02,72500.0,72500.0,74900.0,68900.0,74900.0,73900,SJS.VN
2025-01-03,71200.0,71200.0,72500.0,71200.0,72500.0,17500,SJS.VN
2025-01-06,73000.0,73000.0,73000.0,70100.0,70500.0,2401200,SJS.VN
2025-01-07,75800.0,75800.0,75800.0,73100.0,73500.0,1187900,SJS.VN
2025-01-08,79000.0,79000.0,80900.0,75800.0,75800.0,83000,SJS.VN
2025-01-09,82600.0,82600.0,83200.0,78100.0,80000.0,156100,SJS.VN
2025-01-10,84900.0,84900.0,84900.0,82000.0,82900.0,114100,SJS.VN
2025-01-13,87900.0,87900.0,87900.0,81200.0,82000.0,760800,SJS.VN
2025-01-14,92500.0,92500.0,92500.0,85000.0,91100.0,747800,SJS.VN
2025-01-15,95000.0,95000.0,95000.0,90000.0,90500.0,3147455,SJS.VN
2025-01-16,90900.0,90900.0,95000.0,90900.0,93000.0,9286131,SJS.VN
2025-01-17,85700.0,85700.0,90900.0,85100.0,90900.0,61700,SJS.VN
2025-01-20,81100.0,81100.0,85700.0,81100.0,85700.0,382000,SJS.VN
2025-01-21,81500.0,81500.0,85000.0,81300.0,81300.0,553600,SJS.VN
2025-01-22,85700.0,85700.0,86000.0,81500.0,82000.0,61400,SJS.VN
2025-01-23,88400.0,88400.0,90100.0,86000.0,88000.0,38900,SJS.VN
2025-01-24,87000.0,87000.0,90000.0,86800.0,86800.0,16500,SJS.VN
2025-02-03,89000.0,89000.0,89000.0,83000.0,87500.0,43600,SJS.VN
2025-02-04,87900.0,87900.0,89500.0,86500.0,86500.0,12700,SJS.VN
2025-02-05,90000.0,90000.0,92200.0,87000.0,87000.0,157800,SJS.VN
2025-02-06,90200.0,90200.0,93500.0,90000.0,91200.0,16800,SJS.VN
2025-02-07,92000.0,92000.0,93500.0,90500.0,90500.0,38900,SJS.VN
2025-02-10,90700.0,90700.0,92000.0,90700.0,91500.0,334900,SJS.VN
2025-02-11,93100.0,93100.0,94200.0,91500.0,92000.0,65900,SJS.VN
2025-02-12,92600.0,92600.0,93200.0,91200.0,91200.0,1604300,SJS.VN
2025-02-13,92900.0,92900.0,93300.0,91200.0,92600.0,25300,SJS.VN
2025-02-14,92400.0,92400.0,93300.0,92400.0,92900.0,30800,SJS.VN
2025-02-17,98800.0,98800.0,98800.0,92200.0,92200.0,226300,SJS.VN
2025-02-18,101800.0,101800.0,104600.0,99000.0,99000.0,29600,SJS.VN
2025-02-19,99500.0,99500.0,103300.0,98100.0,103300.0,19600,SJS.VN
2025-02-20,99400.0,99400.0,100100.0,98100.0,99900.0,12500,SJS.VN
2025-02-21,99000.0,99000.0,99400.0,97100.0,99400.0,7200,SJS.VN
2025-02-24,99800.0,99800.0,99900.0,96500.0,96500.0,9700,SJS.VN
2025-02-25,98800.0,98800.0,99800.0,97100.0,99800.0,6600,SJS.VN
2025-02-26,98100.0,98100.0,98800.0,98000.0,98800.0,6500,SJS.VN
2025-02-27,100400.0,100400.0,101000.0,98000.0,98000.0,10200,SJS.VN
2025-02-28,100000.0,100000.0,100800.0,99000.0,100400.0,17400,SJS.VN
2025-03-03,103300.0,103300.0,105100.0,100000.0,100000.0,356700,SJS.VN
2025-03-04,104000.0,104000.0,104500.0,102800.0,102800.0,6700,SJS.VN
2025-03-05,108000.0,108000.0,109900.0,104000.0,105000.0,102700,SJS.VN
2025-03-06,108000.0,108000.0,109800.0,105000.0,107900.0,12400,SJS.VN
2025-03-07,107900.0,107900.0,107900.0,106400.0,106400.0,16500,SJS.VN
2025-03-10,101100.0,101100.0,108300.0,100400.0,108300.0,1900600,SJS.VN
2025-03-11,101000.0,101000.0,103000.0,99900.0,101000.0,24600,SJS.VN
2025-03-12,100100.0,100100.0,103000.0,99000.0,103000.0,4911000,SJS.VN
2025-03-13,100600.0,100600.0,100800.0,97300.0,98000.0,15700,SJS.VN
2025-03-14,100000.0,100000.0,101900.0,100000.0,100700.0,67400,SJS.VN
2025-03-17,102000.0,102000.0,102000.0,100000.0,100000.0,89400,SJS.VN
2025-03-18,101000.0,101000.0,102000.0,101000.0,101000.0,1715700,SJS.VN
2025-03-19,99900.0,99900.0,99900.0,97300.0,97300.0,9500,SJS.VN
2025-03-20,100000.0,100000.0,100000.0,98000.0,99900.0,4900,SJS.VN
2025-03-21,101000.0,101000.0,102000.0,99000.0,100000.0,3012500,SJS.VN
2025-03-24,100100.0,100100.0,102000.0,98600.0,98600.0,778100,SJS.VN
2025-03-25,101900.0,101900.0,102000.0,100100.0,100100.0,257000,SJS.VN
2025-03-26,106100.0,106100.0,107700.0,101900.0,101900.0,34700,SJS.VN
2025-03-27,106300.0,106300.0,107000.0,103700.0,103700.0,17000,SJS.VN
2025-03-28,104000.0,104000.0,106300.0,104000.0,106300.0,8400,SJS.VN
2025-03-31,104900.0,104900.0,105800.0,103000.0,104500.0,210700,SJS.VN
2025-04-01,106000.0,106000.0,106600.0,104900.0,104900.0,49000,SJS.VN
2025-04-02,104600.0,104600.0,106300.0,104500.0,104900.0,479300,SJS.VN
2025-04-03,97300.0,97300.0,110000.0,97300.0,98600.0,54500,SJS.VN
2025-04-04,92800.0,92800.0,93000.0,90500.0,90500.0,291100,SJS.VN
2025-04-08,86400.0,86400.0,92700.0,86400.0,92700.0,771000,SJS.VN
2025-04-09,80400.0,80400.0,85600.0,80400.0,80400.0,1025286,SJS.VN
2025-04-10,86000.0,86000.0,86000.0,86000.0,86000.0,71900,SJS.VN
2025-04-11,89000.0,89000.0,91400.0,85000.0,91400.0,90700,SJS.VN
2025-04-14,92100.0,92100.0,92800.0,88000.0,92800.0,3043000,SJS.VN
2025-04-15,89000.0,89000.0,92800.0,89000.0,92800.0,126500,SJS.VN
2025-04-16,88300.0,88300.0,92500.0,88200.0,92500.0,16100,SJS.VN
2025-04-17,88800.0,88800.0,88800.0,87000.0,88000.0,16400,SJS.VN
2025-04-18,88000.0,88000.0,88800.0,88000.0,88800.0,5200,SJS.VN
2025-04-21,87800.0,87800.0,90800.0,86000.0,86000.0,6400,SJS.VN
2025-04-22,84700.0,84700.0,87800.0,81700.0,87800.0,41000,SJS.VN
2025-04-23,87700.0,87700.0,88400.0,84800.0,88400.0,4200,SJS.VN
2025-04-24,85900.0,85900.0,86000.0,85500.0,85500.0,4200,SJS.VN
2025-04-25,86800.0,86800.0,86800.0,85800.0,85800.0,93900,SJS.VN
2025-04-28,85500.0,85500.0,87500.0,85300.0,87500.0,2900,SJS.VN
2025-04-29,87000.0,87000.0,87300.0,85500.0,85500.0,8100,SJS.VN
2025-05-05,87300.0,87300.0,87500.0,86900.0,87400.0,13910,SJS.VN
2025-05-06,90500.0,90500.0,90500.0,86100.0,86100.0,207600,SJS.VN
2025-05-07,88600.0,88600.0,90500.0,88000.0,90400.0,570814,SJS.VN
2025-05-08,91600.0,91600.0,92000.0,90000.0,90000.0,44809,SJS.VN
2025-05-09,91100.0,91100.0,91200.0,91000.0,91000.0,2005,SJS.VN
2025-05-12,91000.0,91000.0,91500.0,90900.0,91500.0,1774353,SJS.VN
2025-05-13,91000.0,91000.0,91000.0,87500.0,90000.0,1584734,SJS.VN
2025-05-14,92400.0,92400.0,92800.0,89500.0,92500.0,289274,SJS.VN
2025-05-15,90600.0,90600.0,93400.0,90100.0,92400.0,2403,SJS.VN
2025-05-16,91400.0,91400.0,91400.0,88600.0,90000.0,54221,SJS.VN
2025-05-19,91200.0,91200.0,91200.0,87500.0,87500.0,171768,SJS.VN
2025-05-20,92400.0,92400.0,92700.0,88500.0,92700.0,8279,SJS.VN
2025-05-21,91000.0,91000.0,93500.0,90400.0,93500.0,5746,SJS.VN
2025-05-22,89700.0,89700.0,91800.0,89500.0,91000.0,17085,SJS.VN
2025-05-23,91600.0,91600.0,92100.0,90000.0,92100.0,10201,SJS.VN
2025-05-26,88900.0,88900.0,92000.0,88600.0,92000.0,654670,SJS.VN
2025-05-27,91400.0,91400.0,91400.0,88500.0,88500.0,6369,SJS.VN
2025-05-28,91000.0,91000.0,91000.0,90300.0,91000.0,11258,SJS.VN
2025-05-29,91000.0,91000.0,91000.0,90200.0,91000.0,5272,SJS.VN
2025-05-30,86600.0,86600.0,91200.0,86600.0,91200.0,30225,SJS.VN
2025-06-02,89500.0,89500.0,90000.0,88500.0,88800.0,15053,SJS.VN
2025-06-03,89500.0,89500.0,90500.0,88100.0,88100.0,2053683,SJS.VN
2025-06-04,89100.0,89100.0,90500.0,87500.0,90500.0,4608,SJS.VN
2025-06-05,89000.0,89000.0,89000.0,88100.0,88100.0,58269,SJS.VN
2025-06-06,88400.0,88400.0,88800.0,87100.0,87100.0,1845,SJS.VN
2025-06-09,88100.0,88100.0,88400.0,88000.0,88400.0,485307,SJS.VN
2025-06-10,88400.0,88400.0,88500.0,87000.0,88500.0,560813,SJS.VN
2025-06-11,88900.0,88900.0,88900.0,88000.0,88100.0,6859,SJS.VN
2025-06-12,91800.0,91800.0,92000.0,90300.0,90300.0,944446,SJS.VN
2025-06-13,91700.0,91700.0,93900.0,91500.0,93000.0,9317,SJS.VN
2025-06-16,91700.0,91700.0,91800.0,91000.0,91700.0,1576508,SJS.VN
2025-06-17,93000.0,93000.0,93300.0,91500.0,91700.0,18921,SJS.VN
2025-06-18,93100.0,93100.0,93200.0,92000.0,93000.0,249476,SJS.VN
2025-06-19,94000.0,94000.0,94000.0,92600.0,93100.0,830124,SJS.VN
2025-06-20,100400.0,100400.0,100500.0,94000.0,94000.0,770488,SJS.VN
2025-06-23,99500.0,99500.0,106000.0,98000.0,106000.0,2481544,SJS.VN
2025-06-24,97200.0,97200.0,99800.0,97000.0,97100.0,406820,SJS.VN
2025-06-25,95800.0,95800.0,97100.0,95500.0,97100.0,22110,SJS.VN
2025-06-26,94800.0,94800.0,95500.0,94800.0,95400.0,133376,SJS.VN
2025-06-27,97000.0,97000.0,97000.0,95600.0,95600.0,103228,SJS.VN
2025-06-30,99000.0,99000.0,99800.0,97000.0,98000.0,44693,SJS.VN
2025-07-01,99000.0,99000.0,102400.0,99000.0,99000.0,347383,SJS.VN
2025-07-02,97500.0,97500.0,101500.0,97500.0,99500.0,105088,SJS.VN
2025-07-03,96600.0,96600.0,99000.0,96000.0,98000.0,108970,SJS.VN
2025-07-04,96200.0,96200.0,97600.0,96000.0,96600.0,109577,SJS.VN
2025-07-07,98700.0,98700.0,98700.0,96000.0,96300.0,3354675,SJS.VN
2025-07-08,99300.0,99300.0,101600.0,98000.0,101600.0,104330,SJS.VN
2025-07-09,101000.0,101000.0,103000.0,99300.0,99300.0,1064511,SJS.VN
2025-07-10,106000.0,106000.0,107900.0,101200.0,101300.0,818849,SJS.VN
2025-07-11,106900.0,106900.0,107000.0,104500.0,106000.0,16904,SJS.VN
2025-07-14,106900.0,106900.0,106900.0,104000.0,104000.0,1058789,SJS.VN
2025-07-15,108500.0,108500.0,111000.0,106000.0,106900.0,31935,SJS.VN
