Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,TCD.VN,TCD.VN,TCD.VN,TCD.VN,TCD.VN,TCD.VN,
2024-07-16,6050.0,6050.0,6150.0,6040.0,6090.0,650300,TCD.VN
2024-07-17,5930.0,5930.0,6100.0,5800.0,6050.0,1000100,TCD.VN
2024-07-18,5900.0,5900.0,6000.0,5800.0,6000.0,473300,TCD.VN
2024-07-19,5800.0,5800.0,5960.0,5750.0,5900.0,1037800,TCD.VN
2024-07-22,5690.0,5690.0,5880.0,5500.0,5800.0,511000,TCD.VN
2024-07-23,5570.0,5570.0,5700.0,5570.0,5700.0,419300,TCD.VN
2024-07-24,5650.0,5650.0,5690.0,5480.0,5570.0,766500,TCD.VN
2024-07-25,5540.0,5540.0,5640.0,5500.0,5560.0,626700,TCD.VN
2024-07-26,5600.0,5600.0,5610.0,5540.0,5550.0,220900,TCD.VN
2024-07-29,5580.0,5580.0,5670.0,5560.0,5640.0,368200,TCD.VN
2024-07-30,5530.0,5530.0,5600.0,5520.0,5580.0,519900,TCD.VN
2024-07-31,5530.0,5530.0,5600.0,5530.0,5560.0,422800,TCD.VN
2024-08-01,5390.0,5390.0,5550.0,5250.0,5530.0,561200,TCD.VN
2024-08-02,5370.0,5370.0,5560.0,5250.0,5560.0,271800,TCD.VN
2024-08-05,5000.0,5000.0,5350.0,5000.0,5300.0,964100,TCD.VN
2024-08-06,5000.0,5000.0,5080.0,4850.0,5000.0,843100,TCD.VN
2024-08-07,5030.0,5030.0,5080.0,4980.0,5080.0,218400,TCD.VN
2024-08-08,5100.0,5100.0,5200.0,4960.0,5020.0,489800,TCD.VN
2024-08-09,5110.0,5110.0,5200.0,5090.0,5100.0,349800,TCD.VN
2024-08-12,5120.0,5120.0,5170.0,5090.0,5110.0,268900,TCD.VN
2024-08-13,5030.0,5030.0,5140.0,5030.0,5130.0,340900,TCD.VN
2024-08-14,5040.0,5040.0,5140.0,5020.0,5140.0,304500,TCD.VN
2024-08-15,4990.0,4990.0,5050.0,4970.0,5050.0,448400,TCD.VN
2024-08-16,5200.0,5200.0,5250.0,5000.0,5000.0,769000,TCD.VN
2024-08-19,5160.0,5160.0,5270.0,5160.0,5270.0,285900,TCD.VN
2024-08-20,5200.0,5200.0,5300.0,5150.0,5160.0,704200,TCD.VN
2024-08-21,5240.0,5240.0,5290.0,5200.0,5260.0,578000,TCD.VN
2024-08-22,5160.0,5160.0,5230.0,5160.0,5210.0,14249200,TCD.VN
2024-08-23,5160.0,5160.0,5200.0,5140.0,5160.0,401300,TCD.VN
2024-08-26,5270.0,5270.0,5320.0,5200.0,5200.0,1073600,TCD.VN
2024-08-28,5190.0,5190.0,5260.0,5160.0,5210.0,386300,TCD.VN
2024-08-29,5170.0,5170.0,5210.0,5160.0,5190.0,602600,TCD.VN
2024-08-30,5100.0,5100.0,5230.0,5100.0,5170.0,1069000,TCD.VN
2024-09-04,5100.0,5100.0,5110.0,5010.0,5080.0,209900,TCD.VN
2024-09-05,5060.0,5060.0,5180.0,5040.0,5100.0,841200,TCD.VN
2024-09-06,5020.0,5020.0,5090.0,5000.0,5060.0,373000,TCD.VN
2024-09-09,5020.0,5020.0,5050.0,5000.0,5000.0,461900,TCD.VN
2024-09-10,5220.0,5220.0,5340.0,4970.0,5000.0,8074200,TCD.VN
2024-09-11,5160.0,5160.0,5280.0,5160.0,5210.0,470200,TCD.VN
2024-09-12,5500.0,5500.0,5500.0,5160.0,5170.0,2000100,TCD.VN
2024-09-13,5850.0,5850.0,5850.0,5410.0,5490.0,2534200,TCD.VN
2024-09-16,6000.0,6000.0,6000.0,5630.0,5800.0,2482900,TCD.VN
2024-09-17,5660.0,5660.0,5880.0,5650.0,5650.0,13099670,TCD.VN
2024-09-18,5500.0,5500.0,5700.0,5500.0,5650.0,2170300,TCD.VN
2024-09-19,5750.0,5750.0,5750.0,5500.0,5500.0,3398600,TCD.VN
2024-09-20,5590.0,5590.0,5900.0,5480.0,5800.0,6108700,TCD.VN
2024-09-23,5450.0,5450.0,5590.0,5390.0,5590.0,3413200,TCD.VN
2024-09-24,5280.0,5280.0,5450.0,5280.0,5420.0,3612700,TCD.VN
2024-09-25,5300.0,5300.0,5360.0,5290.0,5290.0,1247900,TCD.VN
2024-09-26,5230.0,5230.0,5370.0,5230.0,5330.0,1909500,TCD.VN
2024-09-27,5190.0,5190.0,5250.0,5170.0,5230.0,1562400,TCD.VN
2024-09-30,5180.0,5180.0,5250.0,5170.0,5190.0,739900,TCD.VN
2024-10-01,5240.0,5240.0,5260.0,5200.0,5200.0,808286,TCD.VN
2024-10-02,5170.0,5170.0,5240.0,5160.0,5240.0,907100,TCD.VN
2024-10-03,5090.0,5090.0,5190.0,5080.0,5150.0,1493400,TCD.VN
2024-10-04,5070.0,5070.0,5110.0,5060.0,5110.0,650100,TCD.VN
2024-10-07,5100.0,5100.0,5180.0,5050.0,5090.0,769800,TCD.VN
