Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,TDM.VN,TDM.VN,TDM.VN,TDM.VN,TDM.VN,TDM.VN,
2024-07-16,48508.88671875,49800.0,50000.0,49000.0,49000.0,56900,TDM.VN
2024-07-17,47729.62890625,49000.0,49000.0,49000.0,49000.0,1300,TDM.VN
2024-07-18,47729.62890625,49000.0,49000.0,48900.0,49000.0,4000,TDM.VN
2024-07-19,47145.18359375,48400.0,48400.0,48400.0,48400.0,1600,TDM.VN
2024-07-22,47145.18359375,48400.0,48900.0,48300.0,48400.0,1200,TDM.VN
2024-07-23,48703.703125,50000.0,50000.0,49800.0,50000.0,4415300,TDM.VN
2024-07-24,48703.703125,50000.0,50000.0,49900.0,50000.0,1028000,TDM.VN
2024-07-26,47534.8125,48800.0,50000.0,48500.0,49300.0,600,TDM.VN
2024-07-29,47486.109375,48750.0,48800.0,48500.0,48800.0,500400,TDM.VN
2024-07-30,47729.62890625,49000.0,49000.0,49000.0,49000.0,9000,TDM.VN
2024-07-31,47242.59375,48500.0,48600.0,48500.0,48600.0,1000,TDM.VN
2024-08-01,47340.0,48600.0,48650.0,48600.0,48650.0,4500,TDM.VN
2024-08-02,48703.703125,50000.0,50000.0,48750.0,48750.0,661700,TDM.VN
2024-08-05,48703.703125,50000.0,50000.0,49300.0,49300.0,800,TDM.VN
2024-08-06,48703.703125,50000.0,50000.0,49300.0,50000.0,15900,TDM.VN
2024-08-07,48703.703125,50000.0,50500.0,50000.0,50500.0,203700,TDM.VN
2024-08-08,48703.703125,50000.0,50800.0,50000.0,50800.0,1200,TDM.VN
2024-08-09,48703.703125,50000.0,50100.0,49200.0,50100.0,17400,TDM.VN
2024-08-12,48703.703125,50000.0,50300.0,50000.0,50300.0,400,TDM.VN
2024-08-13,48655.0,49950.0,50200.0,49000.0,50000.0,6000,TDM.VN
2024-08-14,47973.1484375,49250.0,49500.0,49000.0,49000.0,1600,TDM.VN
2024-08-15,47973.1484375,49250.0,49250.0,49100.0,49100.0,1200,TDM.VN
2024-08-16,47729.62890625,49000.0,49250.0,48900.0,49250.0,1700,TDM.VN
2024-08-19,47729.62890625,49000.0,49000.0,48800.0,49000.0,29000,TDM.VN
2024-08-20,47680.92578125,48950.0,49150.0,48750.0,48750.0,1500,TDM.VN
2024-08-21,48557.59375,49850.0,52300.0,48700.0,48800.0,12900,TDM.VN
2024-08-22,48557.59375,49850.0,49850.0,48900.0,48900.0,200,TDM.VN
2024-08-23,47729.62890625,49000.0,49850.0,49000.0,49850.0,1500,TDM.VN
2024-08-26,47973.1484375,49250.0,49900.0,48600.0,49900.0,12800,TDM.VN
2024-08-28,47729.62890625,49000.0,49000.0,49000.0,49000.0,1400,TDM.VN
2024-08-29,47729.62890625,49000.0,49450.0,49000.0,49400.0,6400,TDM.VN
2024-08-30,49677.77734375,51000.0,51000.0,49000.0,49000.0,10900,TDM.VN
2024-09-04,49385.5546875,50700.0,51000.0,49000.0,51000.0,1400,TDM.VN
2024-09-05,48314.07421875,49600.0,49600.0,49600.0,49600.0,20400,TDM.VN
2024-09-06,47924.4453125,49200.0,49600.0,49200.0,49200.0,1800,TDM.VN
2024-09-09,47924.4453125,49200.0,49200.0,49200.0,49200.0,100,TDM.VN
2024-09-10,47193.88671875,48450.0,49200.0,48000.0,49200.0,113000,TDM.VN
2024-09-11,47729.62890625,49000.0,49000.0,48100.0,48100.0,53400,TDM.VN
2024-09-13,47924.4453125,49200.0,49200.0,49200.0,49200.0,1300,TDM.VN
2024-09-16,47924.4453125,49200.0,49200.0,49200.0,49200.0,400,TDM.VN
2024-09-17,47729.62890625,49000.0,49500.0,49000.0,49500.0,25400,TDM.VN
2024-09-18,47729.62890625,49000.0,49000.0,49000.0,49000.0,400,TDM.VN
2024-09-19,47145.18359375,48400.0,49000.0,48300.0,49000.0,4000,TDM.VN
2024-09-20,47729.62890625,49000.0,49000.0,49000.0,49000.0,2900,TDM.VN
2024-09-23,47437.40625,48700.0,49000.0,48700.0,49000.0,4300,TDM.VN
2024-09-24,47729.62890625,49000.0,49000.0,48700.0,48700.0,400,TDM.VN
2024-09-25,48119.2578125,49400.0,49450.0,49000.0,49000.0,5000,TDM.VN
