Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,TMT.VN,TMT.VN,TMT.VN,TMT.VN,TMT.VN,TMT.VN,
2024-07-16,11700.0,11700.0,11700.0,11500.0,11500.0,3200,TMT.VN
2024-07-17,11350.0,11350.0,11550.0,11300.0,11550.0,6200,TMT.VN
2024-07-18,11500.0,11500.0,11500.0,10800.0,11300.0,5200,TMT.VN
2024-07-19,11250.0,11250.0,11450.0,10700.0,11450.0,7500,TMT.VN
2024-07-22,10500.0,10500.0,10650.0,10500.0,10650.0,23200,TMT.VN
2024-07-23,10100.0,10100.0,10500.0,9770.0,10500.0,38300,TMT.VN
2024-07-24,10200.0,10200.0,10200.0,10000.0,10100.0,12800,TMT.VN
2024-07-25,10100.0,10100.0,10200.0,10000.0,10200.0,4000,TMT.VN
2024-07-26,10150.0,10150.0,10150.0,10000.0,10150.0,8000,TMT.VN
2024-07-29,10400.0,10400.0,10400.0,10150.0,10150.0,4600,TMT.VN
2024-07-30,10250.0,10250.0,10350.0,10050.0,10350.0,6400,TMT.VN
2024-07-31,9540.0,9540.0,10100.0,9540.0,10100.0,48100,TMT.VN
2024-08-01,9790.0,9790.0,9790.0,9300.0,9540.0,4500,TMT.VN
2024-08-02,9720.0,9720.0,9790.0,9210.0,9790.0,9600,TMT.VN
2024-08-05,9040.0,9040.0,9780.0,9040.0,9780.0,13700,TMT.VN
2024-08-06,8410.0,8410.0,9020.0,8410.0,9020.0,17900,TMT.VN
2024-08-07,7830.0,7830.0,8410.0,7830.0,8410.0,46600,TMT.VN
2024-08-08,7290.0,7290.0,7840.0,7290.0,7840.0,49400,TMT.VN
2024-08-09,7800.0,7800.0,7800.0,6880.0,7000.0,24500,TMT.VN
2024-08-12,8140.0,8140.0,8270.0,7700.0,7810.0,11400,TMT.VN
2024-08-13,7580.0,7580.0,8130.0,7580.0,8130.0,44500,TMT.VN
2024-08-14,7730.0,7730.0,7980.0,7100.0,7900.0,6600,TMT.VN
2024-08-15,7190.0,7190.0,7880.0,7190.0,7720.0,82400,TMT.VN
2024-08-16,7530.0,7530.0,7580.0,7210.0,7580.0,28100,TMT.VN
2024-08-19,7760.0,7760.0,7990.0,7420.0,7530.0,42600,TMT.VN
2024-08-20,7770.0,7770.0,7910.0,7600.0,7760.0,17400,TMT.VN
2024-08-21,7550.0,7550.0,7720.0,7500.0,7720.0,72700,TMT.VN
2024-08-22,7700.0,7700.0,7750.0,7560.0,7750.0,21100,TMT.VN
2024-08-23,7600.0,7600.0,7660.0,7450.0,7650.0,42400,TMT.VN
2024-08-26,7540.0,7540.0,7560.0,7400.0,7560.0,11400,TMT.VN
2024-08-28,7360.0,7360.0,7550.0,7200.0,7550.0,23300,TMT.VN
2024-08-29,7310.0,7310.0,7360.0,7120.0,7360.0,8100,TMT.VN
2024-08-30,7110.0,7110.0,7290.0,7100.0,7200.0,57600,TMT.VN
2024-09-04,7380.0,7380.0,7600.0,6880.0,7110.0,58000,TMT.VN
2024-09-05,7390.0,7390.0,7590.0,7370.0,7380.0,12100,TMT.VN
2024-09-06,7250.0,7250.0,7390.0,7150.0,7390.0,13000,TMT.VN
2024-09-09,7020.0,7020.0,7530.0,7000.0,7100.0,54100,TMT.VN
2024-09-10,7000.0,7000.0,7350.0,6890.0,7340.0,60100,TMT.VN
2024-09-11,7080.0,7080.0,7190.0,6860.0,7000.0,15600,TMT.VN
2024-09-12,7000.0,7000.0,7000.0,6910.0,7000.0,11300,TMT.VN
2024-09-13,6950.0,6950.0,7380.0,6950.0,7380.0,26800,TMT.VN
2024-09-16,7230.0,7230.0,7380.0,6950.0,7000.0,21400,TMT.VN
2024-09-17,6970.0,6970.0,7210.0,6970.0,7210.0,2000,TMT.VN
2024-09-18,6930.0,6930.0,7130.0,6920.0,6970.0,15700,TMT.VN
2024-09-19,6880.0,6880.0,7150.0,6880.0,6930.0,33600,TMT.VN
2024-09-20,7040.0,7040.0,7140.0,6880.0,6880.0,5900,TMT.VN
2024-09-23,6990.0,6990.0,7260.0,6900.0,7030.0,12500,TMT.VN
2024-09-24,6930.0,6930.0,6930.0,6870.0,6900.0,6200,TMT.VN
2024-09-25,6870.0,6870.0,6990.0,6850.0,6990.0,27300,TMT.VN
2024-09-26,6910.0,6910.0,7000.0,6850.0,6870.0,52000,TMT.VN
2024-09-27,6910.0,6910.0,7000.0,6800.0,6910.0,38000,TMT.VN
2024-09-30,6800.0,6800.0,6910.0,6750.0,6910.0,26500,TMT.VN
2024-10-01,6960.0,6960.0,7080.0,6800.0,6800.0,19700,TMT.VN
2024-10-02,6840.0,6840.0,7100.0,6840.0,7000.0,12000,TMT.VN
2024-10-03,6800.0,6800.0,6990.0,6800.0,6990.0,33400,TMT.VN
2024-10-04,6800.0,6800.0,6800.0,6800.0,6800.0,2200,TMT.VN
2024-10-07,6840.0,6840.0,6880.0,6700.0,6800.0,17500,TMT.VN
2024-10-08,6730.0,6730.0,6830.0,6700.0,6830.0,5900,TMT.VN
2024-10-09,6770.0,6770.0,6800.0,6530.0,6700.0,28400,TMT.VN
2024-10-10,6630.0,6630.0,6770.0,6600.0,6610.0,6200,TMT.VN
2024-10-11,6570.0,6570.0,6630.0,6540.0,6620.0,9300,TMT.VN
2024-10-14,7020.0,7020.0,7020.0,6440.0,6580.0,49600,TMT.VN
2024-10-15,7000.0,7000.0,7150.0,6900.0,7050.0,29900,TMT.VN
2024-10-16,6850.0,6850.0,7000.0,6850.0,6990.0,9800,TMT.VN
2024-10-17,6980.0,6980.0,6980.0,6700.0,6700.0,1200,TMT.VN
2024-10-18,7060.0,7060.0,7110.0,6850.0,7110.0,1200,TMT.VN
2024-10-21,6780.0,6780.0,7060.0,6750.0,7060.0,6800,TMT.VN
2024-10-22,6840.0,6840.0,6840.0,6770.0,6780.0,4700,TMT.VN
2024-10-23,6900.0,6900.0,6940.0,6770.0,6940.0,4300,TMT.VN
2024-10-24,6790.0,6790.0,6900.0,6760.0,6800.0,1000,TMT.VN
2024-10-25,6930.0,6930.0,6950.0,6760.0,6810.0,1700,TMT.VN
2024-10-28,6910.0,6910.0,6910.0,6510.0,6510.0,4000,TMT.VN
2024-10-29,6900.0,6900.0,7040.0,6850.0,7000.0,15600,TMT.VN
2024-10-31,6470.0,6470.0,6880.0,6470.0,6850.0,148400,TMT.VN
2024-11-01,6490.0,6490.0,6900.0,6400.0,6470.0,16000,TMT.VN
2024-11-04,6940.0,6940.0,6940.0,6730.0,6940.0,177500,TMT.VN
2024-11-06,7730.0,7730.0,7930.0,7520.0,7930.0,171000,TMT.VN
2024-11-07,7500.0,7500.0,7550.0,7400.0,7510.0,38100,TMT.VN
2024-11-08,7460.0,7460.0,7690.0,7280.0,7690.0,22200,TMT.VN
2024-11-11,7200.0,7200.0,7210.0,6940.0,7210.0,66100,TMT.VN
2024-11-12,7080.0,7080.0,7330.0,6900.0,7330.0,10800,TMT.VN
2024-11-13,6710.0,6710.0,7000.0,6700.0,6700.0,14300,TMT.VN
2024-11-14,6800.0,6800.0,6950.0,6700.0,6750.0,30500,TMT.VN
2024-11-15,6790.0,6790.0,6890.0,6470.0,6890.0,7500,TMT.VN
2024-11-18,6600.0,6600.0,6660.0,6500.0,6660.0,20900,TMT.VN
2024-11-19,6700.0,6700.0,7050.0,6700.0,7050.0,6200,TMT.VN
2024-11-20,6700.0,6700.0,6700.0,6670.0,6700.0,9000,TMT.VN
2024-11-21,6950.0,6950.0,6950.0,6600.0,6690.0,23500,TMT.VN
2024-11-22,7000.0,7000.0,7190.0,6950.0,6950.0,3000,TMT.VN
2024-11-25,6950.0,6950.0,7200.0,6730.0,7000.0,31100,TMT.VN
2024-11-26,7100.0,7100.0,7100.0,6860.0,6950.0,46700,TMT.VN
2024-11-27,6950.0,6950.0,7190.0,6910.0,7190.0,4100,TMT.VN
2024-11-28,6800.0,6800.0,7090.0,6520.0,7040.0,34600,TMT.VN
2024-11-29,6900.0,6900.0,6950.0,6750.0,6800.0,7400,TMT.VN
2024-12-02,6750.0,6750.0,7000.0,6720.0,6910.0,11100,TMT.VN
2024-12-03,7200.0,7200.0,7220.0,6760.0,6760.0,68500,TMT.VN
2024-12-04,7000.0,7000.0,7300.0,6950.0,7300.0,19900,TMT.VN
2024-12-05,7040.0,7040.0,7050.0,6960.0,6960.0,20200,TMT.VN
2024-12-06,7040.0,7040.0,7200.0,7000.0,7100.0,31800,TMT.VN
2024-12-09,7050.0,7050.0,7090.0,7000.0,7040.0,4900,TMT.VN
2024-12-10,7300.0,7300.0,7400.0,6940.0,7050.0,12100,TMT.VN
2024-12-11,7200.0,7200.0,7300.0,7010.0,7300.0,7700,TMT.VN
2024-12-12,7200.0,7200.0,7300.0,7100.0,7300.0,25200,TMT.VN
2024-12-13,7200.0,7200.0,7250.0,7010.0,7250.0,1600,TMT.VN
