Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,TNI.VN,TNI.VN,TNI.VN,TNI.VN,TNI.VN,TNI.VN,
2024-07-16,2600.0,2600.0,2650.0,2600.0,2640.0,102800,TNI.VN
2024-07-17,2550.0,2550.0,2640.0,2520.0,2640.0,286200,TNI.VN
2024-07-18,2540.0,2540.0,2570.0,2540.0,2570.0,103900,TNI.VN
2024-07-19,2500.0,2500.0,2560.0,2500.0,2560.0,126600,TNI.VN
2024-07-22,2500.0,2500.0,2540.0,2460.0,2510.0,119000,TNI.VN
2024-07-23,2450.0,2450.0,2540.0,2450.0,2540.0,83600,TNI.VN
2024-07-24,2470.0,2470.0,2480.0,2410.0,2450.0,78000,TNI.VN
2024-07-25,2480.0,2480.0,2520.0,2450.0,2500.0,54500,TNI.VN
2024-07-26,2480.0,2480.0,2500.0,2450.0,2500.0,20600,TNI.VN
2024-07-29,2480.0,2480.0,2500.0,2450.0,2460.0,54900,TNI.VN
2024-07-30,2490.0,2490.0,2490.0,2460.0,2480.0,54800,TNI.VN
2024-07-31,2500.0,2500.0,2570.0,2500.0,2550.0,78900,TNI.VN
2024-08-01,2460.0,2460.0,2580.0,2450.0,2580.0,83400,TNI.VN
2024-08-02,2450.0,2450.0,2500.0,2390.0,2500.0,148900,TNI.VN
2024-08-05,2340.0,2340.0,2450.0,2340.0,2450.0,362600,TNI.VN
2024-08-06,2400.0,2400.0,2420.0,2330.0,2420.0,32400,TNI.VN
2024-08-07,2380.0,2380.0,2460.0,2360.0,2460.0,163900,TNI.VN
2024-08-08,2390.0,2390.0,2450.0,2350.0,2450.0,90600,TNI.VN
2024-08-09,2400.0,2400.0,2420.0,2380.0,2380.0,79400,TNI.VN
2024-08-12,2410.0,2410.0,2410.0,2390.0,2400.0,25000,TNI.VN
2024-08-13,2390.0,2390.0,2430.0,2380.0,2410.0,58000,TNI.VN
2024-08-14,2390.0,2390.0,2400.0,2380.0,2400.0,71800,TNI.VN
2024-08-15,2370.0,2370.0,2400.0,2250.0,2400.0,49700,TNI.VN
2024-08-16,2390.0,2390.0,2410.0,2270.0,2270.0,119400,TNI.VN
2024-08-19,2410.0,2410.0,2420.0,2380.0,2390.0,83400,TNI.VN
2024-08-20,2420.0,2420.0,2430.0,2400.0,2400.0,124900,TNI.VN
2024-08-21,2400.0,2400.0,2420.0,2390.0,2410.0,92700,TNI.VN
2024-08-22,2400.0,2400.0,2410.0,2380.0,2400.0,40700,TNI.VN
2024-08-23,2390.0,2390.0,2410.0,2370.0,2410.0,43700,TNI.VN
2024-08-26,2390.0,2390.0,2410.0,2390.0,2390.0,89600,TNI.VN
