Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,TNT.VN,TNT.VN,TNT.VN,TNT.VN,TNT.VN,TNT.VN,
2024-07-16,4940.0,4940.0,4940.0,4880.0,4940.0,104500,TNT.VN
2024-07-17,4870.0,4870.0,4960.0,4800.0,4960.0,95400,TNT.VN
2024-07-18,4870.0,4870.0,4870.0,4720.0,4720.0,137700,TNT.VN
2024-07-19,4800.0,4800.0,4870.0,4730.0,4790.0,75200,TNT.VN
2024-07-22,4760.0,4760.0,4800.0,4630.0,4800.0,123800,TNT.VN
2024-07-23,4710.0,4710.0,4790.0,4600.0,4790.0,61200,TNT.VN
2024-07-24,4630.0,4630.0,4710.0,4410.0,4710.0,83200,TNT.VN
2024-07-25,4520.0,4520.0,4630.0,4460.0,4480.0,138600,TNT.VN
2024-07-26,4540.0,4540.0,4580.0,4480.0,4520.0,117100,TNT.VN
2024-07-29,4490.0,4490.0,4580.0,4460.0,4570.0,397000,TNT.VN
2024-07-30,4520.0,4520.0,4540.0,4450.0,4480.0,73300,TNT.VN
2024-07-31,4440.0,4440.0,4520.0,4400.0,4520.0,140000,TNT.VN
2024-08-01,4130.0,4130.0,4490.0,4130.0,4490.0,302900,TNT.VN
2024-08-02,4260.0,4260.0,4260.0,3960.0,4130.0,664600,TNT.VN
2024-08-05,3970.0,3970.0,4230.0,3970.0,4230.0,1285000,TNT.VN
2024-08-06,4140.0,4140.0,4190.0,3900.0,3900.0,177300,TNT.VN
2024-08-07,4140.0,4140.0,4160.0,4020.0,4140.0,20600,TNT.VN
2024-08-08,4120.0,4120.0,4140.0,4060.0,4060.0,525600,TNT.VN
2024-08-09,4120.0,4120.0,4140.0,4060.0,4120.0,37300,TNT.VN
2024-08-12,4110.0,4110.0,4120.0,4080.0,4120.0,26100,TNT.VN
2024-08-13,4010.0,4010.0,4130.0,4010.0,4110.0,49000,TNT.VN
2024-08-14,4110.0,4110.0,4190.0,4060.0,4060.0,840700,TNT.VN
2024-08-15,4050.0,4050.0,4110.0,4040.0,4110.0,354200,TNT.VN
2024-08-16,4180.0,4180.0,4190.0,4050.0,4050.0,194700,TNT.VN
2024-08-19,4270.0,4270.0,4290.0,4180.0,4180.0,102500,TNT.VN
2024-08-20,4270.0,4270.0,4300.0,4200.0,4300.0,110600,TNT.VN
2024-08-21,4340.0,4340.0,4340.0,4270.0,4300.0,69300,TNT.VN
2024-08-22,4350.0,4350.0,4380.0,4300.0,4380.0,44400,TNT.VN
2024-08-23,4350.0,4350.0,4350.0,4210.0,4350.0,63000,TNT.VN
2024-08-26,4370.0,4370.0,4370.0,4290.0,4350.0,44800,TNT.VN
2024-08-28,4380.0,4380.0,4380.0,4280.0,4380.0,67700,TNT.VN
2024-08-29,4400.0,4400.0,4470.0,4380.0,4380.0,23800,TNT.VN
2024-08-30,4420.0,4420.0,4420.0,4300.0,4400.0,77100,TNT.VN
2024-09-04,4400.0,4400.0,4430.0,4320.0,4430.0,216200,TNT.VN
2024-09-05,4400.0,4400.0,4400.0,4350.0,4400.0,9400,TNT.VN
2024-09-06,4390.0,4390.0,4400.0,4280.0,4280.0,84600,TNT.VN
2024-09-09,4380.0,4380.0,4380.0,4260.0,4270.0,541400,TNT.VN
2024-09-10,4340.0,4340.0,4340.0,4080.0,4300.0,128200,TNT.VN
2024-09-11,4290.0,4290.0,4300.0,4150.0,4150.0,28800,TNT.VN
2024-09-12,4260.0,4260.0,4330.0,4200.0,4330.0,68200,TNT.VN
2024-09-13,4250.0,4250.0,4250.0,4180.0,4210.0,49400,TNT.VN
2024-09-16,4190.0,4190.0,4260.0,4180.0,4250.0,67100,TNT.VN
2024-09-17,4190.0,4190.0,4230.0,4100.0,4200.0,133300,TNT.VN
2024-09-18,4190.0,4190.0,4280.0,4150.0,4190.0,40300,TNT.VN
2024-09-19,4160.0,4160.0,4190.0,4150.0,4190.0,47800,TNT.VN
2024-09-20,4220.0,4220.0,4240.0,4160.0,4160.0,101200,TNT.VN
2024-09-23,4200.0,4200.0,4230.0,4160.0,4220.0,162100,TNT.VN
2024-09-24,4200.0,4200.0,4200.0,4130.0,4180.0,116600,TNT.VN
2024-09-25,4190.0,4190.0,4220.0,4150.0,4200.0,105600,TNT.VN
2024-09-26,4130.0,4130.0,4210.0,4130.0,4200.0,84900,TNT.VN
2024-09-27,4110.0,4110.0,4190.0,4100.0,4160.0,132400,TNT.VN
2024-09-30,4110.0,4110.0,4150.0,4100.0,4110.0,54900,TNT.VN
2024-10-01,4180.0,4180.0,4200.0,4090.0,4150.0,161100,TNT.VN
2024-10-02,4180.0,4180.0,4180.0,4130.0,4180.0,519400,TNT.VN
2024-10-03,4110.0,4110.0,4170.0,4110.0,4170.0,52500,TNT.VN
2024-10-04,4130.0,4130.0,4130.0,4090.0,4090.0,33300,TNT.VN
2024-10-07,4130.0,4130.0,4200.0,4080.0,4200.0,40100,TNT.VN
2024-10-08,4150.0,4150.0,4150.0,4090.0,4130.0,38800,TNT.VN
2024-10-09,4140.0,4140.0,4150.0,4090.0,4150.0,12600,TNT.VN
2024-10-10,4090.0,4090.0,4170.0,4000.0,4050.0,126600,TNT.VN
2024-10-11,4050.0,4050.0,4090.0,3990.0,4080.0,124400,TNT.VN
2024-10-14,4030.0,4030.0,4080.0,3980.0,4050.0,125100,TNT.VN
2024-10-15,4030.0,4030.0,4050.0,3960.0,4050.0,56300,TNT.VN
2024-10-16,3970.0,3970.0,4000.0,3920.0,3960.0,48200,TNT.VN
2024-10-17,4020.0,4020.0,4050.0,3950.0,4050.0,50100,TNT.VN
2024-10-18,4020.0,4020.0,4060.0,3950.0,4040.0,141800,TNT.VN
2024-10-21,4040.0,4040.0,4060.0,3980.0,4020.0,46600,TNT.VN
2024-10-22,4050.0,4050.0,4050.0,3990.0,4040.0,481900,TNT.VN
2024-10-23,4150.0,4150.0,4160.0,4020.0,4060.0,413800,TNT.VN
2024-10-24,4180.0,4180.0,4250.0,4120.0,4150.0,480400,TNT.VN
2024-10-25,4210.0,4210.0,4250.0,4160.0,4250.0,154400,TNT.VN
2024-10-28,4220.0,4220.0,4220.0,4080.0,4190.0,86900,TNT.VN
2024-10-29,4240.0,4240.0,4260.0,4200.0,4240.0,202200,TNT.VN
2024-10-31,4630.0,4630.0,4800.0,4540.0,4800.0,118900,TNT.VN
2024-11-01,4520.0,4520.0,4620.0,4450.0,4610.0,208600,TNT.VN
2024-11-04,4400.0,4400.0,4540.0,4390.0,4470.0,81100,TNT.VN
2024-11-06,4560.0,4560.0,4590.0,4480.0,4510.0,141500,TNT.VN
2024-11-07,4550.0,4550.0,4560.0,4510.0,4560.0,40500,TNT.VN
2024-11-08,4480.0,4480.0,4550.0,4300.0,4550.0,48200,TNT.VN
2024-11-11,4320.0,4320.0,4470.0,4270.0,4270.0,24800,TNT.VN
2024-11-12,4370.0,4370.0,4450.0,4300.0,4320.0,58000,TNT.VN
2024-11-13,4460.0,4460.0,4470.0,4200.0,4360.0,51300,TNT.VN
2024-11-14,4330.0,4330.0,4490.0,4330.0,4460.0,395300,TNT.VN
2024-11-15,4300.0,4300.0,4380.0,4220.0,4380.0,15800,TNT.VN
2024-11-18,4310.0,4310.0,4320.0,4180.0,4300.0,47700,TNT.VN
2024-11-19,4320.0,4320.0,4350.0,4290.0,4310.0,61700,TNT.VN
2024-11-20,4320.0,4320.0,4360.0,4220.0,4360.0,21300,TNT.VN
2024-11-21,4050.0,4050.0,4350.0,4050.0,4350.0,177600,TNT.VN
2024-11-22,4040.0,4040.0,4150.0,3970.0,4050.0,323700,TNT.VN
2024-11-25,4080.0,4080.0,4100.0,4020.0,4040.0,31400,TNT.VN
2024-11-26,4150.0,4150.0,4190.0,4050.0,4050.0,61400,TNT.VN
2024-11-27,4140.0,4140.0,4150.0,4070.0,4150.0,13300,TNT.VN
2024-11-28,4130.0,4130.0,4150.0,4080.0,4150.0,49900,TNT.VN
2024-11-29,3900.0,3900.0,4130.0,3900.0,4130.0,66800,TNT.VN
2024-12-02,4070.0,4070.0,4100.0,3960.0,3960.0,933400,TNT.VN
2024-12-03,4040.0,4040.0,4100.0,4020.0,4100.0,38900,TNT.VN
2024-12-04,4050.0,4050.0,4070.0,4000.0,4040.0,78500,TNT.VN
2024-12-05,4100.0,4100.0,4100.0,4000.0,4070.0,46400,TNT.VN
2024-12-06,4250.0,4250.0,4300.0,4110.0,4110.0,52700,TNT.VN
2024-12-09,4190.0,4190.0,4290.0,4180.0,4260.0,45200,TNT.VN
2024-12-10,4410.0,4410.0,4480.0,4160.0,4200.0,2435900,TNT.VN
2024-12-11,4380.0,4380.0,4420.0,4300.0,4420.0,32900,TNT.VN
2024-12-12,4240.0,4240.0,4410.0,4220.0,4400.0,107900,TNT.VN
2024-12-13,4250.0,4250.0,4330.0,4250.0,4260.0,50400,TNT.VN
2024-12-16,4310.0,4310.0,4320.0,4250.0,4320.0,104100,TNT.VN
2024-12-17,4270.0,4270.0,4310.0,4100.0,4310.0,35800,TNT.VN
2024-12-18,4290.0,4290.0,4290.0,4170.0,4290.0,695900,TNT.VN
2024-12-19,4220.0,4220.0,4240.0,4180.0,4220.0,1561000,TNT.VN
2024-12-20,4260.0,4260.0,4350.0,4210.0,4240.0,54800,TNT.VN
2024-12-23,4290.0,4290.0,4350.0,4260.0,4260.0,55000,TNT.VN
2024-12-24,4190.0,4190.0,4250.0,4190.0,4200.0,124900,TNT.VN
2024-12-25,4280.0,4280.0,4300.0,4190.0,4190.0,94600,TNT.VN
2024-12-26,4250.0,4250.0,4300.0,4180.0,4230.0,60800,TNT.VN
2024-12-27,4330.0,4330.0,4350.0,4270.0,4270.0,160300,TNT.VN
2024-12-30,4400.0,4400.0,4450.0,4220.0,4400.0,106100,TNT.VN
2024-12-31,4310.0,4310.0,4400.0,4300.0,4390.0,67400,TNT.VN
2025-01-02,4250.0,4250.0,4310.0,4240.0,4300.0,46100,TNT.VN
2025-01-03,4330.0,4330.0,4340.0,4250.0,4340.0,58200,TNT.VN
2025-01-06,4300.0,4300.0,4350.0,4250.0,4330.0,46100,TNT.VN
2025-01-07,4280.0,4280.0,4300.0,4200.0,4270.0,26300,TNT.VN
2025-01-08,4280.0,4280.0,4300.0,4230.0,4300.0,7400,TNT.VN
2025-01-09,4270.0,4270.0,4360.0,4240.0,4360.0,10200,TNT.VN
2025-01-10,4300.0,4300.0,4300.0,4220.0,4250.0,14500,TNT.VN
2025-01-13,4260.0,4260.0,4290.0,4130.0,4290.0,32300,TNT.VN
2025-01-14,4250.0,4250.0,4290.0,4150.0,4290.0,67200,TNT.VN
2025-01-15,4200.0,4200.0,4300.0,4200.0,4250.0,12800,TNT.VN
2025-01-16,4250.0,4250.0,4300.0,4210.0,4300.0,14500,TNT.VN
2025-01-17,4160.0,4160.0,4210.0,4160.0,4210.0,40400,TNT.VN
2025-01-20,4230.0,4230.0,4290.0,4160.0,4160.0,120600,TNT.VN
2025-01-21,4230.0,4230.0,4230.0,4160.0,4230.0,40200,TNT.VN
2025-01-22,4190.0,4190.0,4270.0,4180.0,4190.0,68400,TNT.VN
2025-01-23,4350.0,4350.0,4380.0,4210.0,4250.0,24200,TNT.VN
2025-01-24,4340.0,4340.0,4450.0,4200.0,4450.0,25200,TNT.VN
2025-02-03,4640.0,4640.0,4640.0,4310.0,4520.0,519200,TNT.VN
2025-02-04,4740.0,4740.0,4950.0,4640.0,4710.0,343600,TNT.VN
2025-02-05,4620.0,4620.0,4890.0,4600.0,4870.0,185400,TNT.VN
2025-02-06,4940.0,4940.0,4940.0,4590.0,4770.0,577300,TNT.VN
2025-02-07,5060.0,5060.0,5150.0,5000.0,5100.0,277600,TNT.VN
2025-02-10,4900.0,4900.0,5140.0,4900.0,5040.0,208500,TNT.VN
2025-02-11,5210.0,5210.0,5240.0,4910.0,5000.0,786200,TNT.VN
2025-02-12,5090.0,5090.0,5230.0,5080.0,5210.0,94900,TNT.VN
2025-02-13,5200.0,5200.0,5300.0,5100.0,5100.0,115500,TNT.VN
2025-02-14,5250.0,5250.0,5260.0,5150.0,5200.0,314500,TNT.VN
2025-02-17,5250.0,5250.0,5320.0,5240.0,5320.0,436700,TNT.VN
2025-02-18,5290.0,5290.0,5300.0,5150.0,5250.0,222800,TNT.VN
2025-02-19,5100.0,5100.0,5290.0,5100.0,5220.0,344600,TNT.VN
2025-02-20,5100.0,5100.0,5140.0,5000.0,5060.0,218400,TNT.VN
2025-02-21,5100.0,5100.0,5200.0,4930.0,5200.0,107300,TNT.VN
2025-02-24,4940.0,4940.0,5200.0,4920.0,4920.0,233200,TNT.VN
2025-02-25,5160.0,5160.0,5210.0,5080.0,5140.0,287600,TNT.VN
2025-02-26,5100.0,5100.0,5160.0,4940.0,5160.0,62500,TNT.VN
2025-02-27,5180.0,5180.0,5300.0,4930.0,4930.0,176000,TNT.VN
2025-02-28,5150.0,5150.0,5220.0,5060.0,5160.0,118000,TNT.VN
2025-03-03,5010.0,5010.0,5200.0,5010.0,5150.0,861000,TNT.VN
2025-03-04,5030.0,5030.0,5140.0,4810.0,5140.0,284300,TNT.VN
2025-03-05,5030.0,5030.0,5210.0,5000.0,5000.0,205000,TNT.VN
2025-03-06,4950.0,4950.0,5060.0,4950.0,5030.0,39400,TNT.VN
2025-03-07,5030.0,5030.0,5090.0,4900.0,5090.0,105800,TNT.VN
2025-03-10,5080.0,5080.0,5100.0,5010.0,5090.0,45100,TNT.VN
2025-03-11,5080.0,5080.0,5080.0,4960.0,4960.0,83000,TNT.VN
2025-03-12,5110.0,5110.0,5110.0,5010.0,5080.0,519700,TNT.VN
2025-03-13,5100.0,5100.0,5120.0,5010.0,5060.0,226800,TNT.VN
2025-03-14,5090.0,5090.0,5150.0,5000.0,5100.0,24900,TNT.VN
2025-03-17,5090.0,5090.0,5100.0,4990.0,5100.0,765500,TNT.VN
2025-03-18,5080.0,5080.0,5090.0,4970.0,5090.0,45400,TNT.VN
2025-03-19,5060.0,5060.0,5080.0,4950.0,5080.0,86300,TNT.VN
2025-03-20,5050.0,5050.0,5060.0,5000.0,5060.0,664600,TNT.VN
2025-03-21,5000.0,5000.0,5020.0,4810.0,5020.0,54600,TNT.VN
2025-03-24,4920.0,4920.0,5000.0,4850.0,4900.0,16600,TNT.VN
2025-03-25,4900.0,4900.0,5050.0,4800.0,4930.0,131200,TNT.VN
2025-03-26,4890.0,4890.0,5040.0,4790.0,5030.0,103800,TNT.VN
2025-03-27,4900.0,4900.0,5010.0,4810.0,4980.0,862100,TNT.VN
2025-03-28,4940.0,4940.0,5000.0,4820.0,4950.0,327200,TNT.VN
2025-03-31,5280.0,5280.0,5280.0,5010.0,5010.0,2707700,TNT.VN
2025-04-01,5640.0,5640.0,5640.0,5060.0,5380.0,1102100,TNT.VN
2025-04-02,5600.0,5600.0,5900.0,5380.0,5850.0,308900,TNT.VN
2025-04-03,5210.0,5210.0,5550.0,5210.0,5360.0,1623400,TNT.VN
2025-04-04,5000.0,5000.0,5210.0,4850.0,4850.0,418500,TNT.VN
2025-04-08,4650.0,4650.0,4780.0,4650.0,4650.0,163200,TNT.VN
2025-04-09,4330.0,4330.0,4350.0,4330.0,4330.0,599100,TNT.VN
2025-04-10,4630.0,4630.0,4630.0,4630.0,4630.0,27700,TNT.VN
2025-04-11,4740.0,4740.0,4860.0,4430.0,4860.0,151300,TNT.VN
2025-04-14,4960.0,4960.0,4980.0,4500.0,4500.0,2207300,TNT.VN
2025-04-15,4860.0,4860.0,5070.0,4670.0,4960.0,149900,TNT.VN
2025-04-16,4870.0,4870.0,4870.0,4760.0,4800.0,53600,TNT.VN
2025-04-17,4850.0,4850.0,4850.0,4550.0,4760.0,69300,TNT.VN
2025-04-18,4800.0,4800.0,4860.0,4700.0,4700.0,56900,TNT.VN
2025-04-21,4780.0,4780.0,4800.0,4670.0,4680.0,64100,TNT.VN
2025-04-22,4690.0,4690.0,4780.0,4450.0,4780.0,390900,TNT.VN
2025-04-23,4730.0,4730.0,4760.0,4630.0,4700.0,11300,TNT.VN
2025-04-24,4610.0,4610.0,4730.0,4600.0,4730.0,2057400,TNT.VN
2025-04-25,4690.0,4690.0,4730.0,4610.0,4710.0,250100,TNT.VN
2025-04-28,4740.0,4740.0,4780.0,4690.0,4690.0,22600,TNT.VN
2025-04-29,4730.0,4730.0,4740.0,4610.0,4740.0,12900,TNT.VN
2025-05-05,4630.0,4630.0,4720.0,4600.0,4720.0,49712,TNT.VN
2025-05-06,4660.0,4660.0,4740.0,4630.0,4630.0,115130,TNT.VN
2025-05-07,4720.0,4720.0,4760.0,4700.0,4760.0,11600,TNT.VN
2025-05-08,4710.0,4710.0,4720.0,4640.0,4680.0,102301,TNT.VN
2025-05-09,4700.0,4700.0,4710.0,4690.0,4710.0,12900,TNT.VN
2025-05-12,4700.0,4700.0,4720.0,4520.0,4700.0,23760,TNT.VN
2025-05-13,4690.0,4690.0,4780.0,4640.0,4700.0,16700,TNT.VN
2025-05-14,4690.0,4690.0,4710.0,4650.0,4710.0,48371,TNT.VN
2025-05-15,4690.0,4690.0,4750.0,4550.0,4750.0,56400,TNT.VN
2025-05-16,4680.0,4680.0,4740.0,4550.0,4710.0,60011,TNT.VN
2025-05-19,4600.0,4600.0,4700.0,4560.0,4700.0,30927,TNT.VN
2025-05-20,4660.0,4660.0,4690.0,4600.0,4670.0,32206,TNT.VN
2025-05-21,4710.0,4710.0,4720.0,4610.0,4660.0,57367,TNT.VN
2025-05-22,4690.0,4690.0,4700.0,4610.0,4700.0,27101,TNT.VN
2025-05-23,4670.0,4670.0,4680.0,4650.0,4680.0,71500,TNT.VN
2025-05-26,4730.0,4730.0,4730.0,4600.0,4670.0,30301,TNT.VN
