Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,TVS.VN,TVS.VN,TVS.VN,TVS.VN,TVS.VN,TVS.VN,
2024-07-16,24750.0,24750.0,25400.0,23900.0,23900.0,1007500,TVS.VN
2024-07-17,23800.0,23800.0,25300.0,23100.0,24600.0,660700,TVS.VN
2024-07-18,24250.0,24250.0,24300.0,23600.0,23800.0,3412487,TVS.VN
2024-07-19,23650.0,23650.0,24400.0,23500.0,24300.0,603500,TVS.VN
2024-07-22,22000.0,22000.0,23500.0,22000.0,23200.0,1943300,TVS.VN
2024-07-23,20700.0,20700.0,22000.0,20700.0,21600.0,1383300,TVS.VN
2024-07-24,21200.0,21200.0,21300.0,20350.0,20400.0,457200,TVS.VN
2024-07-25,21150.0,21150.0,21400.0,20500.0,20500.0,195000,TVS.VN
2024-07-26,21300.0,21300.0,21350.0,20950.0,21200.0,247100,TVS.VN
2024-07-29,21100.0,21100.0,21600.0,20900.0,21300.0,356100,TVS.VN
2024-07-30,20950.0,20950.0,21100.0,20700.0,21100.0,164900,TVS.VN
2024-07-31,20500.0,20500.0,21050.0,20400.0,20950.0,293100,TVS.VN
2024-08-01,19550.0,19550.0,20850.0,19450.0,20650.0,1067900,TVS.VN
2024-08-02,20000.0,20000.0,20100.0,18650.0,18650.0,761100,TVS.VN
2024-08-05,18650.0,18650.0,19800.0,18600.0,19700.0,1390000,TVS.VN
2024-08-06,19500.0,19500.0,19500.0,18400.0,18700.0,1240300,TVS.VN
2024-08-07,19200.0,19200.0,20000.0,19050.0,20000.0,105700,TVS.VN
2024-08-08,19000.0,19000.0,19500.0,19000.0,19150.0,1193387,TVS.VN
2024-08-09,19700.0,19700.0,19900.0,19100.0,19250.0,160100,TVS.VN
2024-08-12,19700.0,19700.0,19800.0,19400.0,19700.0,80600,TVS.VN
2024-08-13,19200.0,19200.0,19700.0,19150.0,19700.0,116000,TVS.VN
2024-08-14,19300.0,19300.0,19650.0,19250.0,19550.0,117800,TVS.VN
2024-08-15,19150.0,19150.0,19300.0,19100.0,19100.0,67800,TVS.VN
2024-08-16,20100.0,20100.0,20150.0,19300.0,19750.0,458100,TVS.VN
2024-08-19,20000.0,20000.0,20300.0,19700.0,20300.0,128600,TVS.VN
2024-08-20,20350.0,20350.0,20500.0,19850.0,20000.0,569400,TVS.VN
2024-08-21,21450.0,21450.0,21500.0,20200.0,20700.0,553200,TVS.VN
2024-08-22,22050.0,22050.0,22300.0,21400.0,21450.0,414200,TVS.VN
2024-08-23,22250.0,22250.0,22300.0,21650.0,21800.0,361300,TVS.VN
2024-08-26,23000.0,23000.0,23250.0,22250.0,22600.0,849100,TVS.VN
2024-08-28,23300.0,23300.0,23500.0,22800.0,23300.0,282200,TVS.VN
2024-08-29,23500.0,23500.0,23600.0,22700.0,22700.0,420300,TVS.VN
2024-08-30,23500.0,23500.0,23500.0,23100.0,23450.0,392600,TVS.VN
2024-09-04,23450.0,23450.0,23500.0,22950.0,23200.0,405100,TVS.VN
2024-09-05,23450.0,23450.0,23450.0,22950.0,23450.0,586300,TVS.VN
2024-09-06,23600.0,23600.0,23600.0,23100.0,23450.0,533800,TVS.VN
2024-09-09,23500.0,23500.0,23600.0,23200.0,23200.0,228700,TVS.VN
2024-09-10,23300.0,23300.0,23550.0,23000.0,23250.0,423100,TVS.VN
2024-09-11,23300.0,23300.0,23500.0,22800.0,23050.0,402800,TVS.VN
2024-09-12,23300.0,23300.0,23550.0,23050.0,23300.0,308700,TVS.VN
2024-09-13,23500.0,23500.0,23900.0,23000.0,23300.0,202200,TVS.VN
2024-09-16,23200.0,23200.0,23500.0,23000.0,23350.0,157900,TVS.VN
2024-09-17,23800.0,23800.0,23800.0,22900.0,23200.0,758800,TVS.VN
2024-09-18,23950.0,23950.0,24100.0,23750.0,23950.0,791700,TVS.VN
2024-09-19,23750.0,23750.0,24000.0,23600.0,24000.0,662100,TVS.VN
2024-09-20,23450.0,23450.0,24000.0,23200.0,24000.0,434100,TVS.VN
2024-09-23,23150.0,23150.0,23450.0,22900.0,23450.0,206400,TVS.VN
2024-09-24,23150.0,23150.0,23150.0,22900.0,22900.0,51500,TVS.VN
2024-09-25,23500.0,23500.0,23600.0,23150.0,23400.0,423500,TVS.VN
2024-09-26,23400.0,23400.0,23700.0,22900.0,23400.0,367100,TVS.VN
2024-09-27,23300.0,23300.0,23500.0,23000.0,23000.0,92500,TVS.VN
2024-09-30,23000.0,23000.0,23400.0,22950.0,23000.0,296300,TVS.VN
2024-10-01,23250.0,23250.0,23500.0,22900.0,23000.0,277100,TVS.VN
2024-10-02,23050.0,23050.0,23250.0,23050.0,23250.0,51500,TVS.VN
2024-10-03,22900.0,22900.0,23200.0,22700.0,23200.0,164800,TVS.VN
2024-10-04,22550.0,22550.0,22900.0,22350.0,22800.0,273200,TVS.VN
2024-10-07,22850.0,22850.0,22850.0,22200.0,22400.0,160000,TVS.VN
2024-10-08,22500.0,22500.0,22950.0,22500.0,22700.0,39800,TVS.VN
