Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,TVT.VN,TVT.VN,TVT.VN,TVT.VN,TVT.VN,TVT.VN,
2024-07-16,15851.7734375,16900.0,16950.0,16850.0,16850.0,23000,TVT.VN
2024-07-17,15851.7734375,16900.0,16950.0,16000.0,16950.0,20200,TVT.VN
2024-07-18,15382.7861328125,16400.0,16400.0,16400.0,16400.0,100,TVT.VN
2024-07-19,15523.4814453125,16550.0,16550.0,16400.0,16500.0,10100,TVT.VN
2024-07-23,15195.1904296875,16200.0,16550.0,16100.0,16550.0,2300,TVT.VN
2024-07-24,15476.5830078125,16500.0,16500.0,16000.0,16000.0,1100,TVT.VN
2024-07-25,15476.5830078125,16500.0,16500.0,16500.0,16500.0,1000,TVT.VN
2024-07-26,15382.7861328125,16400.0,16400.0,16300.0,16400.0,11500,TVT.VN
2024-07-29,15757.9755859375,16800.0,16800.0,16450.0,16450.0,6000,TVT.VN
2024-07-30,15242.08984375,16250.0,16400.0,16250.0,16350.0,9500,TVT.VN
2024-07-31,15288.9873046875,16300.0,16500.0,16250.0,16500.0,1400,TVT.VN
2024-08-01,15195.1904296875,16200.0,16200.0,16200.0,16200.0,1300,TVT.VN
2024-08-02,15382.7861328125,16400.0,16400.0,15700.0,16100.0,1100,TVT.VN
2024-08-05,14351.0126953125,15300.0,15800.0,15300.0,15800.0,13800,TVT.VN
2024-08-06,15288.9873046875,16300.0,16300.0,15400.0,15400.0,4700,TVT.VN
2024-08-07,15195.1904296875,16200.0,16300.0,15700.0,16300.0,1900,TVT.VN
2024-08-08,15195.1904296875,16200.0,16550.0,16200.0,16200.0,5500,TVT.VN
2024-08-09,15195.1904296875,16200.0,16200.0,15600.0,16200.0,600,TVT.VN
2024-08-12,15335.88671875,16350.0,16350.0,16100.0,16200.0,9600,TVT.VN
2024-08-13,15335.88671875,16350.0,16350.0,16350.0,16350.0,400,TVT.VN
2024-08-14,15007.595703125,16000.0,16000.0,15550.0,15550.0,200,TVT.VN
2024-08-15,15288.9873046875,16300.0,16300.0,16300.0,16300.0,25000,TVT.VN
2024-08-16,15288.9873046875,16300.0,16300.0,15750.0,15750.0,5100,TVT.VN
2024-08-19,15288.9873046875,16300.0,16300.0,15500.0,16000.0,27300,TVT.VN
2024-08-20,15288.9873046875,16300.0,16300.0,16000.0,16300.0,10400,TVT.VN
2024-08-21,15242.08984375,16250.0,16300.0,15650.0,16300.0,10900,TVT.VN
2024-08-22,15148.2919921875,16150.0,16250.0,16050.0,16250.0,3500,TVT.VN
2024-08-23,15242.08984375,16250.0,16350.0,16150.0,16350.0,1000,TVT.VN
2024-08-26,15054.494140625,16050.0,16100.0,15600.0,16100.0,1400,TVT.VN
2024-08-28,15242.08984375,16250.0,16250.0,15850.0,15850.0,3400,TVT.VN
2024-08-29,15101.3935546875,16100.0,16100.0,16100.0,16100.0,400,TVT.VN
2024-08-30,15148.2919921875,16150.0,16200.0,15850.0,16200.0,900,TVT.VN
2024-09-04,15148.2919921875,16150.0,16150.0,15950.0,15950.0,600,TVT.VN
2024-09-05,15148.2919921875,16150.0,16150.0,16000.0,16000.0,600,TVT.VN
2024-09-06,15007.595703125,16000.0,16100.0,16000.0,16100.0,400,TVT.VN
2024-09-09,15101.3935546875,16100.0,16100.0,16100.0,16100.0,200,TVT.VN
2024-09-10,14632.40625,15600.0,15700.0,15600.0,15700.0,600,TVT.VN
2024-09-11,15007.595703125,16000.0,16000.0,15600.0,16000.0,4700,TVT.VN
2024-09-12,15007.595703125,16000.0,16000.0,15350.0,15350.0,1700,TVT.VN
2024-09-13,15101.3935546875,16100.0,16100.0,16000.0,16000.0,500,TVT.VN
2024-09-16,15101.3935546875,16100.0,16100.0,16050.0,16100.0,800,TVT.VN
2024-09-17,15101.3935546875,16100.0,16100.0,15600.0,16050.0,1200,TVT.VN
2024-09-18,15007.595703125,16000.0,16050.0,15600.0,16000.0,9200,TVT.VN
2024-09-19,15007.595703125,16000.0,16000.0,15900.0,15900.0,800,TVT.VN
2024-09-20,14960.697265625,15950.0,15950.0,15650.0,15650.0,3200,TVT.VN
2024-09-23,14913.798828125,15900.0,16000.0,15900.0,16000.0,200,TVT.VN
2024-09-24,15148.2919921875,16150.0,16900.0,15800.0,16900.0,1500,TVT.VN
2024-09-25,15007.595703125,16000.0,16100.0,16000.0,16100.0,1100,TVT.VN
2024-09-26,14773.1025390625,15750.0,15900.0,15600.0,15600.0,7700,TVT.VN
2024-09-27,15148.2919921875,16150.0,16300.0,15650.0,16300.0,1400,TVT.VN
2024-09-30,15148.2919921875,16150.0,16150.0,15800.0,16000.0,7100,TVT.VN
2024-10-01,15195.1904296875,16200.0,16200.0,16100.0,16150.0,7800,TVT.VN
2024-10-02,15101.3935546875,16100.0,16100.0,16100.0,16100.0,5200,TVT.VN
2024-10-03,15195.1904296875,16200.0,16200.0,15900.0,16000.0,4600,TVT.VN
2024-10-07,15007.595703125,16000.0,16150.0,16000.0,16150.0,500,TVT.VN
2024-10-09,15054.494140625,16050.0,16100.0,15900.0,16100.0,5700,TVT.VN
2024-10-10,15054.494140625,16050.0,16100.0,16050.0,16100.0,3500,TVT.VN
2024-10-11,15101.3935546875,16100.0,16100.0,16050.0,16050.0,3300,TVT.VN
2024-10-14,15101.3935546875,16100.0,16100.0,16100.0,16100.0,2000,TVT.VN
2024-10-16,15101.3935546875,16100.0,16100.0,15700.0,15700.0,4300,TVT.VN
2024-10-17,15007.595703125,16000.0,16000.0,15900.0,15900.0,1400,TVT.VN
2024-10-18,15288.9873046875,16300.0,16300.0,16000.0,16000.0,4600,TVT.VN
2024-10-21,15242.08984375,16250.0,16250.0,16000.0,16000.0,600,TVT.VN
2024-10-22,15148.2919921875,16150.0,16150.0,15600.0,15600.0,600,TVT.VN
2024-10-23,14866.8994140625,15850.0,16150.0,15850.0,16150.0,1300,TVT.VN
2024-10-24,15007.595703125,16000.0,16050.0,16000.0,16050.0,5100,TVT.VN
2024-10-25,15007.595703125,16000.0,16000.0,15800.0,16000.0,1660050,TVT.VN
2024-10-28,14913.798828125,15900.0,15900.0,15900.0,15900.0,1000,TVT.VN
2024-10-31,15101.3935546875,16100.0,16100.0,15900.0,16000.0,5600,TVT.VN
2024-11-01,15054.494140625,16050.0,16400.0,15850.0,16400.0,3200,TVT.VN
2024-11-04,15054.494140625,16050.0,16200.0,15650.0,16200.0,4800,TVT.VN
2024-11-06,15007.595703125,16000.0,16000.0,15650.0,15900.0,6500,TVT.VN
2024-11-07,14960.697265625,15950.0,15950.0,15400.0,15400.0,2300,TVT.VN
2024-11-08,14913.798828125,15900.0,15900.0,15800.0,15900.0,1300,TVT.VN
2024-11-11,14913.798828125,15900.0,15900.0,15900.0,15900.0,1000,TVT.VN
2024-11-12,14913.798828125,15900.0,16000.0,15700.0,16000.0,2300,TVT.VN
2024-11-13,14913.798828125,15900.0,15900.0,15600.0,15600.0,4300,TVT.VN
2024-11-14,14913.798828125,15900.0,15900.0,15400.0,15400.0,400,TVT.VN
2024-11-15,14726.203125,15700.0,15700.0,15550.0,15550.0,4800,TVT.VN
2024-11-18,14773.1025390625,15750.0,15900.0,15700.0,15700.0,10000,TVT.VN
2024-11-19,14632.40625,15600.0,15600.0,15600.0,15600.0,1100,TVT.VN
2024-11-20,14632.40625,15600.0,15600.0,15600.0,15600.0,2400,TVT.VN
2024-11-21,14632.40625,15600.0,15600.0,15600.0,15600.0,4800,TVT.VN
2024-11-22,14866.8994140625,15850.0,15850.0,15550.0,15600.0,6000,TVT.VN
