Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,VCA.VN,VCA.VN,VCA.VN,VCA.VN,VCA.VN,VCA.VN,
2024-07-16,9460.0,9460.0,9800.0,9460.0,9460.0,7700,VCA.VN
2024-07-17,9450.0,9450.0,9460.0,9450.0,9460.0,500,VCA.VN
2024-07-18,9490.0,9490.0,9490.0,9310.0,9400.0,7100,VCA.VN
2024-07-19,9420.0,9420.0,9600.0,9400.0,9600.0,6200,VCA.VN
2024-07-22,9490.0,9490.0,9490.0,9220.0,9360.0,24700,VCA.VN
2024-07-23,9600.0,9600.0,9600.0,9600.0,9600.0,100,VCA.VN
2024-07-24,9600.0,9600.0,9600.0,9600.0,9600.0,200,VCA.VN
2024-07-25,9590.0,9590.0,9590.0,9100.0,9500.0,171540,VCA.VN
2024-07-30,9580.0,9580.0,9580.0,9580.0,9580.0,100,VCA.VN
2024-07-31,9430.0,9430.0,9430.0,9100.0,9260.0,7200,VCA.VN
2024-08-01,9010.0,9010.0,9540.0,8770.0,9110.0,4400,VCA.VN
2024-08-02,9480.0,9480.0,9480.0,8800.0,8800.0,200,VCA.VN
2024-08-05,8820.0,8820.0,9000.0,8820.0,9000.0,3600,VCA.VN
2024-08-06,9130.0,9130.0,9130.0,9130.0,9130.0,100,VCA.VN
2024-08-09,9110.0,9110.0,9110.0,8500.0,8600.0,3600,VCA.VN
2024-08-12,9000.0,9000.0,9000.0,9000.0,9000.0,200,VCA.VN
2024-08-13,8600.0,8600.0,8600.0,8600.0,8600.0,7800,VCA.VN
2024-08-14,8520.0,8520.0,8600.0,8520.0,8600.0,1700,VCA.VN
2024-08-16,8720.0,8720.0,8800.0,8680.0,8680.0,2000,VCA.VN
2024-08-19,8700.0,8700.0,8700.0,8700.0,8700.0,500,VCA.VN
2024-08-20,9000.0,9000.0,9000.0,8220.0,8230.0,400,VCA.VN
2024-08-21,8500.0,8500.0,8500.0,8500.0,8500.0,100,VCA.VN
2024-08-22,8950.0,8950.0,8990.0,8950.0,8990.0,200,VCA.VN
2024-08-28,9210.0,9210.0,9210.0,9210.0,9210.0,100,VCA.VN
2024-08-29,8700.0,8700.0,8700.0,8700.0,8700.0,200,VCA.VN
2024-08-30,8700.0,8700.0,8700.0,8700.0,8700.0,300,VCA.VN
2024-09-04,8570.0,8570.0,8570.0,8570.0,8570.0,100,VCA.VN
2024-09-05,8570.0,8570.0,8580.0,8570.0,8570.0,6500,VCA.VN
2024-09-06,8600.0,8600.0,8600.0,8600.0,8600.0,100,VCA.VN
2024-09-10,8300.0,8300.0,8300.0,8300.0,8300.0,1100,VCA.VN
2024-09-11,8190.0,8190.0,8370.0,8190.0,8370.0,6500,VCA.VN
2024-09-12,8700.0,8700.0,8740.0,8700.0,8740.0,900,VCA.VN
2024-09-16,8700.0,8700.0,8700.0,8660.0,8660.0,200,VCA.VN
2024-09-19,8720.0,8720.0,8720.0,8720.0,8720.0,100,VCA.VN
2024-09-20,8750.0,8750.0,8750.0,8720.0,8720.0,300,VCA.VN
2024-09-23,8760.0,8760.0,8760.0,8160.0,8160.0,2100,VCA.VN
2024-09-25,8750.0,8750.0,8770.0,8750.0,8760.0,4100,VCA.VN
2024-09-26,8750.0,8750.0,8750.0,8740.0,8750.0,1100,VCA.VN
2024-09-27,8760.0,8760.0,8760.0,8760.0,8760.0,500,VCA.VN
2024-10-01,8720.0,8720.0,8760.0,8710.0,8760.0,4800,VCA.VN
2024-10-02,9150.0,9150.0,9150.0,8130.0,8730.0,2700,VCA.VN
2024-10-04,8550.0,8550.0,8560.0,8550.0,8550.0,500,VCA.VN
2024-10-08,8750.0,8750.0,9110.0,8750.0,9110.0,500,VCA.VN
2024-10-09,8990.0,8990.0,8990.0,8560.0,8750.0,700,VCA.VN
2024-10-10,8950.0,8950.0,8950.0,8950.0,8950.0,100,VCA.VN
2024-10-11,8990.0,8990.0,8990.0,8750.0,8750.0,3500,VCA.VN
2024-10-17,8800.0,8800.0,8800.0,8800.0,8800.0,200,VCA.VN
2024-10-21,8410.0,8410.0,8800.0,8400.0,8800.0,2000,VCA.VN
2024-10-23,8410.0,8410.0,8990.0,8410.0,8990.0,300,VCA.VN
2024-10-24,8690.0,8690.0,8690.0,8690.0,8690.0,100,VCA.VN
2024-10-28,8500.0,8500.0,8500.0,8500.0,8500.0,1500,VCA.VN
2024-11-01,8700.0,8700.0,8880.0,8700.0,8880.0,200,VCA.VN
2024-11-04,8650.0,8650.0,8700.0,8650.0,8700.0,200,VCA.VN
2024-11-07,8600.0,8600.0,8650.0,8600.0,8650.0,400,VCA.VN
2024-11-13,8600.0,8600.0,8600.0,8600.0,8600.0,1100,VCA.VN
2024-11-15,8300.0,8300.0,8300.0,8300.0,8300.0,200,VCA.VN
2024-11-21,8500.0,8500.0,8500.0,8500.0,8500.0,400,VCA.VN
2024-11-28,9090.0,9090.0,9090.0,8800.0,8800.0,15400,VCA.VN
2024-11-29,9720.0,9720.0,9720.0,9720.0,9720.0,16200,VCA.VN
2024-12-02,10400.0,10400.0,10400.0,10400.0,10400.0,13100,VCA.VN
2024-12-03,11100.0,11100.0,11100.0,11100.0,11100.0,65700,VCA.VN
2024-12-04,11850.0,11850.0,11850.0,11700.0,11850.0,134400,VCA.VN
2024-12-05,12650.0,12650.0,12650.0,12650.0,12650.0,69800,VCA.VN
2024-12-06,13500.0,13500.0,13500.0,12800.0,13500.0,133100,VCA.VN
2024-12-09,14400.0,14400.0,14400.0,14300.0,14350.0,37100,VCA.VN
2024-12-10,15400.0,15400.0,15400.0,15350.0,15400.0,133200,VCA.VN
2024-12-11,16450.0,16450.0,16450.0,16400.0,16450.0,87500,VCA.VN
2024-12-12,17600.0,17600.0,17600.0,17600.0,17600.0,263500,VCA.VN
2024-12-13,16400.0,16400.0,18800.0,16400.0,18800.0,340400,VCA.VN
2024-12-16,15300.0,15300.0,15600.0,15300.0,15300.0,91600,VCA.VN
2024-12-17,14250.0,14250.0,14250.0,14250.0,14250.0,51600,VCA.VN
2024-12-18,13300.0,13300.0,13300.0,13300.0,13300.0,19600,VCA.VN
2024-12-19,14200.0,14200.0,14200.0,12400.0,12400.0,267600,VCA.VN
2024-12-20,14200.0,14200.0,14900.0,13850.0,14900.0,70600,VCA.VN
2024-12-23,13250.0,13250.0,14250.0,13250.0,14200.0,110100,VCA.VN
2024-12-24,12650.0,12650.0,13600.0,12350.0,13600.0,111500,VCA.VN
2024-12-25,12350.0,12350.0,13000.0,12200.0,12650.0,62500,VCA.VN
2024-12-26,12200.0,12200.0,12500.0,12100.0,12500.0,51300,VCA.VN
2024-12-27,12200.0,12200.0,12600.0,12200.0,12600.0,30000,VCA.VN
2024-12-30,12400.0,12400.0,12400.0,11650.0,12250.0,25700,VCA.VN
2024-12-31,12150.0,12150.0,12500.0,12000.0,12500.0,34900,VCA.VN
2025-01-02,12100.0,12100.0,12300.0,12000.0,12300.0,22300,VCA.VN
2025-01-03,11700.0,11700.0,12100.0,11300.0,12100.0,44600,VCA.VN
2025-01-06,11450.0,11450.0,11750.0,11100.0,11750.0,7800,VCA.VN
2025-01-07,10650.0,10650.0,11050.0,10650.0,10750.0,78000,VCA.VN
2025-01-08,10550.0,10550.0,10900.0,10100.0,10100.0,4300,VCA.VN
2025-01-09,10650.0,10650.0,11000.0,10550.0,10550.0,5300,VCA.VN
2025-01-10,10650.0,10650.0,10750.0,10250.0,10650.0,11000,VCA.VN
2025-01-13,10200.0,10200.0,10200.0,10000.0,10050.0,13700,VCA.VN
2025-01-14,10300.0,10300.0,10300.0,10100.0,10200.0,8200,VCA.VN
2025-01-15,11000.0,11000.0,11000.0,10050.0,10050.0,26600,VCA.VN
2025-01-16,11550.0,11550.0,11700.0,11050.0,11250.0,18600,VCA.VN
2025-01-17,11550.0,11550.0,11850.0,11550.0,11700.0,5600,VCA.VN
2025-01-20,12000.0,12000.0,12350.0,11500.0,11550.0,23800,VCA.VN
2025-01-21,12000.0,12000.0,12100.0,11600.0,12050.0,12900,VCA.VN
2025-01-22,11450.0,11450.0,12100.0,11450.0,12100.0,11600,VCA.VN
2025-01-23,11450.0,11450.0,11500.0,11300.0,11450.0,2000,VCA.VN
2025-01-24,11600.0,11600.0,11950.0,11450.0,11450.0,17500,VCA.VN
2025-02-03,11550.0,11550.0,11900.0,11500.0,11800.0,5200,VCA.VN
2025-02-04,11600.0,11600.0,11800.0,10800.0,10800.0,10600,VCA.VN
2025-02-05,11500.0,11500.0,11900.0,11300.0,11850.0,9600,VCA.VN
2025-02-06,11500.0,11500.0,11500.0,11450.0,11500.0,11400,VCA.VN
2025-02-07,11600.0,11600.0,11700.0,11500.0,11500.0,8800,VCA.VN
2025-02-10,11400.0,11400.0,12000.0,11400.0,12000.0,13600,VCA.VN
2025-02-11,11450.0,11450.0,11500.0,11200.0,11200.0,9600,VCA.VN
2025-02-12,11200.0,11200.0,11500.0,11200.0,11500.0,2500,VCA.VN
2025-02-13,11100.0,11100.0,11300.0,11000.0,11200.0,6700,VCA.VN
2025-02-14,11000.0,11000.0,11000.0,10750.0,10900.0,13400,VCA.VN
2025-02-17,11200.0,11200.0,11300.0,10500.0,10900.0,10700,VCA.VN
2025-02-18,10950.0,10950.0,11250.0,10900.0,11200.0,7200,VCA.VN
2025-02-19,10950.0,10950.0,11150.0,10450.0,10450.0,14100,VCA.VN
2025-02-20,11200.0,11200.0,11200.0,11000.0,11200.0,8500,VCA.VN
