Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,VCI.VN,VCI.VN,VCI.VN,VCI.VN,VCI.VN,VCI.VN,
2024-07-16,36160.78125,36846.15234375,37307.69140625,36807.69140625,36961.5390625,4412719,VCI.VN
2024-07-17,35405.859375,36076.921875,37230.76953125,35692.30859375,37076.921875,5581419,VCI.VN
2024-07-18,35972.0546875,36653.84765625,36653.84765625,35769.23046875,36115.3828125,2906929,VCI.VN
2024-07-19,35858.8125,36538.4609375,36923.078125,36307.69140625,36384.6171875,3976309,VCI.VN
2024-07-22,35745.57421875,36423.078125,37192.30859375,36269.23046875,36846.15234375,5677099,VCI.VN
2024-07-23,34726.4296875,35384.6171875,36692.30859375,35384.6171875,36538.4609375,4389579,VCI.VN
2024-07-24,33820.5234375,34461.5390625,35423.078125,33769.23046875,35230.76953125,8094709,VCI.VN
2024-07-25,33669.5390625,34307.69140625,34538.4609375,33846.15234375,34461.5390625,2905759,VCI.VN
2024-07-26,34009.25390625,34653.84765625,34653.84765625,34307.69140625,34346.15234375,1957799,VCI.VN
2024-07-29,34122.48828125,34769.23046875,35153.84765625,34769.23046875,35000.0,1830009,VCI.VN
2024-07-30,33594.046875,34230.76953125,34961.5390625,34230.76953125,34730.76953125,1911389,VCI.VN
2024-07-31,33594.046875,34230.76953125,34923.078125,34076.921875,34346.15234375,1988089,VCI.VN
2024-08-01,31782.232421875,32384.615234375,34500.0,32307.69140625,34500.0,7772829,VCI.VN
2024-08-02,32763.6328125,33384.6171875,33846.15234375,31692.30859375,31807.69140625,4368909,VCI.VN
2024-08-05,30800.83203125,31384.615234375,33115.3828125,31384.615234375,32538.4609375,6692269,VCI.VN
2024-08-06,32461.662109375,33076.921875,33384.6171875,31538.4609375,32230.76953125,5972199,VCI.VN
2024-08-07,32914.61328125,33538.4609375,33692.30859375,32692.30859375,33230.76953125,1964429,VCI.VN
2024-08-08,32725.8828125,33346.15234375,33807.69140625,32884.6171875,33076.921875,3001179,VCI.VN
2024-08-09,34197.984375,34846.15234375,34923.078125,33346.15234375,33576.921875,7511659,VCI.VN
2024-08-12,34650.93359375,35307.69140625,35307.69140625,34461.5390625,34615.3828125,3197999,VCI.VN
2024-08-13,34575.4453125,35230.76953125,35346.15234375,34307.69140625,35346.15234375,4245019,VCI.VN
2024-08-14,34197.984375,34846.15234375,35384.6171875,34692.30859375,35384.6171875,3071509,VCI.VN
2024-08-15,33869.59375,34115.3828125,34807.69140625,33923.078125,34615.3828125,2117959,VCI.VN
2024-08-16,35702.44921875,35961.5390625,36076.921875,34230.76953125,34307.69140625,8634339,VCI.VN
2024-08-19,35320.60546875,35576.921875,36153.84765625,35500.0,36153.84765625,3047069,VCI.VN
2024-08-20,35511.52734375,35769.23046875,36153.84765625,35269.23046875,35576.921875,6055139,VCI.VN
2024-08-21,35969.7421875,36230.76953125,36346.15234375,35538.4609375,35538.4609375,4629819,VCI.VN
2024-08-22,36160.6640625,36423.078125,36423.078125,36038.4609375,36307.69140625,3839419,VCI.VN
2024-08-23,36275.21484375,36538.4609375,36923.078125,35961.5390625,36423.078125,5184269,VCI.VN
2024-08-26,37038.90625,37307.69140625,37538.4609375,36538.4609375,36923.078125,9307609,VCI.VN
2024-08-27,36695.24609375,36961.5390625,37461.5390625,36769.23046875,36923.078125,5194149,VCI.VN
2024-08-28,36427.95703125,36692.30859375,37038.4609375,36153.84765625,36884.6171875,7776079,VCI.VN
2024-08-29,35358.7890625,35615.3828125,36961.5390625,35538.4609375,36769.23046875,12510419,VCI.VN
2024-08-30,35473.34375,35730.76953125,35846.15234375,35230.76953125,35615.3828125,8243949,VCI.VN
2024-09-04,35053.3125,35307.69140625,35653.84765625,35153.84765625,35307.69140625,19376369,VCI.VN
2024-09-05,34365.9921875,34615.3828125,35730.76953125,34500.0,35346.15234375,9731539,VCI.VN
2024-09-06,34747.83984375,35000.0,35000.0,34230.76953125,34538.4609375,4834439,VCI.VN
2024-09-09,34251.44140625,34500.0,35000.0,34461.5390625,34961.5390625,3754789,VCI.VN
2024-09-10,33755.04296875,34000.0,34769.23046875,34000.0,34730.76953125,5933329,VCI.VN
2024-09-11,33449.5703125,33692.30859375,34076.921875,33653.84765625,34076.921875,8353539,VCI.VN
2024-09-12,33159.3671875,33400.0,35000.0,33400.0,34450.0,6314900,VCI.VN
2024-09-13,33159.3671875,33400.0,34000.0,33200.0,33550.0,6399800,VCI.VN
2024-09-16,32265.8515625,32500.0,33700.0,32500.0,33700.0,5253700,VCI.VN
2024-09-17,33903.96484375,34150.0,34150.0,32550.0,32600.0,6255800,VCI.VN
2024-09-18,34251.44140625,34500.0,34950.0,34100.0,34200.0,9736200,VCI.VN
2024-09-19,34350.72265625,34600.0,34850.0,34400.0,34700.0,6422000,VCI.VN
2024-09-20,34251.44140625,34500.0,35050.0,34350.0,35000.0,7488800,VCI.VN
2024-09-23,33953.6015625,34200.0,34600.0,34150.0,34600.0,6684100,VCI.VN
2024-09-24,34251.44140625,34500.0,34500.0,34000.0,34250.0,5748000,VCI.VN
2024-09-25,35343.515625,35600.0,35750.0,34600.0,34650.0,16210400,VCI.VN
2024-09-26,35889.5546875,36150.0,36300.0,35500.0,35700.0,12836800,VCI.VN
2024-09-27,35641.35546875,35900.0,36300.0,35700.0,36000.0,9822400,VCI.VN
2024-09-30,36435.58984375,36700.0,37150.0,35700.0,35850.0,11352600,VCI.VN
2024-10-01,36237.03125,36500.0,37450.0,36500.0,36850.0,9583000,VCI.VN
2024-10-02,36137.75390625,36400.0,36850.0,36250.0,36300.0,8093200,VCI.VN
2024-10-03,36286.671875,36550.0,36850.0,36100.0,36500.0,9079600,VCI.VN
2024-10-04,35988.83203125,36250.0,36750.0,36200.0,36550.0,9665700,VCI.VN
2024-10-07,37329.10546875,37600.0,37600.0,36100.0,36450.0,9289400,VCI.VN
2024-10-08,37031.26953125,37300.0,38400.0,37250.0,37900.0,13427300,VCI.VN
2024-10-09,37130.546875,37400.0,37750.0,37150.0,37200.0,7245200,VCI.VN
2024-10-10,36137.75390625,36400.0,37900.0,36400.0,37900.0,11371700,VCI.VN
2024-10-11,36584.51171875,36850.0,36900.0,36400.0,36450.0,6732800,VCI.VN
2024-10-14,36435.58984375,36700.0,37350.0,36700.0,37000.0,4218100,VCI.VN
2024-10-15,35740.6328125,36000.0,37100.0,36000.0,36700.0,6789000,VCI.VN
2024-10-16,35492.4375,35750.0,36100.0,35650.0,35800.0,4729300,VCI.VN
2024-10-17,36435.58984375,36700.0,36800.0,35550.0,36000.0,6919000,VCI.VN
2024-10-18,35839.9140625,36100.0,36800.0,36100.0,36600.0,9672500,VCI.VN
2024-10-21,35343.515625,35600.0,36400.0,35600.0,36100.0,8343200,VCI.VN
2024-10-22,35194.59765625,35450.0,35950.0,35000.0,35600.0,15702300,VCI.VN
2024-10-23,35095.31640625,35350.0,35650.0,35150.0,35450.0,6163800,VCI.VN
2024-10-24,34251.44140625,34500.0,35750.0,34500.0,35550.0,9932200,VCI.VN
2024-10-25,34251.44140625,34500.0,34650.0,34100.0,34500.0,8164900,VCI.VN
2024-10-28,34400.359375,34650.0,35100.0,34600.0,34750.0,4351200,VCI.VN
2024-10-29,34400.359375,34650.0,34950.0,34550.0,34900.0,8704466,VCI.VN
2024-10-31,34400.359375,34650.0,34950.0,34300.0,34350.0,6895300,VCI.VN
2024-11-01,33655.765625,33900.0,34700.0,33800.0,34550.0,8176800,VCI.VN
2024-11-04,34152.16015625,34400.0,34850.0,33600.0,33900.0,7329300,VCI.VN
2024-11-06,34698.19921875,34950.0,34950.0,34350.0,34450.0,6925800,VCI.VN
2024-11-07,34400.359375,34650.0,35150.0,34650.0,35150.0,5607300,VCI.VN
2024-11-08,34251.44140625,34500.0,34950.0,34450.0,34800.0,5819500,VCI.VN
2024-11-11,34400.359375,34650.0,34700.0,34100.0,34450.0,6998700,VCI.VN
2024-11-12,34499.640625,34750.0,35600.0,34700.0,34900.0,11467300,VCI.VN
2024-11-13,34350.72265625,34600.0,35050.0,34150.0,34650.0,6300500,VCI.VN
2024-11-14,32712.609375,32950.0,34750.0,32800.0,34550.0,12275300,VCI.VN
2024-11-15,32067.291015625,32300.0,33400.0,32050.0,32800.0,10873800,VCI.VN
2024-11-18,32762.248046875,33000.0,33450.0,32300.0,32300.0,6116000,VCI.VN
2024-11-19,32017.65234375,32250.0,33150.0,32200.0,33100.0,3871900,VCI.VN
2024-11-20,32464.41015625,32700.0,33350.0,32200.0,32300.0,6170000,VCI.VN
