Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,VFG.VN,VFG.VN,VFG.VN,VFG.VN,VFG.VN,VFG.VN,
2024-07-16,76717.140625,82300.0,83300.0,82100.0,83300.0,59300,VFG.VN
2024-07-17,75505.328125,81000.0,82600.0,81000.0,82300.0,57300,VFG.VN
2024-07-18,75505.328125,81000.0,81500.0,80300.0,81000.0,29200,VFG.VN
2024-07-19,77835.7421875,83500.0,84000.0,80000.0,81300.0,72600,VFG.VN
2024-07-22,76437.4921875,82000.0,83800.0,80300.0,83500.0,36800,VFG.VN
2024-07-23,71124.1640625,76300.0,82000.0,76300.0,82000.0,231200,VFG.VN
2024-07-24,71124.1640625,76300.0,76700.0,73500.0,76000.0,91400,VFG.VN
2024-07-25,71124.1640625,76300.0,76300.0,75000.0,76300.0,16600,VFG.VN
2024-07-26,71217.3671875,76400.0,77000.0,76000.0,76500.0,17800,VFG.VN
2024-07-29,71590.234375,76800.0,76800.0,75800.0,76400.0,38700,VFG.VN
2024-07-30,68980.1796875,74000.0,76600.0,74000.0,76000.0,68100,VFG.VN
2024-07-31,69819.125,74900.0,75500.0,73500.0,74000.0,69400,VFG.VN
2024-08-01,66929.4140625,71800.0,75400.0,71600.0,74700.0,83000,VFG.VN
2024-08-02,66463.3359375,71300.0,71800.0,70000.0,71800.0,106300,VFG.VN
2024-08-05,64039.703125,68700.0,70600.0,68100.0,70600.0,81300,VFG.VN
2024-08-06,65810.8203125,70600.0,70800.0,68800.0,69200.0,67700,VFG.VN
2024-08-07,64132.921875,68800.0,70600.0,68200.0,70600.0,40900,VFG.VN
2024-08-08,64322.1015625,68000.0,68000.0,67200.0,67800.0,8500,VFG.VN
2024-08-09,63376.19140625,67000.0,68000.0,66500.0,68000.0,26800,VFG.VN
2024-08-12,63281.59765625,66900.0,67500.0,64800.0,67500.0,57500,VFG.VN
2024-08-13,62241.09375,65800.0,65800.0,64500.0,65500.0,40200,VFG.VN
2024-08-14,61862.73046875,65400.0,65800.0,64800.0,65800.0,56500,VFG.VN
2024-08-15,61295.18359375,64800.0,65000.0,64000.0,65000.0,12500,VFG.VN
2024-08-16,63187.01171875,66800.0,66800.0,64800.0,64800.0,106800,VFG.VN
2024-08-19,63187.01171875,66800.0,67100.0,66000.0,66800.0,39700,VFG.VN
2024-08-20,62903.23046875,66500.0,66800.0,65300.0,66700.0,59200,VFG.VN
2024-08-21,63376.19140625,67000.0,67600.0,66000.0,66100.0,32700,VFG.VN
2024-08-22,65268.0234375,69000.0,69100.0,66800.0,67100.0,33500,VFG.VN
2024-08-23,64700.46875,68400.0,69200.0,68300.0,69200.0,35700,VFG.VN
2024-08-26,64795.0625,68500.0,69200.0,68400.0,68400.0,40100,VFG.VN
2024-08-28,68200.3515625,72100.0,73400.0,72000.0,73400.0,28600,VFG.VN
2024-08-29,67159.84375,71000.0,71800.0,70300.0,71600.0,14900,VFG.VN
2024-08-30,67916.578125,71800.0,72500.0,71200.0,71200.0,10700,VFG.VN
2024-09-04,67065.25,70900.0,71500.0,70900.0,71500.0,9700,VFG.VN
2024-09-05,66970.6640625,70800.0,71400.0,70600.0,70800.0,5900,VFG.VN
2024-09-06,66876.0703125,70700.0,70800.0,70200.0,70800.0,4500,VFG.VN
2024-09-09,66213.9296875,70000.0,71200.0,70000.0,70700.0,12500,VFG.VN
2024-09-10,65268.0234375,69000.0,70000.0,68400.0,70000.0,37700,VFG.VN
