Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,VHM.VN,VHM.VN,VHM.VN,VHM.VN,VHM.VN,VHM.VN,
2024-07-16,37900.0,37900.0,38050.0,37650.0,37800.0,4765700,VHM.VN
2024-07-17,37300.0,37300.0,37900.0,36800.0,37900.0,7051600,VHM.VN
2024-07-18,37450.0,37450.0,37450.0,36700.0,37250.0,6284400,VHM.VN
2024-07-19,37850.0,37850.0,38200.0,37550.0,37700.0,9600800,VHM.VN
2024-07-22,37900.0,37900.0,38000.0,37300.0,38000.0,5135700,VHM.VN
2024-07-23,37850.0,37850.0,37950.0,37350.0,37650.0,7519200,VHM.VN
2024-07-24,37850.0,37850.0,37850.0,37400.0,37600.0,12275000,VHM.VN
2024-07-25,37800.0,37800.0,38300.0,37550.0,37600.0,6224500,VHM.VN
2024-07-26,37750.0,37750.0,37900.0,37500.0,37800.0,3908300,VHM.VN
2024-07-29,37100.0,37100.0,37900.0,37100.0,37750.0,4406000,VHM.VN
2024-07-30,36700.0,36700.0,37200.0,36700.0,37100.0,7779900,VHM.VN
2024-07-31,36700.0,36700.0,37050.0,36650.0,36850.0,3718200,VHM.VN
2024-08-01,36450.0,36450.0,37000.0,36000.0,36750.0,9076900,VHM.VN
2024-08-02,36000.0,36000.0,36300.0,34600.0,36050.0,8614000,VHM.VN
2024-08-05,34500.0,34500.0,35700.0,34000.0,35200.0,10021500,VHM.VN
2024-08-06,34800.0,34800.0,34800.0,34000.0,34800.0,7972600,VHM.VN
2024-08-07,37200.0,37200.0,37200.0,36600.0,36950.0,42560600,VHM.VN
2024-08-08,37600.0,37600.0,38100.0,36950.0,37500.0,15665000,VHM.VN
2024-08-09,37200.0,37200.0,37800.0,36800.0,37800.0,8691600,VHM.VN
2024-08-12,36500.0,36500.0,37150.0,36350.0,37150.0,27145000,VHM.VN
2024-08-13,36350.0,36350.0,36650.0,35850.0,36350.0,9925900,VHM.VN
2024-08-14,37200.0,37200.0,37400.0,36000.0,36350.0,19385620,VHM.VN
2024-08-15,37850.0,37850.0,38300.0,37150.0,37500.0,17798730,VHM.VN
2024-08-16,38400.0,38400.0,38700.0,38000.0,38200.0,21534940,VHM.VN
2024-08-19,38600.0,38600.0,38800.0,38200.0,38600.0,16039440,VHM.VN
2024-08-20,39400.0,39400.0,39800.0,38500.0,38600.0,19572440,VHM.VN
2024-08-21,39750.0,39750.0,39750.0,38900.0,39250.0,16331560,VHM.VN
2024-08-22,39800.0,39800.0,40150.0,39500.0,39750.0,10154250,VHM.VN
2024-08-23,39750.0,39750.0,40000.0,39350.0,39600.0,11231630,VHM.VN
2024-08-26,40500.0,40500.0,40750.0,39850.0,39850.0,15755120,VHM.VN
