Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,VPI.VN,VPI.VN,VPI.VN,VPI.VN,VPI.VN,VPI.VN,
2024-07-16,50666.66796875,50666.66796875,50833.33203125,50583.33203125,50666.66796875,1304280,VPI.VN
2024-07-17,50500.0,50500.0,50833.33203125,50416.66796875,50750.0,1448880,VPI.VN
2024-07-18,51083.33203125,51083.33203125,51250.0,50333.33203125,50500.0,1540680,VPI.VN
2024-07-19,51333.33203125,51333.33203125,51416.66796875,51083.33203125,51250.0,1276920,VPI.VN
2024-07-22,53333.33203125,53333.33203125,53333.33203125,51250.0,51416.66796875,1616160,VPI.VN
2024-07-23,55833.33203125,55833.33203125,55833.33203125,53333.33203125,53583.33203125,1998720,VPI.VN
2024-07-24,58333.33203125,58333.33203125,59333.33203125,55916.66796875,59000.0,1981440,VPI.VN
2024-07-25,57700.0,57700.0,58400.0,57300.0,58300.0,1510800,VPI.VN
2024-07-26,57600.0,57600.0,57700.0,56700.0,57600.0,1526000,VPI.VN
2024-07-29,58200.0,58200.0,58300.0,57000.0,57300.0,1578000,VPI.VN
2024-07-30,58500.0,58500.0,58700.0,57800.0,58200.0,1309900,VPI.VN
2024-07-31,58500.0,58500.0,59500.0,58200.0,58600.0,1485600,VPI.VN
2024-08-01,57500.0,57500.0,58500.0,56900.0,58500.0,1185700,VPI.VN
2024-08-02,57700.0,57700.0,58000.0,57000.0,57600.0,1362800,VPI.VN
2024-08-05,56200.0,56200.0,57300.0,56100.0,57300.0,833100,VPI.VN
2024-08-06,56000.0,56000.0,56200.0,55400.0,55800.0,1111600,VPI.VN
2024-08-07,56600.0,56600.0,56700.0,55700.0,56100.0,1060700,VPI.VN
2024-08-08,55600.0,55600.0,56000.0,55500.0,55700.0,1069100,VPI.VN
2024-08-09,56500.0,56500.0,56600.0,55000.0,55000.0,1421900,VPI.VN
2024-08-12,57000.0,57000.0,57200.0,56200.0,56500.0,1087800,VPI.VN
2024-08-13,57200.0,57200.0,57500.0,56700.0,57000.0,1633700,VPI.VN
2024-08-14,57600.0,57600.0,58000.0,56900.0,57100.0,1584500,VPI.VN
2024-08-15,57600.0,57600.0,58200.0,57300.0,58000.0,847500,VPI.VN
2024-08-16,58000.0,58000.0,58300.0,57700.0,57800.0,1001600,VPI.VN
2024-08-19,57400.0,57400.0,58500.0,57400.0,58500.0,1106800,VPI.VN
2024-08-20,57800.0,57800.0,58200.0,57000.0,57400.0,1038900,VPI.VN
2024-08-21,57500.0,57500.0,57900.0,57500.0,57700.0,873700,VPI.VN
2024-08-22,57000.0,57000.0,57500.0,57000.0,57500.0,848300,VPI.VN
2024-08-23,56800.0,56800.0,56900.0,56700.0,56900.0,846200,VPI.VN
2024-08-26,57000.0,57000.0,57300.0,56400.0,56800.0,1199400,VPI.VN
2024-08-28,57700.0,57700.0,58000.0,57200.0,57300.0,1283100,VPI.VN
2024-08-29,57000.0,57000.0,58300.0,57000.0,57700.0,1191900,VPI.VN
2024-08-30,56600.0,56600.0,57000.0,56400.0,56800.0,939500,VPI.VN
2024-09-04,56500.0,56500.0,56600.0,55800.0,56500.0,1110400,VPI.VN
2024-09-05,56900.0,56900.0,57300.0,56100.0,56400.0,1046700,VPI.VN
2024-09-06,57400.0,57400.0,57400.0,56800.0,57100.0,999600,VPI.VN
2024-09-09,57500.0,57500.0,58100.0,57300.0,57900.0,1154100,VPI.VN
2024-09-10,57300.0,57300.0,57800.0,57200.0,57700.0,1119100,VPI.VN
2024-09-11,57000.0,57000.0,57300.0,56900.0,57300.0,1144700,VPI.VN
2024-09-12,57000.0,57000.0,57200.0,56500.0,56900.0,799300,VPI.VN
2024-09-13,56900.0,56900.0,57100.0,56900.0,57000.0,1118100,VPI.VN
2024-09-16,56600.0,56600.0,57000.0,56600.0,56800.0,852300,VPI.VN
2024-09-17,57300.0,57300.0,57300.0,56400.0,56500.0,1013900,VPI.VN
2024-09-18,57600.0,57600.0,57900.0,57000.0,57200.0,1050000,VPI.VN
2024-09-19,57300.0,57300.0,58200.0,57300.0,57600.0,1451100,VPI.VN
2024-09-20,56200.0,56200.0,57900.0,56200.0,57400.0,2060800,VPI.VN
2024-09-23,56600.0,56600.0,56800.0,55900.0,56000.0,1163100,VPI.VN
2024-09-24,57400.0,57400.0,57400.0,56200.0,56200.0,2179100,VPI.VN
2024-09-25,58500.0,58500.0,58600.0,57700.0,57900.0,2349500,VPI.VN
2024-09-26,58500.0,58500.0,58700.0,58400.0,58500.0,1748100,VPI.VN
2024-09-27,58500.0,58500.0,58800.0,58000.0,58400.0,1380900,VPI.VN
2024-09-30,58400.0,58400.0,58400.0,58000.0,58400.0,1933300,VPI.VN
2024-10-01,58500.0,58500.0,58800.0,57900.0,58400.0,1005300,VPI.VN
2024-10-02,57300.0,57300.0,58400.0,57300.0,58300.0,1437200,VPI.VN
2024-10-03,56900.0,56900.0,57500.0,56400.0,57200.0,1108200,VPI.VN
2024-10-04,56500.0,56500.0,56800.0,56400.0,56800.0,1041800,VPI.VN
2024-10-07,56500.0,56500.0,56600.0,56000.0,56300.0,1729600,VPI.VN
2024-10-08,56400.0,56400.0,56500.0,56100.0,56500.0,1221400,VPI.VN
2024-10-09,56400.0,56400.0,56600.0,56100.0,56200.0,1570500,VPI.VN
2024-10-10,56900.0,56900.0,57500.0,56300.0,56400.0,1470800,VPI.VN
2024-10-11,57300.0,57300.0,57500.0,56500.0,57000.0,1840100,VPI.VN
2024-10-14,57400.0,57400.0,57900.0,57000.0,57500.0,1943200,VPI.VN
2024-10-15,57900.0,57900.0,58500.0,57300.0,58500.0,3292800,VPI.VN
2024-10-16,58000.0,58000.0,58500.0,57800.0,57900.0,1236500,VPI.VN
2024-10-17,58100.0,58100.0,58300.0,57300.0,58200.0,1279100,VPI.VN
2024-10-18,58300.0,58300.0,58800.0,57800.0,58100.0,1506300,VPI.VN
2024-10-21,57700.0,57700.0,58500.0,57500.0,58300.0,1651300,VPI.VN
2024-10-22,57300.0,57300.0,57800.0,57300.0,57700.0,2116700,VPI.VN
2024-10-23,56800.0,56800.0,57400.0,56400.0,57300.0,1029000,VPI.VN
2024-10-24,56800.0,56800.0,57000.0,56300.0,56800.0,1329700,VPI.VN
2024-10-25,57300.0,57300.0,57400.0,57000.0,57400.0,1071900,VPI.VN
2024-10-28,57200.0,57200.0,57400.0,56400.0,56800.0,1110100,VPI.VN
2024-10-29,58500.0,58500.0,58500.0,57200.0,57700.0,940000,VPI.VN
2024-10-31,58000.0,58000.0,58900.0,57700.0,58300.0,1259600,VPI.VN
2024-11-01,58400.0,58400.0,58400.0,57700.0,57900.0,869100,VPI.VN
2024-11-04,57900.0,57900.0,58500.0,57800.0,58400.0,884600,VPI.VN
2024-11-06,58100.0,58100.0,58100.0,56500.0,56700.0,3423800,VPI.VN
